##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Grupiara - MG; 3127909; MG; 1415; 3.19% / 635634.35 / 468752.14; 0.00% / 0 / 0.00; 6.77% / 354775.32 / 364.50; 7.34% / 2137297.32 / 1752888.15; 0.00% / 0 / 0.00; 0.06% / 4534.92 / 7613.70; 0.00% / 0 / 0.00; 3.29% / 672444.35 / 500129.19; 2.93% / 0 / 153569.77; 2.75% / 2516478.40 / 2372303.28; 0.00% / 0 / 0.00; 16.16% / 1624117.19 / 2470622.93; 3.78% / 276657.87 / 78586.21; 0.00% / 0 / 0.00; 10.02% / 1112198.92 / 587070.79; 0.61% / 1885.50 / 33645.48; 0.64% / 630.24 / 33966.82; 0.67% / 82165.77 / 46943.69; 0.00% / 0 / 0.00; 0.70% / 580389.63 / 543468.61; 0.00% / 0 / 0.00; 1.44% / 76291.43 / 790.00; 3.29% / 174371.02 / 1829.74; 0.01% / 0 / 686.66; 0.26% / 0 / 13768.61; 11.98% / 54490.67 / 682033.14; 3.69% / 280569.77 / 87188.85; 3.06% / 314035.26 / 153600.57; 17.35% / 10898967.93 / 9989822.82; 0.00% / 0 / 0.00; 4.48
Prefeitura Municipal de Jardim Olinda - PR; 4112603; PR; 1416; 11.86% / 0 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.44% / 1537901.51 / 1752888.15; 0.00% / 0 / 0.00; 0.19% / 0 / 7613.70; 0.00% / 0 / 0.00; 0.61% / 524334.58 / 500129.19; 16.69% / 812928.08 / 153569.77; 2.50% / 2470982.96 / 2372303.28; 0.00% / 0 / 0.00; 5.11% / 2268770.63 / 2470622.93; 1.38% / 132962.68 / 78586.21; 0.00% / 0 / 0.00; 25.39% / 1590394.34 / 587070.79; 0.85% / 0 / 33645.48; 2.66% / 139136.90 / 33966.82; 0.82% / 14629.54 / 46943.69; 0.00% / 0 / 0.00; 12.19% / 61890.42 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.78% / 32599.38 / 1829.74; 0.02% / 0 / 686.66; 0.35% / 0 / 13768.61; 7.24% / 395974.15 / 682033.14; 0.75% / 57520.74 / 87188.85; 1.45% / 96369.68 / 153600.57; 3.71% / 10136395.59 / 9989822.82; 0.00% / 0 / 0.00; 1.75
Prefeitura Municipal de Engenho Velho - RS; 4306924; RS; 1428; 0.28% / 458594.26 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.94% / 1538781.05 / 1752888.15; 0.00% / 0 / 0.00; 0.21% / 0 / 7613.70; 0.00% / 0 / 0.00; 0.86% / 531098.11 / 500129.19; 29.82% / 1227701.16 / 153569.77; 6.65% / 2132921.46 / 2372303.28; 0.00% / 0 / 0.00; 27.92% / 1465052.71 / 2470622.93; 2.66% / 174361.52 / 78586.21; 0.00% / 0 / 0.00; 0.94% / 621077.27 / 587070.79; 0.06% / 35895.35 / 33645.48; 7.13% / 290711.23 / 33966.82; 0.49% / 29177.84 / 46943.69; 0.00% / 0 / 0.00; 3.00% / 651413.69 / 543468.61; 0.78% / 28228.87 / 0.00; 1.69% / 61493.45 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 1.34% / 61872.48 / 13768.61; 1.72% / 744103.47 / 682033.14; 1.60% / 29403.05 / 87188.85; 3.80% / 16875.48 / 153600.57; 3.02% / 10098762.45 / 9989822.82; 0.00% / 0 / 0.00; 2.21
Prefeitura Municipal de União da Serra - RS; 4322350; RS; 1434; 3.51% / 314996.36 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.57% / 1508761.07 / 1752888.15; 0.00% / 0 / 0.00; 0.37% / 23880.03 / 7613.70; 0.00% / 0 / 0.00; 3.32% / 354618.04 / 500129.19; 9.69% / 578176.29 / 153569.77; 1.09% / 2419922.11 / 2372303.28; 0.00% / 0 / 0.00; 25.75% / 1342261.03 / 2470622.93; 0.53% / 101656.72 / 78586.21; 0.00% / 0 / 0.00; 6.45% / 304508.71 / 587070.79; 0.77% / 0 / 33645.48; 0.29% / 46576.62 / 33966.82; 0.17% / 54361.09 / 46943.69; 0.00% / 0 / 0.00; 26.00% / 1683050.24 / 543468.61; 0.00% / 0 / 0.00; 0.31% / 14334.08 / 790.00; 0.04% / 0 / 1829.74; 1.13% / 50359.92 / 686.66; 0.31% / 0 / 13768.61; 10.43% / 1139032.72 / 682033.14; 0.53% / 63768.58 / 87188.85; 1.46% / 89710.05 / 153600.57; 2.29% / 10089973.66 / 9989822.82; 0.00% / 0 / 0.00; 1.77
Prefeitura Municipal de Lajeado Grande - SC; 4209458; SC; 1479; 1.82% / 554869.55 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 4.70% / 1530337.61 / 1752888.15; 0.00% / 0 / 0.00; 0.22% / 18063.44 / 7613.70; 0.00% / 0 / 0.00; 4.55% / 715502.52 / 500129.19; 3.24% / 0 / 153569.77; 2.18% / 2269017.60 / 2372303.28; 0.00% / 0 / 0.00; 19.18% / 1562800.02 / 2470622.93; 0.26% / 66359.22 / 78586.21; 0.00% / 0 / 0.00; 8.80% / 170437.47 / 587070.79; 0.69% / 801.36 / 33645.48; 0.28% / 20755.20 / 33966.82; 0.99% / 0 / 46943.69; 0.00% / 0 / 0.00; 9.88% / 1011016.55 / 543468.61; 0.00% / 0 / 0.00; 2.23% / 106195.04 / 790.00; 0.04% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.29% / 0 / 13768.61; 31.30% / 2163579.42 / 682033.14; 0.85% / 46761.78 / 87188.85; 1.16% / 98580.93 / 153600.57; 7.29% / 10335077.71 / 9989822.82; 0.00% / 0 / 0.00; 1.54
Prefeitura Municipal de Serra Nova Dourada - MT; 5107883; MT; 1492; 0.37% / 489384.18 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 23.27% / 3037858.22 / 1752888.15; 0.00% / 0 / 0.00; 0.14% / 0 / 7613.70; 0.00% / 0 / 0.00; 0.89% / 549118.55 / 500129.19; 2.78% / 0 / 153569.77; 6.07% / 2037006.38 / 2372303.28; 1.66% / 91603.39 / 0.00; 2.55% / 2611426.13 / 2470622.93; 4.67% / 336385.06 / 78586.21; 0.00% / 0 / 0.00; 6.27% / 240989.37 / 587070.79; 0.61% / 0 / 33645.48; 2.28% / 159951.37 / 33966.82; 0.85% / 0 / 46943.69; 0.00% / 0 / 0.00; 1.40% / 465918.66 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.82% / 46083.00 / 686.66; 0.25% / 0 / 13768.61; 13.49% / 1427158.60 / 682033.14; 0.79% / 43556.67 / 87188.85; 1.76% / 56488.41 / 153600.57; 29.03% / 11592927.99 / 9989822.82; 0.00% / 0 / 0.00; 1.81
Prefeitura Municipal de Nova Aliança do Ivaí - PR; 4116505; PR; 1509; 1.83% / 543669.44 / 468752.14; 2.43% / 99752.02 / 0.00; 0.01% / 0 / 364.50; 9.23% / 1374419.65 / 1752888.15; 0.52% / 21374.72 / 0.00; 0.19% / 0 / 7613.70; 0.00% / 0 / 0.00; 3.35% / 637645.10 / 500129.19; 1.77% / 81040.18 / 153569.77; 4.47% / 2189115.58 / 2372303.28; 0.00% / 0 / 0.00; 1.95% / 2390850.81 / 2470622.93; 1.54% / 15655.00 / 78586.21; 0.00% / 0 / 0.00; 6.59% / 857323.13 / 587070.79; 7.23% / 330000.00 / 33645.48; 0.83% / 0 / 33966.82; 0.98% / 6677.59 / 46943.69; 0.00% / 0 / 0.00; 12.07% / 48705.48 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.04% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.37% / 29111.83 / 13768.61; 15.05% / 64948.46 / 682033.14; 1.84% / 11735.77 / 87188.85; 6.49% / 419534.31 / 153600.57; 21.18% / 9121559.07 / 9989822.82; 0.00% / 0 / 0.00; 2.13
Prefeitura Municipal de Doresópolis - MG; 3123403; MG; 1512; 3.62% / 582908.57 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 2.82% / 1841780.11 / 1752888.15; 0.00% / 0 / 0.00; 0.24% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.49% / 453053.56 / 500129.19; 0.19% / 159524.47 / 153569.77; 6.85% / 2156529.22 / 2372303.28; 0.00% / 0 / 0.00; 12.45% / 2078269.67 / 2470622.93; 1.70% / 132159.84 / 78586.21; 0.00% / 0 / 0.00; 1.27% / 546983.67 / 587070.79; 1.07% / 0 / 33645.48; 1.21% / 72084.07 / 33966.82; 1.49% / 0 / 46943.69; 0.00% / 0 / 0.00; 10.05% / 226576.01 / 543468.61; 0.00% / 0 / 0.00; 0.03% / 0 / 790.00; 0.72% / 24500.00 / 1829.74; 0.24% / 8350.00 / 686.66; 4.17% / 145347.03 / 13768.61; 28.11% / 1568073.74 / 682033.14; 2.37% / 12423.45 / 87188.85; 7.22% / 381051.64 / 153600.57; 12.68% / 10389615.05 / 9989822.82; 0.00% / 0 / 0.00; 1.61
Prefeitura Municipal de São Félix do Tocantins - TO; 1720150; TO; 1532; 0.41% / 435306.73 / 468752.14; 0.00% / 0 / 0.00; 0.00% / 0 / 364.50; 3.58% / 1457335.32 / 1752888.15; 0.00% / 0 / 0.00; 0.09% / 190.02 / 7613.70; 0.00% / 0 / 0.00; 1.29% / 606869.96 / 500129.19; 1.86% / 0 / 153569.77; 7.86% / 1724449.78 / 2372303.28; 0.00% / 0 / 0.00; 14.41% / 1282570.94 / 2470622.93; 1.21% / 178303.00 / 78586.21; 1.51% / 124522.57 / 0.00; 5.94% / 97245.57 / 587070.79; 0.41% / 0 / 33645.48; 0.41% / 0 / 33966.82; 5.44% / 495604.39 / 46943.69; 0.00% / 0 / 0.00; 4.99% / 131668.82 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 1.72% / 143350.68 / 1829.74; 0.01% / 0 / 686.66; 0.17% / 0 / 13768.61; 8.27% / 0 / 682033.14; 1.05% / 800.00 / 87188.85; 0.53% / 109837.48 / 153600.57; 38.83% / 6788055.26 / 9989822.82; 0.00% / 0 / 0.00; 2.65
Prefeitura Municipal de Montauri - RS; 4312351; RS; 1562; 4.80% / 220179.14 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 6.03% / 1440429.80 / 1752888.15; 0.00% / 0 / 0.00; 0.15% / 0 / 7613.70; 0.00% / 0 / 0.00; 6.44% / 166424.91 / 500129.19; 2.97% / 0 / 153569.77; 2.46% / 2244901.04 / 2372303.28; 0.00% / 0 / 0.00; 17.04% / 1588234.22 / 2470622.93; 1.10% / 135729.44 / 78586.21; 0.00% / 0 / 0.00; 1.65% / 501491.72 / 587070.79; 0.65% / 0 / 33645.48; 12.11% / 661013.06 / 33966.82; 0.43% / 24451.00 / 46943.69; 0.00% / 0 / 0.00; 11.14% / 1120644.01 / 543468.61; 0.00% / 0 / 0.00; 2.76% / 143529.19 / 790.00; 0.34% / 19337.58 / 1829.74; 0.35% / 18726.80 / 686.66; 0.10% / 8800.00 / 13768.61; 22.20% / 1832005.93 / 682033.14; 0.46% / 63593.55 / 87188.85; 2.97% / 0 / 153600.57; 3.86% / 10189491.39 / 9989822.82; 0.00% / 0 / 0.00; 1.63
Prefeitura Municipal de Carlos Gomes - RS; 4304853; RS; 1588; 0.63% / 441025.19 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 8.26% / 1388350.71 / 1752888.15; 0.00% / 0 / 0.00; 0.02% / 6859.85 / 7613.70; 0.00% / 0 / 0.00; 2.17% / 404534.26 / 500129.19; 3.28% / 8688.00 / 153569.77; 5.80% / 2116543.28 / 2372303.28; 0.72% / 31905.05 / 0.00; 16.32% / 1750538.11 / 2470622.93; 3.24% / 221568.66 / 78586.21; 0.00% / 0 / 0.00; 11.23% / 91417.84 / 587070.79; 0.59% / 7458.18 / 33645.48; 0.91% / 74089.08 / 33966.82; 0.03% / 48201.76 / 46943.69; 0.72% / 31839.69 / 0.00; 10.67% / 1014349.93 / 543468.61; 0.00% / 0 / 0.00; 1.05% / 47325.18 / 790.00; 0.04% / 0 / 1829.74; 0.01% / 175.00 / 686.66; 0.79% / 48619.63 / 13768.61; 5.67% / 932286.64 / 682033.14; 1.63% / 15072.56 / 87188.85; 0.62% / 180925.10 / 153600.57; 25.57% / 8861773.70 / 9989822.82; 0.00% / 0 / 0.00; 1.90
Prefeitura Municipal de Flor do Sertão - SC; 4205357; SC; 1603; 0.45% / 447153.85 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.17% / 1505349.85 / 1752888.15; 0.00% / 0 / 0.00; 0.14% / 14274.07 / 7613.70; 0.00% / 0 / 0.00; 4.19% / 700631.49 / 500129.19; 3.21% / 0 / 153569.77; 7.08% / 2711302.33 / 2372303.28; 0.00% / 0 / 0.00; 4.42% / 2258751.82 / 2470622.93; 0.32% / 63127.52 / 78586.21; 0.00% / 0 / 0.00; 5.74% / 312081.14 / 587070.79; 0.88% / 75650.85 / 33645.48; 0.19% / 24751.10 / 33966.82; 0.98% / 0 / 46943.69; 0.00% / 0 / 0.00; 4.96% / 780859.79 / 543468.61; 0.00% / 0 / 0.00; 6.25% / 299963.37 / 790.00; 0.04% / 0 / 1829.74; 0.19% / 9763.60 / 686.66; 0.29% / 0 / 13768.61; 25.69% / 1912336.40 / 682033.14; 0.63% / 117475.61 / 87188.85; 1.02% / 104824.41 / 153600.57; 28.16% / 11338297.20 / 9989822.82; 0.00% / 0 / 0.00; 1.72
Prefeitura Municipal de São Sebastião do Rio Preto - MG; 3164803; MG; 1611; 0.69% / 511427.20 / 468752.14; 0.59% / 36524.17 / 0.00; 0.01% / 0 / 364.50; 14.21% / 876665.65 / 1752888.15; 0.00% / 0 / 0.00; 0.27% / 24083.81 / 7613.70; 0.00% / 0 / 0.00; 4.16% / 243655.79 / 500129.19; 4.05% / 403269.33 / 153569.77; 1.52% / 2278292.32 / 2372303.28; 0.00% / 0 / 0.00; 16.91% / 1427855.94 / 2470622.93; 1.69% / 182978.72 / 78586.21; 0.00% / 0 / 0.00; 7.48% / 1047949.21 / 587070.79; 0.55% / 0 / 33645.48; 0.66% / 74590.74 / 33966.82; 0.66% / 6287.12 / 46943.69; 0.00% / 0 / 0.00; 7.12% / 104468.12 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 1.54% / 95490.49 / 686.66; 0.65% / 53570.04 / 13768.61; 4.21% / 422732.13 / 682033.14; 0.61% / 49597.76 / 87188.85; 3.18% / 349940.69 / 153600.57; 29.20% / 8189379.23 / 9989822.82; 0.00% / 0 / 0.00; 2.03
