##Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_relativo_med
Prefeitura Municipal de São Sebastião do Rio Preto - MG;  3164803;  MG;  1611; Despesas (Exceto Intraorçamentárias); 29.20%; 8189379.23; 9989822.82; -1800443.59; Educação; 16.91%; 1427855.94; 2470622.93; -1042766.99; Administração; 14.21%; 876665.65; 1752888.15; -876222.50; Urbanismo; 07.48%; 1047949.21; 587070.79; 460878.42; Agricultura; 07.12%; 104468.12; 543468.61; -439000.49;  2.03
Prefeitura Municipal de São João da Paraúna - GO;  5220058;  GO;  1623; Despesas (Exceto Intraorçamentárias); 38.55%; 12761051.55; 9989822.82; 2771228.73; Administração; 12.68%; 2664090.31; 1752888.15; 911202.16; Saúde; 07.98%; 2946139.07; 2372303.28; 573835.79; Habitação; 06.07%; 470148.17; 33645.48; 436502.69; Urbanismo; 05.33%; 970093.40; 587070.79; 383022.61;  2.02
Prefeitura Municipal de Lagoa dos Três Cantos - RS;  4311270;  RS;  1649; Despesas (Exceto Intraorçamentárias); 20.46%; 11154728.40; 9989822.82; 1164905.58; Transporte; 17.91%; 1701846.10; 682033.14; 1019812.96; Educação; 15.39%; 1594007.11; 2470622.93; -876615.82; Agricultura; 10.67%; 1151323.22; 543468.61; 607854.61; Despesas (Intraorçamentárias); 10.65%; 606470.60; 0.00; 606470.60;  1.53
Prefeitura Municipal de Trabiju - SP;  3554755;  SP;  1650; Urbanismo; 23.86%; 1507975.91; 587070.79; 920905.12; Transporte; 17.67%; 0; 682033.14; -682033.14; Legislativa; 11.99%; 6020.69; 468752.14; -462731.45; Cultura; 10.27%; 474937.99; 78586.21; 396351.78; Saúde; 06.38%; 2126012.49; 2372303.28; -246290.79;  1.81
Prefeitura Municipal de Fernão - SP;  3515657;  SP;  1658; Urbanismo; 19.85%; 1304733.79; 587070.79; 717663.00; Despesas (Intraorçamentárias); 16.13%; 583053.13; 0.00; 583053.13; Educação; 15.30%; 1917466.23; 2470622.93; -553156.70; Previdência Social; 07.70%; 431713.36; 153569.77; 278143.59; Administração; 06.69%; 1511002.01; 1752888.15; -241886.14;  1.56
Prefeitura Municipal de Flora Rica - SP;  3515806;  SP;  1666; Administração; 32.89%; 3806212.76; 1752888.15; 2053324.61; Urbanismo; 12.32%; 1356190.67; 587070.79; 769119.88; Transporte; 10.92%; 0; 682033.14; -682033.14; Educação; 10.07%; 1841884.06; 2470622.93; -628738.87; Despesas (Exceto Intraorçamentárias); 08.46%; 10517967.47; 9989822.82; 528144.65;  1.51
Prefeitura Municipal de Presidente Castello Branco - SC;  4213906;  SC;  1670; Despesas (Exceto Intraorçamentárias); 24.33%; 11333180.17; 9989822.82; 1343357.35; Agricultura; 22.64%; 1793549.67; 543468.61; 1250081.06; Transporte; 20.18%; 1796107.10; 682033.14; 1114073.96; Educação; 09.59%; 1941152.88; 2470622.93; -529470.05; Saúde; 04.86%; 2104098.53; 2372303.28; -268204.75;  1.59
Prefeitura Municipal de Jardinópolis - SC;  4208955;  SC;  1697; Despesas (Exceto Intraorçamentárias); 15.67%; 10663656.82; 9989822.82; 673834.00; Agricultura; 15.12%; 1193749.77; 543468.61; 650281.16; Educação; 12.31%; 1941316.95; 2470622.93; -529305.98; Transporte; 09.64%; 1096874.20; 682033.14; 414841.06; Administração; 06.93%; 1454747.43; 1752888.15; -298140.72;  1.55
Prefeitura Municipal de Linha Nova - RS;  4311643;  RS;  1697; Despesas (Exceto Intraorçamentárias); 27.00%; 7553033.10; 9989822.82; -2436789.72; Administração; 18.19%; 3394505.47; 1752888.15; 1641617.32; Educação; 13.22%; 1277073.54; 2470622.93; -1193549.39; Saúde; 09.29%; 1534098.88; 2372303.28; -838204.40; Urbanismo; 06.50%; 0; 587070.79; -587070.79;  1.88
Prefeitura Municipal de Gentil - RS;  4308854;  RS;  1714; Despesas (Exceto Intraorçamentárias); 28.66%; 11310444.50; 9989822.82; 1320621.68; Agricultura; 16.81%; 1318166.64; 543468.61; 774698.03; Urbanismo; 10.85%; 86920.44; 587070.79; -500150.35; Saneamento; 06.95%; 354005.69; 33966.82; 320038.87; Desporto e Lazer; 06.43%; 383270.81; 87188.85; 296081.96;  1.54
Prefeitura Municipal de Moiporá - GO;  5213400;  GO;  1724; Educação; 25.10%; 1104810.90; 2470622.93; -1365812.03; Despesas (Exceto Intraorçamentárias); 23.43%; 8714782.90; 9989822.82; -1275039.92; Administração; 10.91%; 2346703.25; 1752888.15; 593815.10; Previdência Social; 08.21%; 600276.56; 153569.77; 446706.79; Agricultura; 07.60%; 129732.33; 543468.61; -413736.28;  1.60
Prefeitura Municipal de Ponte Preta - RS;  4314787;  RS;  1743; Despesas (Exceto Intraorçamentárias); 15.86%; 9182299.94; 9989822.82; -807522.88; Educação; 15.17%; 1698153.71; 2470622.93; -772469.22; Saúde; 13.91%; 1663855.63; 2372303.28; -708447.65; Indústria; 12.11%; 617620.05; 790.00; 616830.05; Transporte; 11.67%; 1276235.11; 682033.14; 594201.97;  2.79
Prefeitura Municipal de Nicolau Vergueiro - RS;  4312674;  RS;  1760; Despesas (Exceto Intraorçamentárias); 24.75%; 11436944.01; 9989822.82; 1447121.19; Transporte; 23.56%; 2059351.18; 682033.14; 1377318.04; Educação; 09.83%; 1895638.15; 2470622.93; -574984.78; Urbanismo; 08.45%; 92738.88; 587070.79; -494331.91; Saneamento; 08.28%; 518066.41; 33966.82; 484099.59;  2.24
Prefeitura Municipal de Passabém - MG;  3147501;  MG;  1764; Educação; 21.56%; 1343134.58; 2470622.93; -1127488.35; Despesas (Exceto Intraorçamentárias); 14.27%; 9243344.20; 9989822.82; -746478.62; Administração; 13.99%; 1021074.35; 1752888.15; -731813.80; Urbanismo; 09.60%; 1088965.23; 587070.79; 501894.44; Agricultura; 09.57%; 43132.98; 543468.61; -500335.63;  1.64
Prefeitura Municipal de Porto Vera Cruz - RS;  4315073;  RS;  1764; Educação; 18.40%; 1604948.25; 2470622.93; -865674.68; Previdência Social; 15.58%; 886822.41; 153569.77; 733252.64; Administração; 15.42%; 2478751.87; 1752888.15; 725863.72; Saúde; 12.89%; 1765750.98; 2372303.28; -606552.30; Urbanismo; 09.84%; 124054.06; 587070.79; -463016.73;  1.51
Prefeitura Municipal de Capão Bonito do Sul - RS;  4304622;  RS;  1776; Despesas (Exceto Intraorçamentárias); 20.67%; 11274246.03; 9989822.82; 1284423.21; Transporte; 14.45%; 1579823.74; 682033.14; 897790.60; Administração; 12.59%; 2534966.57; 1752888.15; 782078.42; Educação; 09.67%; 3071459.44; 2470622.93; 600836.51; Urbanismo; 07.98%; 91525.50; 587070.79; -495545.29;  1.97
Prefeitura Municipal de Consolação - MG;  3118502;  MG;  1801; Despesas (Exceto Intraorçamentárias); 22.45%; 8875898.91; 9989822.82; -1113923.91; Educação; 16.57%; 1648633.74; 2470622.93; -821989.19; Administração; 10.55%; 1229495.62; 1752888.15; -523392.53; Agricultura; 09.24%; 85146.14; 543468.61; -458322.47; Previdência Social; 07.85%; 543108.37; 153569.77; 389538.60;  1.57
Prefeitura Municipal de Mato Queimado - RS;  4312179;  RS;  1808; Transporte; 17.14%; 30428.50; 682033.14; -651604.64; Urbanismo; 14.16%; 1125247.59; 587070.79; 538176.80; Agricultura; 12.60%; 1022518.13; 543468.61; 479049.52; Habitação; 12.50%; 508989.11; 33645.48; 475343.63; Assistência Social; 07.77%; 204589.28; 500129.19; -295539.91;  1.80
Prefeitura Municipal de Pedro Teixeira - MG;  3149408;  MG;  1840; Educação; 18.55%; 1620601.55; 2470622.93; -850021.38; Despesas (Exceto Intraorçamentárias); 16.85%; 9217786.60; 9989822.82; -772036.22; Administração; 15.80%; 1028682.06; 1752888.15; -724206.09; Previdência Social; 08.18%; 528340.70; 153569.77; 374770.93; Saúde; 08.05%; 2741341.13; 2372303.28; 369037.85;  1.73
Prefeitura Municipal de Alto Alegre - RS;  4300554;  RS;  1841; Educação; 22.91%; 1371509.28; 2470622.93; -1099113.65; Despesas (Exceto Intraorçamentárias); 15.52%; 9245042.13; 9989822.82; -744780.69; Transporte; 12.72%; 1292475.48; 682033.14; 610442.34; Despesas (Intraorçamentárias); 07.86%; 377293.74; 0.00; 377293.74; Saúde; 07.03%; 2034823.39; 2372303.28; -337479.89;  1.55
Prefeitura Municipal de Ipueiras - TO;  1709807;  TO;  1843; Despesas (Exceto Intraorçamentárias); 37.15%; 7475814.96; 9989822.82; -2514007.86; Saúde; 12.53%; 1524277.80; 2372303.28; -848025.48; Transporte; 09.86%; 14989.40; 682033.14; -667043.74; Administração; 09.46%; 1112956.41; 1752888.15; -639931.74; Comércio e Serviços; 08.19%; 555992.97; 1829.74; 554163.23;  1.88
Prefeitura Municipal de Quixabá - PB;  2512606;  PB;  1868; Urbanismo; 17.84%; 1229442.21; 587070.79; 642371.42; Transporte; 17.06%; 67755.78; 682033.14; -614277.36; Despesas (Exceto Intraorçamentárias); 15.16%; 9443953.95; 9989822.82; -545868.87; Legislativa; 13.02%; 0; 468752.14; -468752.14; Cultura; 07.76%; 357783.00; 78586.21; 279196.79;  2.00
Prefeitura Municipal de Coxixola - PB;  2504850;  PB;  1874; Despesas (Exceto Intraorçamentárias); 32.35%; 7983853.38; 9989822.82; -2005969.44; Educação; 11.96%; 1729097.66; 2470622.93; -741525.27; Transporte; 10.30%; 43100.00; 682033.14; -638933.14; Urbanismo; 09.50%; 1176130.03; 587070.79; 589059.24; Administração; 08.47%; 1227840.04; 1752888.15; -525048.11;  1.94
Prefeitura Municipal de São João de Iracema - SP;  3549250;  SP;  1875; Despesas (Exceto Intraorçamentárias); 27.99%; 11261981.37; 9989822.82; 1272158.55; Despesas (Intraorçamentárias); 19.63%; 892416.67; 0.00; 892416.67; Previdência Social; 08.80%; 553557.59; 153569.77; 399987.82; Educação; 07.24%; 2141646.37; 2470622.93; -328976.56; Gestão Ambiental; 05.69%; 305750.00; 46943.69; 258806.31;  1.74
Prefeitura Municipal de Esperança Nova - PR;  4107520;  PR;  1922; Despesas (Exceto Intraorçamentárias); 28.47%; 8791811.21; 9989822.82; -1198011.61; Educação; 19.56%; 1647377.72; 2470622.93; -823245.21; Legislativa; 11.14%; 0; 468752.14; -468752.14; Despesas (Intraorçamentárias); 06.49%; 273020.28; 0.00; 273020.28; Gestão Ambiental; 05.50%; 278179.20; 46943.69; 231235.51;  1.79
Prefeitura Municipal de Mesópolis - SP;  3529658;  SP;  1933; Despesas (Exceto Intraorçamentárias); 37.05%; 12536954.78; 9989822.82; 2547131.96; Educação; 15.17%; 3513583.63; 2470622.93; 1042960.70; Previdência Social; 13.27%; 1065900.63; 153569.77; 912330.86; Encargos Especiais; 09.32%; 794199.77; 153600.57; 640599.20; Urbanismo; 06.93%; 1063378.08; 587070.79; 476307.29;  1.70
Prefeitura Municipal de Olaria - MG;  3145406;  MG;  1935; Previdência Social; 22.05%; 854404.00; 153569.77; 700834.23; Administração; 11.87%; 1375554.20; 1752888.15; -377333.95; Assistência Social; 11.06%; 148392.19; 500129.19; -351737.00; Agricultura; 10.88%; 197613.83; 543468.61; -345854.78; Educação; 08.97%; 2185386.48; 2470622.93; -285236.45;  1.52
Prefeitura Municipal de Rio da Conceição - TO;  1718659;  TO;  1938; Despesas (Exceto Intraorçamentárias); 35.06%; 7706867.56; 9989822.82; -2282955.26; Saúde; 14.32%; 1439816.28; 2372303.28; -932487.00; Transporte; 10.41%; 4463.47; 682033.14; -677569.67; Educação; 09.43%; 1856845.81; 2470622.93; -613777.12; Agricultura; 08.35%; 0; 543468.61; -543468.61;  1.57
Prefeitura Municipal de Turiúba - SP;  3555208;  SP;  2005; Despesas (Exceto Intraorçamentárias); 22.78%; 11173595.61; 9989822.82; 1183772.79; Previdência Social; 17.35%; 1055031.26; 153569.77; 901461.49; Despesas (Intraorçamentárias); 15.37%; 798821.65; 0.00; 798821.65; Administração; 10.52%; 2299416.76; 1752888.15; 546528.61; Transporte; 08.98%; 215341.36; 682033.14; -466691.78;  1.53
Prefeitura Municipal de Serranos - MG;  3167004;  MG;  2033; Educação; 20.00%; 1345081.93; 2470622.93; -1125541.00; Despesas (Exceto Intraorçamentárias); 14.47%; 9175478.55; 9989822.82; -814344.27; Previdência Social; 14.40%; 964046.04; 153569.77; 810476.27; Despesas (Intraorçamentárias); 11.10%; 624652.57; 0.00; 624652.57; Administração; 10.96%; 1136120.03; 1752888.15; -616768.12;  1.70
Prefeitura Municipal de Protásio Alves - RS;  4315172;  RS;  2044; Administração; 24.07%; 3012896.10; 1752888.15; 1260007.95; Educação; 15.92%; 1637031.21; 2470622.93; -833591.72; Trabalho; 12.55%; 657128.34; 0.00; 657128.34; Legislativa; 08.95%; 0; 468752.14; -468752.14; Despesas (Exceto Intraorçamentárias); 06.60%; 10335287.49; 9989822.82; 345464.67;  3.24
Prefeitura Municipal de Senador Cortes - MG;  3165602;  MG;  2046; Administração; 44.38%; 9064679.84; 1752888.15; 7311791.69; Educação; 15.00%; 0; 2470622.93; -2470622.93; Saúde; 14.40%; 0; 2372303.28; -2372303.28; Despesas (Exceto Intraorçamentárias); 05.62%; 9064679.84; 9989822.82; -925142.98; Transporte; 04.14%; 0; 682033.14; -682033.14;  3.42
Prefeitura Municipal de Santo Antônio do Planalto - RS;  4317756;  RS;  2055; Transporte; 18.83%; 1731960.29; 682033.14; 1049927.15; Despesas (Intraorçamentárias); 15.41%; 859234.29; 0.00; 859234.29; Despesas (Exceto Intraorçamentárias); 12.54%; 10689154.74; 9989822.82; 699331.92; Urbanismo; 10.51%; 1023.10; 587070.79; -586047.69; Previdência Social; 08.29%; 615875.49; 153569.77; 462305.72;  1.96
Prefeitura Municipal de São Patrício - GO;  5220280;  GO;  2058; Urbanismo; 24.19%; 2004951.70; 587070.79; 1417880.91; Despesas (Exceto Intraorçamentárias); 17.48%; 11014540.05; 9989822.82; 1024717.23; Educação; 17.06%; 1470368.31; 2470622.93; -1000254.62; Transporte; 11.21%; 24600.00; 682033.14; -657433.14; Previdência Social; 06.47%; 532660.21; 153569.77; 379090.44;  1.67
Prefeitura Municipal de Água Comprida - MG;  3100708;  MG;  2067; Despesas (Exceto Intraorçamentárias); 39.67%; 14584160.92; 9989822.82; 4594338.10; Saúde; 12.72%; 3845795.47; 2372303.28; 1473492.19; Administração; 07.77%; 2652262.87; 1752888.15; 899374.72; Saneamento; 07.15%; 862313.76; 33966.82; 828346.94; Urbanismo; 04.35%; 1090627.13; 587070.79; 503556.34;  1.90
Prefeitura Municipal de Santa Cruz da Esperança - SP;  3546256;  SP;  2070; Despesas (Exceto Intraorçamentárias); 27.56%; 12053189.78; 9989822.82; 2063366.96; Educação; 17.69%; 3794837.19; 2470622.93; 1324214.26; Administração; 12.51%; 2689877.33; 1752888.15; 936989.18; Saúde; 11.37%; 3223594.29; 2372303.28; 851291.01; Transporte; 08.24%; 65298.47; 682033.14; -616734.67;  1.75
Prefeitura Municipal de Aloândia - GO;  5200506;  GO;  2084; Educação; 27.63%; 1045908.22; 2470622.93; -1424714.71; Despesas (Exceto Intraorçamentárias); 21.41%; 8885533.09; 9989822.82; -1104289.73; Agricultura; 10.54%; 0; 543468.61; -543468.61; Administração; 09.68%; 2252213.81; 1752888.15; 499325.66; Saúde; 08.74%; 2822882.43; 2372303.28; 450579.15;  2.59
Prefeitura Municipal de Santo Antônio dos Milagres - PI;  2209450;  PI;  2109; Despesas (Exceto Intraorçamentárias); 41.78%; 7428764.06; 9989822.82; -2561058.76; Saúde; 12.67%; 1595548.60; 2372303.28; -776754.68; Transporte; 10.92%; 12800.00; 682033.14; -669233.14; Agricultura; 07.66%; 73783.00; 543468.61; -469685.61; Educação; 07.17%; 2030911.57; 2470622.93; -439711.36;  1.80
Prefeitura Municipal de Aracitaba - MG;  3103306;  MG;  2112; Despesas (Exceto Intraorçamentárias); 30.90%; 8093187.95; 9989822.82; -1896634.87; Educação; 19.45%; 1276876.86; 2470622.93; -1193746.07; Saúde; 07.30%; 1924261.17; 2372303.28; -448042.11; Administração; 06.61%; 1347091.45; 1752888.15; -405796.70; Previdência Social; 06.45%; 549245.87; 153569.77; 395676.10;  1.52
Prefeitura Municipal de Santa Rosa de Lima - SC;  4215604;  SC;  2122; Despesas (Exceto Intraorçamentárias); 33.29%; 12597142.87; 9989822.82; 2607320.05; Transporte; 31.85%; 3176592.22; 682033.14; 2494559.08; Administração; 07.00%; 1205082.02; 1752888.15; -547806.13; Educação; 05.01%; 2862625.26; 2470622.93; 392002.33; Urbanismo; 04.99%; 196360.19; 587070.79; -390710.60;  1.92
Prefeitura Municipal de Davinópolis - GO;  5206909;  GO;  2123; Despesas (Exceto Intraorçamentárias); 44.74%; 14059529.10; 9989822.82; 4069706.28; Previdência Social; 12.03%; 1247820.20; 153569.77; 1094250.43; Urbanismo; 10.79%; 1568983.63; 587070.79; 981912.84; Administração; 05.64%; 2265833.75; 1752888.15; 512945.60; Saúde; 05.18%; 2843311.61; 2372303.28; 471008.33;  1.53
Prefeitura Municipal de Pinhal da Serra - RS;  4314464;  RS;  2138; Despesas (Exceto Intraorçamentárias); 45.88%; 18633859.58; 9989822.82; 8644036.76; Administração; 22.88%; 6062912.17; 1752888.15; 4310024.02; Saúde; 11.94%; 4621957.97; 2372303.28; 2249654.69; Agricultura; 06.49%; 1766197.69; 543468.61; 1222729.08; Educação; 03.67%; 3162475.13; 2470622.93; 691852.20;  1.73
Prefeitura Municipal de Ivorá - RS;  4310751;  RS;  2149; Educação; 22.89%; 1708594.98; 2470622.93; -762027.95; Despesas (Exceto Intraorçamentárias); 13.60%; 9536981.15; 9989822.82; -452841.67; Urbanismo; 09.96%; 918523.44; 587070.79; 331452.65; Administração; 09.89%; 1423725.69; 1752888.15; -329162.46; Previdência Social; 09.14%; 457937.41; 153569.77; 304367.64;  1.53
