##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.211 - Relações Diplomáticas";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infra-Estrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.601 - Promoção da Produção Vegetal";"20.602 - Promoção da Produção Animal";"20.603 - Defesa Sanitária Vegetal";"20.604 - Defesa Sanitária Animal";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Petróleo";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Áreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intra-Orçamentárias)";"Despesas (Intra-Orçamentárias)"
Prefeitura Municipal de Coromandel - MG;3119302;MG;28398;1907479.90;1907479.90;0;0;0;0;0;0;566810.25;566810.25;0;0;6184853.81;0;5359567.03;0;58488.22;0;6300.00;0;0;0;0;0;760498.56;0;0;0;0;58548.51;58548.51;0;0;0;0;0;0;0;1457558.88;161532.10;34553.75;552068.80;709404.23;0;1846356.15;0;1598355.40;0;0;248000.75;15490550.05;3499248.67;8268794.81;418650.15;29147.61;314210.74;98045.10;2862452.97;0;0;0;0;0;0;10701095.28;6364498.09;984069.06;0;168248.43;1738247.37;0;170915.34;1275116.99;0;694628.05;13670.60;680957.45;0;0;0;0;0;0;4909192.01;1551821.35;3236410.66;0;120960.00;0;0;0;0;165000.00;0;165000.00;0;172546.95;147515.08;1539.88;0;0;0;23491.99;62141.22;0;0;62141.22;0;923200.28;0;71913.23;0;0;370835.70;199826.58;0;280624.77;0;0;0;0;0;0;0;0;0;0;0;309559.37;61275.17;0;0;0;4400.00;243884.20;569761.82;0;0;569761.82;11054.73;0;11054.73;0;0;1613124.95;0;1613124.95;0;0;0;0;741097.34;179851.29;561246.05;0;0;328084.76;0;0;328084.76;0;0;0;0;0;48712644.31;1498817.33
Prefeitura Municipal de Jaboatão dos Guararapes - PE;2607901;PE;675599;20782317.47;6174364.21;0;14607953.26;0;0;0;0;0;0;0;0;135476082.87;9170322.33;105577889.92;930861.56;0;0;1157243.00;0;0;1562416.33;0;10250934.24;6826415.49;0;0;0;0;16078637.64;1241547.55;2483726.55;0;12353363.54;0;0;0;0;20693960.25;0;0;3135842.18;13009168.91;4548949.16;68713291.92;0;63994916.45;0;0;4718375.47;201624856.33;46208196.38;83319342.67;8588608.90;430971.03;9283147.65;0;53794589.70;14988357.36;10164955.09;0;3374177.51;271284.04;1177940.72;225969422.37;49523310.26;0;0;0;786233.96;450630.40;6110.00;131157876.10;44045261.65;11073098.65;22220.00;9609251.56;1441627.09;3971060.77;0;928911.25;0;3042149.52;150888537.27;33892324.09;46522870.36;0;70473342.82;3884727.31;0;3884727.31;0;1168509.21;0;1168509.21;0;1130247.24;860251.93;0;0;0;0;269995.31;0;0;0;0;0;387603.88;0;4044.75;0;0;0;383559.13;0;0;0;0;0;0;0;0;0;0;0;0;0;102244.27;6140.00;0;0;0;96104.27;0;0;0;0;0;16201844.33;0;0;0;16201844.33;1631862.20;0;0;0;0;0;1631862.20;4439154.37;0;2587504.78;676399.70;1175249.89;10001490.19;0;0;3612069.66;0;0;6389420.53;0;0;909207305.90;11177268.86
Prefeitura Municipal de Ubaíra - BA;2932101;BA;21897;1152667.68;1152667.68;0;0;0;0;0;0;0;0;0;0;2671408.91;0;2265179.65;341769.26;64460.00;0;0;0;0;0;0;0;0;0;0;0;0;7252.46;7252.46;0;0;0;0;0;0;0;942111.66;42134.23;0;115716.33;428175.22;356085.88;0;0;0;0;0;0;6461525.32;5283620.26;325394.78;90234.95;552.90;215103.56;0;546618.87;0;0;0;0;0;0;14387043.34;10238674.66;0;0;0;1283392.98;61538.05;0;1746348.45;1057089.20;1007452.67;0;1007452.67;0;0;0;0;0;0;1652231.39;1130972.68;198108.19;0;323150.52;4402.27;0;4402.27;0;1313236.46;99744.59;1213491.87;0;0;0;0;0;0;0;0;0;0;0;0;0;104524.00;1178.00;0;0;0;0;0;0;103346.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1052541.83;0;1052541.83;0;0;0;0;74343.77;0;37210.24;0;37133.53;857198.59;0;0;167635.04;0;0;689563.55;0;0;31687940.35;0
Prefeitura Municipal de Fernando Pedroza - RN;2403756;RN;3000;509714.83;509714.83;0;0;0;0;0;0;0;0;0;0;1448342.65;0;1274598.67;173743.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998027.20;7126.80;0;35491.25;274580.05;680829.10;0;0;0;0;0;0;2068988.46;1821449.71;1070.00;0;0;0;0;246468.75;0;0;0;0;0;0;2534741.25;1320106.08;0;920046.82;0;294010.15;0;0;0;578.20;0;0;0;0;0;0;0;0;0;1053388.17;14640.00;0;0;1038748.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8613202.56;0
Prefeitura Municipal de Nova Bassano - RS;4312906;RS;9343;430612.99;430612.99;0;0;0;0;0;0;0;0;0;0;4945554.69;0;4206625.78;503602.92;24466.20;0;130502.00;0;12884.21;23976.00;0;43497.58;0;0;0;0;0;809.90;0;0;0;809.90;0;0;0;0;476075.85;28204.68;25312.32;0;422558.85;0;1399225.59;0;1399225.59;0;0;0;5726661.14;4085279.25;1557659.86;0;60400.69;23321.34;0;0;0;0;0;0;0;0;5645117.22;2776578.60;246123.20;0;439127.00;1386495.41;0;626424.43;0;170368.58;137219.64;6635.85;93594.69;36989.10;0;0;0;0;0;76179.66;0;18446.51;0;57733.15;0;0;0;0;436877.96;0;25661.00;411216.96;197751.21;108677.95;0;0;0;0;89073.26;0;0;0;0;0;176660.47;0;126121.81;0;0;0;50538.66;0;0;0;0;0;0;336910.00;333000.00;0;0;0;0;3910.00;7722.50;0;0;0;0;7722.50;0;4638.36;0;4638.36;0;221590.90;0;221590.90;0;0;1232960.74;0;1232960.74;0;0;0;0;962863.97;128533.89;821674.28;12655.80;0;807892.83;114687.76;0;0;0;0;693205.07;0;0;23223325.62;0
Prefeitura Municipal de Elisiário - SP;3514924;SP;3359;473057.87;473057.87;0;0;0;0;0;0;0;0;0;0;2639463.80;0;2487833.99;151629.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545055.05;0;0;69165.72;475889.33;0;61022.16;61022.16;0;0;0;0;2275031.50;2275031.50;0;0;0;0;0;0;0;0;0;0;0;0;3228927.58;2985956.79;0;0;0;237956.50;0;0;0;5014.29;0;0;0;0;0;0;0;0;0;1710058.30;149564.10;1560494.20;0;0;0;0;0;0;276052.28;0;276052.28;0;2910.82;2910.82;0;0;0;0;0;0;0;0;0;0;188319.80;188319.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325574.71;0;325574.71;0;0;0;0;236990.94;0;236990.94;0;0;572350.11;0;0;514964.87;0;0;57385.24;0;0;12534814.92;0
Prefeitura Municipal de Machados - PE;2609105;PE;14770;947514.59;947514.59;0;0;0;0;0;0;0;0;0;0;2540118.10;0;882413.12;1657132.98;572.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770912.28;922.50;0;202309.41;567680.37;0;909795.16;909795.16;0;0;0;0;5301287.98;2443966.02;2778083.28;0;2190.00;77048.68;0;0;0;0;0;0;0;0;6283728.60;6081792.68;0;0;0;201935.92;0;0;0;0;0;0;0;0;0;0;0;0;0;1672474.16;181641.05;1490833.11;0;0;0;0;0;0;0;0;0;0;15811.38;0;0;0;15811.38;0;0;0;0;0;0;0;383809.05;0;0;0;0;383809.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142694.11;0;142694.11;0;0;0;0;1044983.93;0;146647.04;898336.89;0;435139.29;0;0;435139.29;0;0;0;0;0;20448268.63;0
Prefeitura Municipal de Nova Canaã do Norte - MT;5106216;MT;12295;1651279.65;1651279.65;0;0;97910.71;0;97910.71;0;0;0;0;0;3697950.77;0;3052284.68;569315.41;5085.50;0;0;0;19800.00;0;0;51465.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1224832.39;0;0;60115.85;1164716.54;0;920976.66;0;920976.66;0;0;0;7107797.10;6497776.19;301222.95;203256.45;0;105541.51;0;0;282405.91;282405.91;0;0;0;0;9084662.18;7420215.79;0;0;0;1564446.39;0;100000.00;0;0;314013.34;0;314013.34;0;0;0;0;0;0;1360662.22;1192996.94;167665.28;0;0;0;0;0;0;69983.04;0;69983.04;0;0;0;0;0;0;0;0;0;0;0;0;0;563329.74;0;0;0;0;0;563329.74;0;0;0;0;0;0;252954.35;252954.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28479.72;0;28479.72;0;0;3830602.48;0;3830602.48;0;0;0;0;324205.72;0;324205.72;0;0;266900.71;0;0;266900.71;0;0;0;0;0;31078946.69;0
Prefeitura Municipal de Sales - SP;3544806;SP;5853;583611.74;583611.74;0;0;0;0;0;0;0;0;0;0;3335122.48;0;3335122.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;868755.56;77391.23;55000.00;75483.51;660880.82;0;1130273.10;0;1130273.10;0;0;0;4322872.73;3852452.87;216750.24;103015.60;150654.02;0;0;0;0;0;0;0;0;0;4692063.63;2789439.29;248001.45;3748.29;206736.45;1444138.15;0;0;0;0;27413.90;0;27413.90;0;0;0;0;0;0;1678760.20;188806.31;1489953.89;0;0;600000.00;0;600000.00;0;5162640.19;0;5162640.19;0;0;0;0;0;0;0;0;0;0;0;0;0;248634.39;248634.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;818670.39;0;0;0;0;818670.39;0;0;0;0;0;0;0;0;0;0;1074972.13;0;1074972.13;0;0;0;0;169601.70;0;169601.70;0;0;589193.43;0;0;351193.43;0;0;238000.00;0;0;25302585.57;0
Prefeitura Municipal de Itinga - MG;3134004;MG;14963;924386.02;741696.85;0;182689.17;246019.75;0;59957.05;186062.70;0;0;0;0;1424623.59;0;1257548.73;90173.47;0;0;0;0;0;0;0;0;76901.39;4451.86;0;0;0;20020.30;20020.30;0;0;0;0;0;0;0;900205.05;0;0;330564.62;569640.43;0;0;0;0;0;0;0;4407509.72;130747.23;3308917.97;186921.07;9669.00;34243.68;0;737010.77;0;0;0;0;0;0;6738565.88;5091412.48;0;0;0;535135.35;0;0;0;1112018.05;345440.90;580.00;342427.90;2433.00;0;0;0;0;0;1466779.75;228418.53;809736.80;0;428624.42;0;0;0;0;86106.42;86106.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307606.69;0;0;0;0;3059.02;120496.81;0;184050.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32177.01;0;32177.01;0;0;0;0;0;0;517638.59;0;517638.59;0;0;0;0;98893.02;0;98893.02;0;0;2454009.59;0;0;587558.13;0;0;0;0;1866451.46;19974434.14;0
Prefeitura Municipal de Luís Gomes - RN;2407005;RN;10042;523174.85;523174.85;0;0;0;0;0;0;0;0;0;0;1826006.20;0;1826006.20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;769811.63;0;0;225473.77;544337.86;0;0;0;0;0;0;0;4640576.92;4425159.52;41724.79;91613.27;82079.34;0;0;0;0;0;0;0;0;0;6486538.06;6294387.10;0;0;0;0;181937.63;10213.33;0;0;0;0;0;0;0;0;0;0;0;964330.89;0;964330.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302582.05;0;0;0;0;0;302582.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100342.48;0;100342.48;0;0;42180.40;0;0;0;0;42180.40;0;0;0;15655543.48;654656.84
Prefeitura Municipal de Mogeiro - PB;2509404;PB;13349;671229.25;671229.25;0;0;0;0;0;0;0;0;0;0;2190948.98;0;2075201.41;115747.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954103.47;2613.00;0;83209.00;785486.17;82795.30;237428.00;237428.00;0;0;0;0;5511762.74;5046318.49;198680.80;76555.72;9384.50;50740.08;0;130083.15;175444.06;175444.06;0;0;0;0;8524539.51;7924846.69;0;0;0;261476.42;0;0;0;338216.40;210413.05;0;210413.05;0;0;0;0;0;0;3183114.06;561996.24;2621117.82;0;0;0;0;0;0;122485.58;0;122485.58;0;0;0;0;0;0;0;0;0;0;0;0;0;296936.08;33885.20;0;0;0;0;124500.00;0;138550.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72350.85;72350.85;0;0;0;0;0;0;0;0;0;0;83805.84;0;60375.84;0;23430.00;213094.93;0;0;0;0;0;213094.93;0;0;22447656.40;0
Prefeitura Municipal de Aragoiânia - GO;5201801;GO;9108;631393.37;631393.37;0;0;0;0;0;0;-1322552.57;-1322552.57;0;0;2099409.66;24000.00;1746432.37;275279.43;0;53697.86;0;0;0;0;0;0;0;0;0;0;0;46646.85;46646.85;0;0;0;0;0;0;0;541625.03;0;0;14912.40;526712.63;0;1005500.35;230264.07;775236.28;0;0;0;3908521.53;3703971.17;0;0;166371.50;38178.86;0;0;117148.29;117148.29;0;0;0;0;4829285.78;4669189.47;0;0;0;160096.31;0;0;0;0;21311.11;0;21311.11;0;0;0;0;0;0;1435724.67;0;1435724.67;0;0;0;0;0;0;0;0;0;0;34536.46;34536.46;0;0;0;0;0;0;0;0;0;0;67597.99;0;0;0;0;49597.99;18000.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37716.00;37716.00;0;0;0;0;0;0;0;241069.85;0;241069.85;0;0;0;0;98611.80;0;98611.80;0;0;286225.42;0;0;187011.01;0;0;99214.41;0;0;14079771.59;0
Prefeitura Municipal de Capela Nova - MG;3112208;MG;4848;503749.66;437942.25;0;65807.41;30000.00;30000.00;0;0;0;0;0;0;970249.68;0;580399.08;236031.52;45990.00;0;0;0;0;0;0;0;107829.08;0;0;0;0;23078.27;23078.27;0;0;0;0;0;0;0;233753.95;2060.43;0;58177.64;173515.88;0;534214.02;0;534214.02;0;0;0;2940018.65;2506405.56;14217.00;0;0;38943.43;0;380452.66;0;0;0;0;0;0;2088349.37;1951478.72;0;0;0;26804.46;0;0;0;110066.19;81639.36;18042.00;63597.36;0;0;0;0;0;0;334338.26;96502.88;0;0;237835.38;9777.87;9777.87;0;0;24739.08;1443.72;23295.36;0;0;0;0;0;0;0;0;0;0;0;0;0;431840.49;171453.20;10770.00;216.00;0;0;249401.29;0;0;0;0;0;0;0;0;0;0;0;0;0;279937.55;0;0;0;0;279937.55;0;19071.40;0;0;19071.40;141015.42;0;141015.42;0;0;484295.53;0;484295.53;0;0;0;0;20813.45;0;20813.45;0;0;269213.87;0;0;269213.87;0;0;0;0;0;9420095.88;0
Prefeitura Municipal de Leme - SP;3526704;SP;97505;3264607.27;3264607.27;0;0;0;0;0;0;3888998.68;0;3888998.68;0;10525270.11;0;7327740.19;2860267.24;0;0;0;0;0;0;0;337262.68;0;18773.39;0;0;0;3529392.24;3420908.03;108484.21;0;0;0;0;0;0;8319683.48;412784.10;370632.04;1380338.06;1397686.63;4758242.65;10944789.69;0;0;0;0;10944789.69;49547576.27;40173724.72;8192174.45;0;58112.17;1123564.93;0;0;572471.47;0;572471.47;0;0;0;55403838.48;38092777.09;198401.54;930172.62;400620.00;13968181.02;42520.24;182417.82;0;1588748.15;1850289.12;0;1640186.30;210102.82;0;0;0;0;0;13377651.97;4651757.41;8725894.56;0;0;0;0;0;0;16605909.63;0;9269545.41;7336364.22;1033929.63;1033929.63;0;0;0;0;0;0;0;0;0;0;471561.53;0;0;0;0;471561.53;0;0;0;0;0;0;0;400759.62;400759.62;0;0;0;0;0;3114.65;3114.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1498585.42;0;1498585.42;0;0;4184563.79;0;0;0;0;0;4184563.79;0;0;185441766.44;14077984.30
Prefeitura Municipal de Caraúbas - RN;2402303;RN;20414;1226991.23;1226991.23;0;0;0;0;0;0;0;0;0;0;4077138.78;116280.90;3684708.71;0;276149.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1614730.56;0;10000.00;828742.14;774246.97;1741.45;0;0;0;0;0;0;9439016.93;6927411.20;2247032.95;3000.00;58879.50;202693.28;0;0;0;0;0;0;0;0;14132963.52;8382113.45;0;0;192424.68;3459112.45;73935.69;2136.00;0;2023241.25;412995.89;0;319714.76;93281.13;280000.00;0;0;0;280000.00;2774057.17;306736.11;1057306.70;0;1410014.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1350562.27;0;0;0;0;670452.76;0;0;680109.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1698229.62;0;0;1698229.62;0;0;0;0;0;37006685.97;0
Prefeitura Municipal de Ibirajuba - PE;2606705;PE;7714;532067.57;532067.57;0;0;0;0;0;0;0;0;0;0;1881154.76;0;1113877.26;730090.84;37186.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;853384.30;7813.38;0;246281.91;229500.54;369788.47;1259882.14;261281.00;998601.14;0;0;0;3348076.32;892517.72;687978.36;27041.98;12835.00;76859.31;0;1650843.95;0;0;0;0;0;0;6427947.22;6195737.48;0;0;0;49336.62;0;0;0;182873.12;635258.82;0;635258.82;0;0;0;0;0;0;995507.72;452982.81;542524.91;0;0;0;0;0;0;164606.06;164606.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283705.64;0;0;0;0;1850.00;43165.00;0;238690.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;893891.60;0;893891.60;0;0;0;0;0;0;0;0;0;82344.30;0;0;0;0;0;82344.30;0;0;17357826.45;0
Prefeitura Municipal de São Pedro - RN;2412708;RN;6296;546896.45;546896.45;0;0;0;0;0;0;184599.89;0;0;184599.89;1660082.26;356548.86;738849.24;551364.16;13320.00;0;0;0;0;0;0;0;0;0;0;0;0;14193.33;0;14193.33;0;0;0;0;0;0;483439.50;15864.61;0;114708.62;352866.27;0;0;0;0;0;0;0;2361472.67;2301713.92;11661.57;0;2657.50;45439.68;0;0;0;0;0;0;0;0;4173507.00;3540169.73;78890.00;0;0;349787.84;108714.77;0;0;95944.66;0;0;0;0;0;0;0;0;0;1125337.50;145440.90;979896.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263651.30;0;0;0;0;0;263651.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19149.19;0;19149.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10832329.09;0
Prefeitura Municipal de Pereiro - CE;2310803;CE;16063;972231.35;972231.35;0;0;18247.05;18247.05;0;0;0;0;0;0;7510386.47;0;7510386.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1350.00;1350.00;0;0;0;0;0;0;0;285727.05;19140.80;0;168392.17;98194.08;0;408864.55;0;408864.55;0;0;0;5582154.43;2223472.73;2977107.84;0;12414.38;0;369159.48;0;15103.63;0;0;15103.63;0;0;11853329.54;10455657.37;210034.00;0;15389.99;905274.11;266974.07;0;0;0;156322.25;0;156322.25;0;0;0;0;0;0;983452.02;161366.14;822085.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5145.25;0;0;0;0;5145.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41981.86;0;0;0;0;41981.86;0;0;0;0;0;0;0;0;0;0;2892.00;0;2892.00;0;0;0;0;59467.75;0;59467.75;0;0;519612.54;0;0;228701.85;0;290910.69;0;0;0;28416267.74;0
Prefeitura Municipal de Rubiácea - SP;3544400;SP;2917;476938.54;476938.54;0;0;0;0;0;0;0;0;0;0;2372853.57;0;1530319.44;842534.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;498657.24;0;0;57840.68;440816.56;0;330990.40;0;330990.40;0;0;0;3756644.98;1923964.38;685209.05;232645.76;126343.09;35861.44;752621.26;0;0;0;0;0;0;0;4049049.34;2035694.04;8280.91;0;0;1990255.20;14819.19;0;0;0;139859.54;0;139859.54;0;0;0;0;0;0;1353418.93;0;1353418.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225507.18;0;0;0;0;0;225507.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461405.34;0;461405.34;0;0;0;0;37953.05;37953.05;0;0;0;151797.65;0;0;26562.73;0;0;125234.92;0;0;13855075.76;0
Prefeitura Municipal de Central - BA;2907608;BA;18061;1055921.76;1055921.76;0;0;175400.00;175400.00;0;0;0;0;0;0;3755806.37;0;2789805.00;948168.04;0;0;0;0;0;0;0;0;17833.33;0;0;0;0;0;0;0;0;0;0;0;0;0;743065.42;0;0;134883.79;608181.63;0;0;0;0;0;0;0;5356456.69;4210511.78;1134854.91;0;1598.00;0;0;9492.00;529157.38;288051.89;0;0;241105.49;0;10541370.47;10293156.03;0;0;0;0;0;0;0;248214.44;89229.24;0;89229.24;0;0;0;0;0;0;2589430.45;2005652.40;583778.05;0;0;0;0;0;0;0;0;0;0;79567.04;79567.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10812.25;0;0;0;0;10812.25;0;0;0;0;0;590680.56;0;590680.56;0;0;1118642.10;0;726524.56;0;0;0;392117.54;314004.82;0;314004.82;0;0;109781.80;0;0;109781.80;0;0;0;0;0;27059326.35;0
