##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.211 - Relações Diplomáticas";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infraestrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.608 - Promoção da Produção Agropecuária";"20.609 - Defesa Agropecuária";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Combustíveis Minerais";"25.754 - Biocombustíveis";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Aéreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Outras Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)"
Prefeitura Municipal de Bananal - SP;3504909;SP;10728;0;0;0;0;0;0;0;0;0;0;0;0;3616119.37;0;2022750.78;1180910.30;0;0;0;0;0;0;0;0;412458.29;0;0;0;0;0;0;0;0;0;0;0;0;0;799547.95;25257.31;0;196366.06;577924.58;0;0;0;0;0;0;0;9009720.80;6500843.63;2503934.51;0;0;4942.66;0;0;0;0;0;0;0;0;11404621.13;10212756.59;472688.50;0;57000.00;632181.54;0;29994.50;0;0;436044.67;414294.67;21750.00;0;0;0;0;0;0;2143019.29;523920.01;1619099.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188524.14;0;1188524.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2942.00;0;2942.00;0;0;0;0;147700.77;0;147700.77;0;0;0;0;0;0;0;0;0;0;0;28748240.12;0
Prefeitura Municipal de Porto Real - RJ;3304110;RJ;17970;10608240.42;10608240.42;0;0;0;0;0;0;0;0;0;0;55760776.91;0;55374773.91;0;0;0;0;0;0;386003.00;0;0;0;0;0;0;0;33800.00;0;33800.00;0;0;0;0;0;0;1063217.66;0;0;0;1063217.66;0;0;0;0;0;0;0;56956382.34;48991546.91;7680788.98;0;235000.00;49046.45;0;0;0;0;0;0;0;0;42608819.15;38762647.88;0;0;2525857.20;1094251.67;226062.40;0;0;0;445756.43;0;445756.43;0;0;0;0;0;0;15639106.72;2321194.46;13317912.26;0;0;61088.36;0;61088.36;0;2873563.48;0;2873563.48;0;140440.00;140440.00;0;0;0;0;0;0;0;0;0;0;181879.30;0;0;0;0;0;181879.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2858023.14;0;2858023.14;0;0;0;0;116500.60;0;116500.60;0;0;1928525.48;0;0;0;0;0;1928525.48;0;0;191276119.99;0
Prefeitura Municipal de Paranapoema - PR;4118303;PR;3016;479575.04;479575.04;0;0;153770.87;57976.04;95794.83;0;0;0;0;0;2206634.10;0;1011786.18;1194847.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583209.75;0;0;150125.46;433084.29;0;1186343.20;0;1186343.20;0;0;0;3846483.72;3683042.91;0;0;28549.25;101823.54;0;33068.02;0;0;0;0;0;0;2628031.64;1973841.22;0;0;0;490439.79;0;0;0;163750.63;65680.22;11790.30;53889.92;0;0;0;0;0;0;1423277.70;724994.24;698283.46;0;0;1212.00;0;1212.00;0;227580.21;0;227580.21;0;20441.39;20441.39;0;0;0;0;0;0;0;0;0;0;28182.14;0;0;0;0;0;28182.14;0;0;0;0;0;0;0;0;0;0;0;27874.64;27874.64;0;0;0;0;0;0;0;0;0;143516.67;0;143516.67;0;0;0;247335.58;0;33042.00;0;0;0;214293.58;21522.38;0;21522.38;0;0;2623.23;0;0;0;0;0;2623.23;0;0;13293294.48;0
Prefeitura Municipal de Lagoão - RS;4311254;RS;6480;555504.97;555504.97;0;0;0;0;0;0;0;0;0;0;2322625.28;0;2315314.48;0;0;0;0;0;0;7310.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812192.22;0;1041.20;27672.18;222508.39;560970.45;989705.87;0;989705.87;0;0;0;3104772.46;2668036.86;259379.84;0;172875.76;0;0;4480.00;0;0;0;0;0;0;5152742.46;4456543.07;0;0;0;546049.46;43984.21;86.00;0;106079.72;265317.77;0;265317.77;0;0;0;0;0;0;538126.58;538126.58;0;0;0;0;0;0;0;84048.93;0;84048.93;0;69442.36;0;69442.36;0;0;0;0;0;0;0;0;0;876488.58;0;196078.52;0;0;0;680410.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139472.88;0;139472.88;0;0;0;1204031.17;0;1169442.69;0;0;0;34588.48;19629.17;0;19629.17;0;0;765303.73;0;0;581084.75;0;0;177947.86;6271.12;0;16899404.43;0
Prefeitura Municipal de Sapeaçu - BA;2929602;BA;17630;1285865.02;640845.25;645019.77;0;0;0;0;0;0;0;0;0;4751286.57;0;4339497.56;411789.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1177836.79;0;0;0;1177836.79;0;407219.39;407219.39;0;0;0;0;9159954.42;8986227.12;86907.84;0;22963.10;63856.36;0;0;190719.47;190719.47;0;0;0;0;14271586.22;14271586.22;0;0;0;0;0;0;0;0;769779.80;0;769779.80;0;0;0;0;0;0;3459313.23;3283236.01;176077.22;0;0;0;0;0;0;58179.51;58179.51;0;0;935.11;935.11;0;0;0;0;0;0;0;0;0;0;206721.83;206721.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11923.50;0;11923.50;0;0;0;35070.00;0;35070.00;0;0;0;0;29362.00;0;0;29362.00;0;0;0;0;0;0;0;0;0;0;35815752.86;0
Prefeitura Municipal de Emas - PB;2505907;PB;3463;567599.87;567599.87;0;0;0;0;0;0;0;0;0;0;1828930.23;0;1630326.64;194103.59;0;0;0;0;0;0;0;0;4500.00;0;0;0;0;0;0;0;0;0;0;0;0;0;687116.32;0;0;58653.63;628462.69;0;0;0;0;0;0;0;3091720.45;2502234.54;2500.00;529358.00;1975.06;55652.85;0;0;0;0;0;0;0;0;3529060.45;3383177.26;0;0;0;144057.93;1825.26;0;0;0;0;0;0;0;0;0;0;0;0;1072914.54;0;0;0;1072914.54;0;0;0;0;0;0;0;0;85593.60;0;0;0;0;0;85593.60;0;0;0;0;0;318086.96;0;77305.00;0;0;0;240781.96;0;0;0;0;0;0;0;0;0;0;0;161678.89;0;0;0;0;161678.89;0;0;0;0;0;0;0;0;0;0;0;148647.34;0;3700.00;0;0;0;144947.34;44125.07;0;32733.36;11391.71;0;267868.27;181489.41;0;0;0;86378.86;0;0;0;11803341.99;0
Prefeitura Municipal de Potiretama - CE;2311231;CE;6299;881870.00;881870.00;0;0;0;0;0;0;193200.00;0;0;193200.00;1479858.55;0;1185915.88;293942.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;638895.20;2661.70;0;41053.88;120220.42;474959.20;192357.28;0;10244.00;0;0;182113.28;3383220.53;891366.01;2078698.17;0;24938.00;0;0;388218.35;0;0;0;0;0;0;6565398.44;4627010.94;12818.80;0;0;784723.47;12722.63;0;527472.00;600650.60;81554.73;0;1701.85;79852.88;0;0;0;0;0;2822238.59;611728.72;132800.70;0;2077709.17;0;0;0;0;2061148.61;0;2061148.61;0;23000.00;0;0;0;0;0;23000.00;0;0;0;0;0;87785.44;0;0;0;0;46147.44;41638.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089267.68;0;1089267.68;0;0;0;0;164524.25;0;164354.25;0;170.00;722848.17;0;0;102040.79;0;109190.16;511617.22;0;0;20387167.47;298073.59
Prefeitura Municipal de Itumirim - MG;3134301;MG;6250;323055.11;323055.11;0;0;32169.80;32169.80;0;0;53458.67;53458.67;0;0;1117267.32;0;312793.22;744091.93;25929.48;0;0;0;0;0;0;14184.25;20268.44;0;0;0;0;32030.67;32030.67;0;0;0;0;0;0;0;410943.68;0;0;51296.65;235797.03;123850.00;397657.74;0;397657.74;0;0;0;4364495.19;3019951.79;130000.00;201792.44;35943.11;150798.22;0;826009.63;0;0;0;0;0;0;3034255.47;2336264.58;0;0;101784.00;34083.37;0;0;0;562123.52;94998.94;40000.00;54998.94;0;0;0;0;0;0;1836700.66;692318.81;518886.02;0;625495.83;0;0;0;0;7310.20;0;7310.20;0;12734.06;0;0;0;0;0;12734.06;0;0;0;0;0;96238.86;12706.65;83532.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.00;0;0;0;0;30.00;0;2700.00;0;2700.00;0;0;0;0;0;0;0;353526.93;0;353362.87;0;0;0;164.06;220212.23;0;220212.23;0;0;554637.15;0;0;441924.24;0;0;112712.91;0;0;12944422.68;0
Prefeitura Municipal de Ponta Grossa - PR;4119905;PR;334535;13003591.24;13003591.24;0;0;0;0;0;0;0;0;0;0;60909264.49;639.08;48115043.53;7993687.16;1269885.65;0;1312553.47;0;0;993647.60;0;0;1223808.00;0;0;0;0;9636373.20;0;827751.41;0;8808621.79;0;0;0;0;31471796.60;2746394.96;3765969.51;6861337.03;8517665.22;9580429.88;0;0;0;0;0;0;167691078.52;26490944.40;33732407.02;1280034.91;442478.46;1731215.42;15449.00;103998549.31;8257115.93;0;3890212.46;0;658832.40;3708071.07;180404382.52;127456117.09;0;0;0;48890234.92;489092.51;109398.66;0;3459539.34;6152341.74;133589.29;2150784.47;3867967.98;19227.26;0;0;0;19227.26;59103935.73;10078426.63;45724234.24;0;3301274.86;603900.00;0;603900.00;0;1988846.58;9990.00;0;1978856.58;5382819.31;499353.20;3052802.33;0;0;0;1830663.78;0;0;0;0;0;2428218.44;34034.50;0;0;15760.40;0;2378423.54;0;0;0;0;2198758.66;300.00;0;0;0;0;2198458.66;16287116.47;0;5321829.46;0;0;515667.75;10449619.26;3157740.41;0;1378477.96;1779262.45;0;0;0;0;0;0;21081325.38;1150210.09;19931115.29;0;0;0;0;5222632.42;0;2605255.84;7629.00;2609747.58;36703779.32;0;0;23478367.45;0;0;13225411.87;0;0;631704244.22;0
Prefeitura Municipal de Liberato Salzano - RS;4311601;RS;5789;0;0;0;0;44316.75;44316.75;0;0;0;0;0;0;1749048.22;0;0;601870.77;0;0;0;0;0;0;0;0;1147177.45;0;0;0;0;0;0;0;0;0;0;0;0;0;426904.29;0;619.82;49860.89;307544.99;68878.59;1113274.45;0;1113274.45;0;0;0;3500598.49;3083104.29;257745.43;0;0;100000.00;59748.77;0;0;0;0;0;0;0;3099006.96;2477452.78;0;0;75579.59;541223.40;4751.19;0;0;0;114853.31;0;0;114853.31;0;0;0;0;0;42184.11;0;42184.11;0;0;36000.00;0;0;36000.00;136958.47;92576.91;44381.56;0;61022.02;61022.02;0;0;0;0;0;0;0;0;0;0;1080179.97;29547.63;0;0;0;0;1050632.34;0;0;0;0;44982.05;0;0;0;0;0;44982.05;10196.25;0;0;0;0;0;10196.25;86450.04;2800.00;83650.04;0;110222.54;0;110222.54;0;0;0;7718261.18;0;7718261.18;0;0;0;0;797089.68;0;786706.68;0;10383.00;1395788.36;0;0;0;0;0;1133015.69;0;262772.67;21567337.14;0
Prefeitura Municipal de Rodolfo Fernandes - RN;2411007;RN;4548;612797.77;612797.77;0;0;0;0;0;0;0;0;0;0;1658498.64;0;1574961.07;83537.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727526.42;151936.17;0;0;575590.25;0;383958.51;0;383958.51;0;0;0;2959411.69;2581031.63;0;0;0;0;0;378380.06;0;0;0;0;0;0;4398019.95;1822712.57;0;0;43060.00;1216664.77;3449.64;0;327014.06;985118.91;93006.10;0;93006.10;0;0;0;0;0;0;837765.71;788735.68;49030.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423669.32;6025.05;0;0;0;0;417644.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12094654.11;18067.81
Prefeitura Municipal de Alcântaras - CE;2300507;CE;11247;0;0;0;0;0;0;0;0;2065.00;0;0;2065.00;2742986.00;0;2578970.08;164015.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1193607.74;14251.45;18245.98;46416.10;81488.49;1033205.72;0;0;0;0;0;0;5370590.17;2184580.68;28761.74;0;0;0;0;3157247.75;0;0;0;0;0;0;11345141.50;9401908.43;0;0;0;0;0;0;0;1943233.07;670306.64;0;633843.26;36463.38;0;0;0;0;0;2905077.06;230935.03;2576497.14;0;97644.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412066.31;0;0;0;0;0;412066.31;0;0;0;0;0;0;0;0;0;0;0;47888.69;0;0;0;0;47888.69;0;0;0;0;0;0;0;0;0;0;0;292062.36;0;292062.36;0;0;0;0;183003.18;0;0;173503.18;9500.00;0;0;0;0;0;0;0;0;0;25164794.65;5000.00
Prefeitura Municipal de Paraíso do Sul - RS;4314027;RS;7632;677194.74;677194.74;0;0;0;0;0;0;45388.52;0;0;45388.52;2997091.97;380401.82;2572280.48;44409.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;524614.86;0;0;128953.21;395661.65;0;1049281.42;0;1049281.42;0;0;0;3609095.56;3497444.12;9179.88;102471.56;0;0;0;0;0;0;0;0;0;0;3683934.16;2771995.04;127243.06;0;0;723504.00;0;57500.00;0;3692.06;155155.81;0;155155.81;0;0;0;0;0;0;12000.75;0;0;0;12000.75;0;0;0;0;581014.45;0;406025.92;174988.53;7459.18;0;7459.18;0;0;0;0;0;0;0;0;0;591850.65;0;87528.96;0;58197.74;0;446123.95;0;0;0;0;1500.00;0;1500.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232749.27;0;232749.27;0;0;0;840032.82;0;837579.82;0;0;0;2453.00;15858.42;0;15858.42;0;0;0;0;0;0;0;0;0;0;0;15024222.58;1103703.50
Prefeitura Municipal de Borborema - SP;3507407;SP;15454;1603858.95;1603858.95;0;0;0;0;0;0;0;0;0;0;5315459.45;0;3784390.46;1529824.75;0;0;0;0;0;0;0;0;1244.24;0;0;0;0;19078.55;0;19078.55;0;0;0;0;0;0;1390077.23;0;0;129250.97;1260826.26;0;191872.85;0;191872.85;0;0;0;12813466.50;10500960.00;1022844.62;632144.48;372251.70;285265.70;0;0;0;0;0;0;0;0;10324952.32;2761932.91;190322.51;30783.58;0;5972451.07;86050.05;0;0;1283412.20;273906.95;0;273906.95;0;0;0;0;0;0;4354671.57;299964.04;4054707.53;0;0;0;0;0;0;1887953.61;0;1887953.61;0;101889.83;101889.83;0;0;0;0;0;0;0;0;0;0;120748.49;220.76;120527.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384942.32;258124.54;0;0;0;126817.78;0;0;0;0;0;0;0;0;0;0;0;795221.41;0;795221.41;0;0;0;0;329755.19;0;0;329755.19;0;384569.00;0;0;384569.00;0;0;0;0;0;40292424.22;0
Prefeitura Municipal de Itu - SP;3523909;SP;165511;9915478.94;9915478.94;0;0;0;0;0;0;709015.02;0;0;709015.02;49857408.38;0;33174401.09;0;4893.21;0;0;0;49244.00;13318506.18;0;0;3310363.90;0;0;0;0;18374287.78;18374287.78;0;0;0;0;0;0;0;12453811.40;192183.30;0;585254.47;11676373.63;0;5539789.05;0;5539789.05;0;0;0;100744760.71;37403937.85;37145509.19;16205054.31;0;6207509.37;0;3782749.99;1484395.17;0;0;1484395.17;0;0;139892719.57;96348137.68;1067350.00;0;747713.10;41613718.79;115800.00;0;0;0;2810930.06;1012851.82;1798078.24;0;0;0;0;0;0;91447622.42;5527161.02;85583957.64;0;336503.76;880428.26;0;880428.26;0;11334322.21;0;11334322.21;0;9965782.90;9965782.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5730571.25;0;0;0;0;5730571.25;0;0;0;0;0;0;0;0;0;0;0;18389.85;0;4515.30;0;0;0;13874.55;8056163.95;0;8056163.95;0;0;24976950.73;0;0;16121035.39;0;0;8855915.34;0;0;494192827.65;0
Prefeitura Municipal de Satuba - AL;2708907;AL;13241;969493.06;969493.06;0;0;0;0;0;0;0;0;0;0;4472863.47;0;4178776.59;294086.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;655983.43;0;0;51782.59;213011.16;391189.68;0;0;0;0;0;0;7585144.80;1119633.55;0;42223.63;0;0;0;6423287.62;0;0;0;0;0;0;10150856.67;8742996.64;2489.78;0;0;149606.49;25026.53;0;0;1230737.23;343747.99;0;0;343747.99;0;0;0;0;0;1779148.76;120.00;0;0;1779028.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595826.71;0;0;0;0;0;595826.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800.00;0;800.00;0;0;0;0;0;0;0;0;0;0;84271.93;0;0;0;84271.93;624254.80;0;0;0;0;624254.80;0;0;0;27262391.62;0
Prefeitura Municipal de Aral Moreira - MS;5001243;MS;11209;1570811.68;1570811.68;0;0;0;0;0;0;0;0;0;0;3907938.88;1719718.33;2188220.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2334328.28;24079.35;0;140638.54;2169610.39;0;996711.71;0;996711.71;0;0;0;8965252.19;7860497.15;973635.80;0;131119.24;0;0;0;0;0;0;0;0;0;11813681.81;10775393.47;0;0;57715.61;800550.41;0;0;0;180022.32;0;0;0;0;0;0;0;0;0;4585755.84;2459048.28;2126707.56;0;0;49607.60;0;49607.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746.21;0;0;0;0;0;746.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;518270.05;0;518270.05;0;0;0;437083.29;0;437083.29;0;0;0;0;843664.04;0;843664.04;0;0;678187.85;0;0;0;0;0;0;0;678187.85;36702039.43;0
Prefeitura Municipal de Canavieira - PI;2202251;PI;3911;464445.11;464445.11;0;0;0;0;0;0;0;0;0;0;2519726.32;0;2220835.74;141840.00;0;0;0;0;0;0;0;0;157050.58;0;0;0;0;0;0;0;0;0;0;0;0;0;539130.49;0;0;57055.48;482075.01;0;286072.33;286072.33;0;0;0;0;2576270.35;1531884.01;430031.03;461754.91;40336.01;112264.39;0;0;0;0;0;0;0;0;3667638.74;3667638.74;0;0;0;0;0;0;0;0;151500.52;0;151500.52;0;0;0;0;0;0;612855.90;35474.20;577381.70;0;0;0;0;0;0;3465.00;0;3465.00;0;0;0;0;0;0;0;0;0;0;0;0;0;62888.18;62888.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11047.00;0;11047.00;0;0;0;0;125282.00;0;125282.00;0;0;55584.19;0;0;55584.19;0;0;0;0;0;11075906.13;0
Prefeitura Municipal de Guaraciama - MG;3128253;MG;4941;637233.13;382320.00;0;254913.13;0;0;0;0;62939.68;0;62939.68;0;2169813.13;0;1235894.09;865221.66;0;0;0;0;0;68697.38;0;0;0;0;0;0;0;8551.95;8551.95;0;0;0;0;0;0;0;656558.18;0;0;199845.82;287001.57;169710.79;469124.16;0;469124.16;0;0;0;3037759.33;2020005.03;242292.49;45606.42;105001.21;108902.19;0;515951.99;0;0;0;0;0;0;3205655.56;2569291.02;0;0;0;288131.57;5.60;0;0;348227.37;226072.01;0;226072.01;0;0;0;0;0;0;1914668.39;854356.97;1060311.42;0;0;0;0;0;0;103817.00;73260.00;30557.00;0;46795.44;0;0;0;0;0;46795.44;0;0;0;0;0;348248.43;12955.26;91633.79;0;11513.50;0;232145.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108421.96;0;0;0;0;108421.96;16487.03;0;16487.03;0;0;0;0;49596.41;0;49596.41;0;0;261844.06;0;0;127038.03;0;0;0;0;134806.03;13323585.85;0
Prefeitura Municipal de Cruzália - SP;3513306;SP;2234;687665.26;687665.26;0;0;0;0;0;0;0;0;0;0;1705675.39;0;1705675.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;468908.00;73620.74;24468.62;26864.36;343954.28;0;0;0;0;0;0;0;3331012.06;2844487.65;0;340414.25;0;146110.16;0;0;19972.50;0;0;0;19972.50;0;2299682.53;0;0;0;80489.04;0;11755.87;0;1732531.61;474906.01;377300.31;0;377300.31;0;0;0;0;0;0;1176999.65;333785.71;843213.94;0;0;0;0;0;0;0;0;0;0;199462.37;199462.37;0;0;0;0;0;0;0;0;0;0;182509.71;0;182509.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;421260.36;0;421260.36;0;0;0;0;340473.09;0;0;340473.09;0;486907.19;0;0;16640.48;0;0;470266.71;0;0;11697828.42;0
Prefeitura Municipal de Aramari - BA;2902203;BA;11237;962596.68;962596.68;0;0;121311.88;121311.88;0;0;0;0;0;0;3043159.69;965144.47;1311975.33;690691.89;36600.00;0;0;0;0;0;0;38748.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886481.04;0;0;2000.00;884481.04;0;0;0;0;0;0;0;4088399.47;3270956.81;817442.66;0;0;0;0;0;0;0;0;0;0;0;8510501.12;8349452.66;0;0;0;0;0;0;161048.46;0;39919.00;0;39919.00;0;0;0;0;0;0;3684353.20;3684353.20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320502.94;320502.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21657225.02;0
Prefeitura Municipal de Itati - RS;4310652;RS;2613;579992.56;579992.56;0;0;0;0;0;0;0;0;0;0;2920938.08;0;2920938.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543159.22;4000.00;0;58181.37;480977.85;0;0;0;0;0;0;0;2773636.69;2624859.17;148777.52;0;0;0;0;0;0;0;0;0;0;0;3347905.60;2884802.60;8433.99;0;31656.00;423013.01;0;0;0;0;1065.00;0;1065.00;0;0;0;0;0;0;115779.44;115779.44;0;0;0;0;0;0;0;124195.50;0;124195.50;0;54118.70;54118.70;0;0;0;0;0;0;0;0;0;0;612265.50;0;612265.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16176.75;0;16176.75;0;0;0;0;0;0;0;0;0;0;125609.80;0;21288.36;0;104321.44;0;0;0;0;0;0;0;0;0;11214842.84;0
