##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infraestrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.608 - Promoção da Produção Agropecuária";"20.609 - Defesa Agropecuária";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Combustíveis Minerais";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Aéreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Outras Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)"
Prefeitura Municipal de Alfredo Vasconcelos - MG;3101631;MG;6566;462931.90;462931.90;0;0;0;0;0;0;0;0;0;0;968340.00;32452.00;599254.74;153511.89;84482.10;0;0;0;0;28786.67;0;0;69852.60;0;0;0;0;22734.21;22734.21;0;0;0;0;0;0;333806.78;6800.00;0;61797.95;136704.22;128504.61;238075.36;0;238075.36;0;0;0;3277433.99;2184976.98;343669.00;167009.00;1439.00;75150.10;6973.00;498216.91;484717.42;484717.42;0;0;0;0;3936784.67;3176374.05;0;7989.13;92839.56;377968.72;0;86472.34;0;195140.87;708923.20;21452.00;0;687471.20;0;0;0;0;0;1586243.02;856346.97;0;0;729896.05;0;0;0;0;79984.90;67809.00;12175.90;0;3662.01;3662.01;0;0;0;0;0;51188.71;0;0;51188.71;0;261813.94;0;204131.25;0;0;0;57682.69;0;0;0;0;0;0;0;0;0;0;0;142522.30;0;0;0;0;132872.30;9650.00;21588.63;0;0;21588.63;308567.08;0;308567.08;0;0;812927.50;0;122189.24;0;0;0;690738.26;139946.86;0;118240.56;8700.00;13006.30;124240.54;0;0;0;0;0;124240.54;0;0;13966433.02;0
Prefeitura Municipal de Prudentópolis - PR;4120606;PR;51281;0;0;0;0;0;0;0;0;0;0;0;0;5317292.23;245994.82;3878431.86;1132655.20;60210.35;0;0;0;0;0;0;0;0;0;0;0;0;596877.67;0;596877.67;0;0;0;0;0;4700131.64;33368.98;34437.26;1054762.56;3577562.84;0;13126.93;13126.93;0;0;0;0;17527688.56;14100854.86;2737475.68;0;314379.03;374978.99;0;0;0;0;0;0;0;0;24226131.79;18489887.75;0;623170.17;4378115.11;39276.56;695682.20;0;0;0;219679.11;0;219679.11;0;0;0;0;0;0;8087725.06;2408027.80;5679697.26;0;0;0;0;0;0;0;0;0;0;682976.78;682976.78;0;0;0;0;0;0;0;0;0;0;1005972.45;0;1005972.45;0;0;0;0;0;0;0;0;238048.55;238048.55;0;0;0;0;0;392387.46;0;0;0;0;392387.46;0;0;0;0;0;0;0;0;0;0;9878556.40;0;9878556.40;0;0;0;0;2125373.41;0;2125373.41;0;0;2892284.25;0;0;1747407.84;0;0;1144876.41;0;0;77904252.29;3322870.47
Prefeitura Municipal de Conceição de Ipanema - MG;3117405;MG;4618;533686.90;533686.90;0;0;112292.05;112292.05;0;0;0;0;0;0;1283431.02;0;848870.35;327686.60;0;0;0;0;0;0;0;0;106874.07;0;0;0;0;27472.37;27472.37;0;0;0;0;0;0;336989.15;2700.00;0;0;334289.15;0;1188995.37;0;1188995.37;0;0;0;2136511.66;0;2136511.66;0;0;0;0;0;0;0;0;0;0;0;2960729.28;2259040.96;0;0;0;156216.72;0;0;0;545471.60;56368.74;0;56368.74;0;0;0;0;0;0;300492.51;0;300492.51;0;0;0;0;0;0;42624.95;0;42624.95;0;0;0;0;0;0;0;0;0;0;0;0;0;114300.72;0;0;0;0;0;114300.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8688.00;8688.00;0;0;0;0;0;0;0;1131930.62;0;1131930.62;0;0;0;0;84401.83;0;84401.83;0;0;0;0;0;0;0;0;0;0;0;10318915.17;0
Prefeitura Municipal de Igreja Nova - AL;2703205;AL;24455;1558912.32;1558912.32;0;0;0;0;0;0;0;0;0;0;4258979.05;0;3613023.52;645955.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1927943.80;0;0;423628.88;412452.33;1091862.59;0;0;0;0;0;0;12553939.05;5591405.93;2212033.46;32325.81;17717.14;406270.68;0;4294186.03;0;0;0;0;0;0;20595398.57;16161274.11;0;0;0;4720.21;411618.22;0;0;4017786.03;371662.08;0;0;371662.08;0;0;0;0;0;3344656.88;-106284.15;0;0;3450941.03;0;0;0;0;6500.00;0;6500.00;0;0;0;0;0;0;0;0;0;0;0;0;0;707350.17;0;0;0;0;0;707350.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1851048.44;0;0;0;0;0;1851048.44;251669.90;0;240965.90;0;10704.00;829537.95;0;0;0;0;829537.95;0;0;0;48257598.21;0
Prefeitura Municipal de Bandeira - MG;3105202;MG;5039;590298.27;590298.27;0;0;99102.41;22707.86;70600.55;5794.00;0;0;0;0;1700404.31;0;1391168.04;175687.20;38815.66;0;0;0;0;23796.89;0;11111.46;59825.06;0;0;0;0;14878.19;14878.19;0;0;0;0;0;0;1224811.34;60263.86;0;154577.88;789887.96;220081.64;978381.20;0;241835.11;0;0;736546.09;2755854.60;1878384.27;351479.58;71558.58;22417.41;79378.84;6603.04;346032.88;0;0;0;0;0;0;3456834.61;2857532.22;0;0;0;173244.63;16220.39;0;0;409837.37;136395.57;0;134521.77;1873.80;0;0;0;0;0;1026065.34;0;1026065.34;0;0;0;0;0;0;16738.42;0;16738.42;0;78942.78;78942.78;0;0;0;0;0;0;0;0;0;0;441995.02;17136.72;233595.60;0;0;0;191262.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18327.13;0;18327.13;0;0;0;0;0;0;557835.39;0;557835.39;0;0;0;0;113759.07;11085.94;46166.00;0;56507.13;187909.20;0;0;80074.19;0;0;107835.01;0;0;13398532.85;786585.53
Prefeitura Municipal de Espumoso - RS;4307500;RS;15790;741324.62;741324.62;0;0;0;0;0;0;0;0;0;0;3484087.27;312198.14;2131791.32;1040097.81;0;0;0;0;0;0;0;0;0;0;0;0;0;767110.13;716647.16;18330.00;0;32132.97;0;0;0;1481577.12;360651.45;152799.08;288132.04;677936.08;2058.47;3101925.30;0;3096899.80;0;0;5025.50;7805722.79;7719141.61;0;0;0;86581.18;0;0;167295.00;167295.00;0;0;0;0;8639395.22;5656902.73;221204.03;0;150000.00;2047183.44;246396.16;0;0;317708.86;426511.15;0;426511.15;0;0;0;0;0;0;2706217.68;0;2341911.99;0;364305.69;0;0;0;0;101174.12;0;101174.12;0;53589.70;0;53589.70;0;0;0;0;0;0;0;0;0;529978.57;0;442510.48;0;0;0;87468.09;0;0;0;0;0;0;0;0;0;0;0;100000.00;100000.00;0;0;0;0;0;0;0;0;0;514752.70;0;514752.70;0;0;1792706.56;12726.56;1694509.24;0;0;0;85470.76;505418.63;0;505418.63;0;0;1641178.96;0;0;857299.94;0;115058.26;438148.23;0;230672.53;34559965.52;3510085.13
Prefeitura Municipal de João Pessoa - PB;2507507;PB;780738;42329145.48;5314079.80;0;37015065.68;718954.34;0;583049.74;135904.60;0;0;0;0;244958205.64;489079.51;195985182.66;1842259.66;0;0;3030032.34;0;431347.91;23478506.32;0;8650.00;19693147.24;0;0;0;0;22105206.24;481910.40;0;0;21623295.84;0;0;0;18419233.26;601575.03;200000.00;6299370.55;8660072.71;2658214.97;163114582.77;8479545.72;147331561.99;0;0;7303475.06;625618413.26;125011588.84;285904459.05;13068985.57;812758.21;4764236.60;16250.94;196040134.05;1336921.35;0;0;1326116.49;0;10804.86;384579143.06;338939714.45;0;0;0;17665301.58;5815731.84;476294.10;0;21682101.09;17401333.10;0;8000.00;17393333.10;421890.35;0;408965.95;0;12924.40;129305603.05;31633369.09;84492235.55;0;13179998.41;33719175.62;0;23548519.55;10170656.07;2998025.68;0;2998025.68;0;7651993.15;1285846.43;1483346.26;7896.00;0;0;4874904.46;2278612.64;0;0;67827.47;2210785.17;573607.08;0;0;0;0;0;573607.08;0;0;0;0;0;0;0;0;0;0;0;6613001.62;0;6254733.30;0;0;358268.32;0;14264440.73;0;0;14264440.73;3493803.33;0;3493803.33;0;0;13989544.52;0;12431982.72;0;0;0;1557561.80;9964187.21;0;7595441.81;0;2368745.40;64428324.91;0;0;6291231.31;0;2185331.75;19887480.94;0;36064280.91;1810283348.39;0
Prefeitura Municipal de São Félix do Piauí - PI;2209609;PI;2931;425522.40;425522.40;0;0;0;0;0;0;0;0;0;0;2179020.66;0;1580721.57;209740.52;46188.67;0;0;0;0;0;0;49988.00;292381.90;0;0;0;0;0;0;0;0;0;0;0;0;409048.16;6065.55;0;58092.18;159088.85;185801.58;0;0;0;0;0;0;2517344.62;2109042.42;367218.50;0;39240.80;1842.90;0;0;0;0;0;0;0;0;2891679.52;2864049.53;0;0;0;27629.99;0;0;0;0;2448.35;0;2448.35;0;0;0;0;0;0;386612.70;0;384548.70;0;2064.00;0;0;0;0;285480.01;0;281711.18;3768.83;4000.00;0;0;0;4000.00;0;0;0;0;0;0;0;456420.50;0;100118.00;0;0;0;356302.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29262.21;0;3192.21;26070.00;128858.68;0;128858.68;0;0;4000.00;0;4000.00;0;0;0;0;428730.98;0;428730.98;0;0;117229.02;0;0;52421.09;0;0;64807.93;0;0;10265657.81;0
Prefeitura Municipal de Governador Lindenberg - ES;3202256;ES;12120;1134478.38;1134478.38;0;0;0;0;0;0;0;0;0;0;7455157.45;10229.76;7334164.00;0;94441.69;16322.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1606348.48;7114.21;120000.00;112859.79;1366374.48;0;0;0;0;0;0;0;7669763.93;2410405.21;5137008.35;0;27450.21;94900.16;0;0;9741.22;9741.22;0;0;0;0;7824261.49;2681784.44;0;0;298295.00;4844182.05;0;0;0;0;432102.19;0;432102.19;0;0;0;0;0;0;2681790.63;2276466.73;405323.90;0;0;0;0;0;0;487835.25;0;487835.25;0;904593.97;124039.00;0;780554.97;0;0;0;0;0;0;0;0;3968432.25;6034.76;3962397.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8246.70;0;8246.70;0;0;0;0;116237.30;0;11956.60;104280.70;0;6796.46;0;0;6796.46;0;0;0;0;0;34305785.70;0
Prefeitura Municipal de Serra do Ramalho - BA;2930154;BA;33022;1731131.55;1731131.55;0;0;0;0;0;0;0;0;0;0;10454208.63;0;55866.67;0;0;0;0;0;0;0;0;0;10398341.96;0;0;0;0;0;0;0;0;0;0;0;0;1785585.42;279548.33;0;4250.00;1501787.09;0;2451665.58;2176603.21;0;0;0;275062.37;13395211.80;5848612.52;7241969.07;302130.21;0;2500.00;0;0;0;0;0;0;0;0;22322506.64;22046931.67;126500.00;0;0;48057.97;0;0;0;101017.00;1192203.50;0;1192203.50;0;0;0;0;0;0;4233331.45;3106992.55;1126338.90;0;0;256851.86;0;0;256851.86;790993.94;0;790993.94;0;0;0;0;0;0;0;0;0;0;0;0;0;217968.49;0;0;0;0;0;217968.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1813543.74;0;1813543.74;0;0;985530.25;0;985530.25;0;0;0;0;499450.67;0;483718.27;15732.40;0;1107860.92;0;0;0;0;0;1107860.92;0;0;63238044.44;0
Prefeitura Municipal de Lagoinha do Piauí - PI;2205540;PI;2757;373986.58;373986.58;0;0;0;0;0;0;0;0;0;0;1608119.67;0;1020935.07;111302.99;66840.36;0;0;0;0;0;0;0;409041.25;0;0;0;0;0;0;0;0;0;0;0;0;499545.52;0;0;53377.46;444368.62;1799.44;0;0;0;0;0;0;1555668.79;1525966.69;1515.04;0;5800.40;22386.66;0;0;0;0;0;0;0;0;2535283.48;2466878.79;15000.00;0;0;53404.69;0;0;0;0;129800.61;0;129800.61;0;0;0;0;0;0;388209.07;338269.70;49733.19;0;206.18;0;0;0;0;100451.00;0;53274.45;47176.55;53442.00;0;53442.00;0;0;0;0;0;0;0;0;0;78163.70;78163.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37646.52;0;37646.52;0;14058.59;14058.59;0;0;0;61613.95;0;8291.55;0;0;0;53322.40;239025.02;0;88754.95;150270.07;0;185249.70;0;0;118336.22;0;0;66913.48;0;0;7860264.20;0
Prefeitura Municipal de Riachuelo - RN;2410900;RN;7753;0;0;0;0;0;0;0;0;0;0;0;0;2529612.49;408786.42;1692550.44;428275.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540049.98;6165.00;0;2978.56;488226.72;42679.70;0;0;0;0;0;0;3698622.59;944155.85;2471456.12;0;198726.72;84283.90;0;0;0;0;0;0;0;0;5890451.35;5594396.10;8310.00;24216.50;10750.00;109051.34;143003.41;724.00;0;0;15256.85;0;15256.85;0;0;0;0;0;0;1318392.80;123368.61;1169974.84;0;25049.35;0;0;0;0;0;0;0;0;20000.00;20000.00;0;0;0;0;0;0;0;0;0;0;469799.60;0;469515.24;0;284.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76814.87;0;76814.87;0;0;0;0;0;0;0;0;0;0;0;14559000.53;0
Prefeitura Municipal de Porto - PI;2208502;PI;12239;567723.02;567723.02;0;0;163550.00;0;163550.00;0;0;0;0;0;2462822.46;393812.50;1969047.42;0;29763.00;0;11699.54;0;0;20000.00;0;0;38500.00;0;0;0;0;0;0;0;0;0;0;0;0;762626.16;0;0;2003.00;760623.16;0;0;0;0;0;0;0;5124570.31;4276409.13;839001.52;0;9159.66;0;0;0;0;0;0;0;0;0;12223668.53;12223442.48;0;0;0;226.05;0;0;0;0;431680.35;0;431680.35;0;0;0;0;0;0;901929.34;261744.30;640185.04;0;0;0;0;0;0;47495.28;47495.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48391.50;576.00;44420.32;3395.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58211.66;58211.66;0;0;0;130481.96;0;130481.96;0;0;0;0;221042.23;0;221042.23;0;0;252047.07;171169.48;0;0;0;0;80877.59;0;0;23396239.87;0
Prefeitura Municipal de Belém do São Francisco - PE;2601607;PE;20678;1494409.40;1494409.40;0;0;0;0;0;0;0;0;0;0;3453048.88;724.00;2760210.62;627017.80;65096.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840831.73;2422.00;0;349853.10;1285588.67;202967.96;0;0;0;0;0;0;9071757.54;6530136.72;460629.29;0;81932.75;185507.20;0;1813551.58;0;0;0;0;0;0;16572925.39;15792128.52;0;0;0;827.03;0;0;0;779969.84;454272.67;0;454272.67;0;0;0;0;0;0;4124961.93;1259278.95;1032547.18;0;1833135.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;424466.74;120.00;0;0;0;0;424346.74;0;0;0;0;0;0;0;0;0;0;0;38854.34;0;0;0;0;0;38854.34;0;0;0;0;0;0;0;0;0;530900.00;0;530900.00;0;0;0;0;396480.58;0;396480.58;0;0;3130129.94;0;0;2786817.33;0;0;343312.61;0;0;41533039.14;0
Prefeitura Municipal de Bady Bassitt - SP;3504602;SP;16109;644530.22;644530.22;0;0;0;0;0;0;0;0;0;0;3652673.44;0;2918048.05;734625.39;0;0;0;0;0;0;0;0;0;0;0;0;0;16465.76;0;16465.76;0;0;0;0;0;1751395.62;68080.25;0;154477.63;1528837.74;0;2729750.62;186540.14;2543210.48;0;0;0;9682587.83;9344011.36;248058.20;37080.27;17336.00;36102.00;0;0;0;0;0;0;0;0;13832935.51;6402443.66;115017.97;0;76052.04;6212420.26;0;133760.00;0;893241.58;218401.87;0;218401.87;0;0;0;0;0;0;3948390.72;1176666.69;2645452.41;126271.62;0;0;0;0;0;1262388.41;0;1262388.41;0;38299.70;0;38299.70;0;0;0;0;0;0;0;0;0;90971.83;90971.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12000.00;0;0;0;12000.00;0;0;106439.71;0;106439.71;0;0;0;0;0;0;1490667.55;0;1490667.55;0;0;0;0;1176849.18;0;864048.66;312800.52;0;701982.40;0;0;54499.31;0;0;647483.09;0;0;41356730.37;0
Prefeitura Municipal de Vila Flor - RN;2415008;RN;3086;579592.90;579592.90;0;0;0;0;0;0;0;0;0;0;2076673.23;0;1853004.31;223668.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384642.88;0;0;68835.71;315807.17;0;0;0;0;0;0;0;2996718.22;410604.02;493271.27;68269.09;0;33848.95;0;1990724.89;0;0;0;0;0;0;2630646.29;2423657.12;0;0;0;201639.17;5350.00;0;0;0;289842.82;0;289842.82;0;0;0;0;0;0;843062.07;480131.62;362930.45;0;0;0;0;0;0;0;0;0;0;48265.30;0;48265.30;0;0;0;0;0;0;0;0;0;96123.27;0;96123.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29599.99;0;0;0;0;29599.99;0;0;0;0;0;0;0;0;0;0;213964.33;0;213964.33;0;0;0;0;38907.24;0;0;38907.24;0;57958.76;0;0;57958.76;0;0;0;0;0;10285997.30;0
Prefeitura Municipal de Natividade - RJ;3303104;RJ;15040;1913213.02;1913213.02;0;0;0;0;0;0;0;0;0;0;12318983.68;98401.48;9225316.72;340175.57;203203.17;0;0;0;0;451105.94;0;0;2000780.80;2157874.69;0;0;2157874.69;0;0;0;0;0;0;0;0;899372.15;0;17300.00;318277.94;563794.21;0;4330410.68;0;4330410.68;0;0;0;17950392.99;4636195.00;8545999.30;0;213142.48;65799.25;0;4489256.96;0;0;0;0;0;0;11110008.15;8866828.76;0;0;14940.00;2004422.96;0;0;0;223816.43;0;0;0;0;0;0;0;0;0;11306204.75;102884.55;10344745.43;0;858574.77;0;0;0;0;0;0;0;0;230252.29;230252.29;0;0;0;0;0;0;0;0;0;0;834098.20;0;0;0;0;0;834098.20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1493215.18;0;0;0;0;0;0;0;1493215.18;64544025.78;0
Prefeitura Municipal de Populina - SP;3540408;SP;4284;678035.30;678035.30;0;0;0;0;0;0;0;0;0;0;1967943.45;0;1529414.43;438529.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;830785.33;135893.35;0;78969.95;610447.86;5474.17;1493187.29;195498.28;1174841.47;0;0;122847.54;4149976.56;3550614.20;540000.00;0;17245.27;42117.09;0;0;0;0;0;0;0;0;4577942.51;3073876.79;194504.18;0;249030.53;1027531.01;0;33000.00;0;0;0;0;0;0;0;0;0;0;0;1759410.10;253980.84;1505429.26;0;0;0;0;0;0;135859.56;0;135859.56;0;0;0;0;0;0;0;0;0;0;0;0;0;508505.59;0;508505.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388786.97;0;388786.97;0;0;0;0;575157.50;0;74908.37;500249.13;0;364669.16;0;0;214055.43;0;150613.73;0;0;0;17430259.32;472373.71
Prefeitura Municipal de Pedra Lavrada - PB;2511103;PB;7907;564024.34;564024.34;0;0;0;0;0;0;0;0;0;0;1857295.15;933826.77;573597.36;349871.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881920.83;6107.43;0;137314.50;738498.90;0;973556.59;145871.30;827685.29;0;0;0;5623838.80;1842892.47;3489638.39;188992.50;102215.44;0;0;100.00;0;0;0;0;0;0;8505699.69;7838209.56;0;0;0;357387.56;137543.90;0;0;172558.67;299560.30;0;299560.30;0;0;0;0;0;0;1134269.27;0;1134269.27;0;0;327175.12;327175.12;0;0;180667.94;0;180667.94;0;263413.05;0;0;0;263413.05;0;0;0;0;0;0;0;423893.97;0;423893.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77841.53;0;77841.53;0;0;168165.54;0;0;0;0;0;168165.54;0;0;21281322.12;180073.70
Prefeitura Municipal de Juruaia - MG;3136900;MG;10008;693942.03;604604.82;1380.20;87957.01;0;0;0;0;0;0;0;0;2187673.50;0;1677038.79;190462.03;0;50336.00;0;0;0;65404.49;0;0;204432.19;0;0;0;0;0;0;0;0;0;0;0;0;485086.73;0;0;0;485086.73;0;752510.08;663690.09;0;0;0;88819.99;5832295.92;2193377.34;2237924.46;85545.33;0;120920.07;0;1194528.72;0;0;0;0;0;0;5012022.93;3772355.65;0;0;0;866994.50;0;20000.00;0;352672.78;179839.20;0;179839.20;0;0;0;0;0;0;1248945.18;999980.37;248964.81;0;0;0;0;0;0;0;0;0;0;180785.53;180785.53;0;0;0;0;0;0;0;0;0;0;78264.17;0;77364.17;0;0;0;900.00;0;0;0;0;0;0;0;0;0;0;0;1822451.71;1822451.71;0;0;0;0;0;0;0;0;0;227450.67;0;227450.67;0;0;971504.31;0;971504.31;0;0;0;0;100945.93;0;100945.93;0;0;788702.81;0;0;644583.44;0;0;0;0;144119.37;20562420.70;808260.70
Prefeitura Municipal de Santa Carmem - MT;5107248;MT;4256;751839.20;751839.20;0;0;0;0;0;0;0;0;0;0;3217319.52;613073.26;2527370.56;0;0;0;0;0;0;76875.70;0;0;0;0;0;0;0;29283.67;29283.67;0;0;0;0;0;0;897889.08;58397.85;12600.00;164509.65;554333.27;108048.31;0;0;0;0;0;0;3845333.68;1258344.96;2015380.19;0;22201.86;132637.79;327792.14;88976.74;184971.82;164886.11;0;0;20085.71;0;4447512.18;2982602.41;0;0;45924.34;1131276.77;0;58754.01;0;228954.65;149033.20;0;149033.20;0;0;0;0;0;0;1856471.29;1630261.47;226209.82;0;0;7900.00;0;7900.00;0;0;0;0;0;6438.32;6438.32;0;0;0;0;0;0;0;0;0;0;233716.00;1343.32;0;0;0;0;232372.68;14779.21;14779.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599659.75;0;417974.34;0;0;0;181685.41;191515.23;0;59626.85;0;131888.38;0;0;0;0;0;0;0;0;0;16433662.15;0
