###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Grupiara - MG;  3127909;  MG;  1415; Transporte; 20.25%; 54490.67; 867029.90; -812539.23; Urbanismo; 10.95%; 1112198.92; 672650.26; 439548.66; Essencial à Justiça; 08.84%; 354775.32; 0.00; 354775.32; Saúde; 08.47%; 2516478.40; 2176604.51; 339873.89; Administração; 06.15%; 2137297.32; 1890609.47; 246687.85;  1.18
Prefeitura Municipal de Jardim Olinda - PR;  4112603;  PR;  1416; Urbanismo; 20.91%; 1590394.34; 613347.16; 977047.18; Previdência Social; 15.34%; 812928.08; 96173.96; 716754.12; Agricultura; 10.97%; 61890.42; 574464.52; -512574.10; Educação; 10.33%; 2268770.63; 1786250.09; 482520.54; Transporte; 10.15%; 395974.15; 870354.75; -474380.60;  1.14
Prefeitura Municipal de Engenho Velho - RS;  4306924;  RS;  1428; Previdência Social; 38.72%; 1227701.16; 133897.86; 1093803.30; Educação; 12.27%; 1465052.71; 1811645.91; -346593.20; Administração; 11.97%; 1538781.05; 1876826.71; -338045.66; Saneamento; 07.51%; 290711.23; 78653.51; 212057.72; Agricultura; 03.68%; 651413.69; 547486.94; 103926.75;  2.12
Prefeitura Municipal de Cachoeira de Goiás - GO;  5204201;  GO;  1430; Educação; 24.95%; 1042528.37; 1875657.67; -833129.30; Urbanismo; 14.80%; 1116784.72; 622417.87; 494366.85; Agricultura; 13.37%; 135083.27; 581475.18; -446391.91; Administração; 12.83%; 2265292.52; 1836829.73; 428462.79; Previdência Social; 09.50%; 428661.70; 111336.72; 317324.98;  1.09
Prefeitura Municipal de União da Serra - RS;  4322350;  RS;  1434; Agricultura; 29.41%; 1683050.24; 491031.83; 1192018.41; Educação; 12.81%; 1342261.03; 1861493.02; -519231.99; Previdência Social; 11.11%; 578176.29; 127886.80; 450289.49; Urbanismo; 10.13%; 304508.71; 714835.75; -410327.04; Administração; 08.37%; 1508761.07; 1848023.41; -339262.34;  1.07
Prefeitura Municipal de Lajeado Grande - SC;  4209458;  SC;  1479; Transporte; 34.99%; 2163579.42; 792538.79; 1371040.63; Urbanismo; 14.64%; 170437.47; 743986.25; -573548.78; Agricultura; 12.43%; 1011016.55; 523741.81; 487274.74; Educação; 07.11%; 1562800.02; 1841464.54; -278664.52; Administração; 06.44%; 1530337.61; 1782815.47; -252477.86;  1.05
Prefeitura Municipal de Serra Nova Dourada - MT;  5107883;  MT;  1492; Administração; 28.28%; 3037858.22; 1751455.79; 1286402.43; Educação; 19.04%; 2611426.13; 1745280.14; 866145.99; Transporte; 11.71%; 1427158.60; 894513.65; 532644.95; Urbanismo; 10.35%; 240989.37; 712059.82; -471070.45; Cultura; 05.76%; 336385.06; 74271.17; 262113.89;  1.14
Prefeitura Municipal de Nova Aliança do Ivaí - PR;  4116505;  PR;  1509; Transporte; 20.82%; 64948.46; 984400.77; -919452.31; Educação; 15.81%; 2390850.81; 1692591.40; 698259.41; Agricultura; 12.10%; 48705.48; 583162.20; -534456.72; Administração; 10.48%; 1374419.65; 1837391.81; -462972.16; Habitação; 07.28%; 330000.00; 8497.90; 321502.10;  1.05
Prefeitura Municipal de Doresópolis - MG;  3123403;  MG;  1512; Transporte; 21.57%; 1568073.74; 992396.76; 575676.98; Agricultura; 15.12%; 226576.01; 629896.21; -403320.20; Educação; 13.82%; 2078269.67; 1709497.75; 368771.92; Encargos Especiais; 08.39%; 381051.64; 157186.60; 223865.04; Saúde; 07.10%; 2156529.22; 2345936.13; -189406.91;  1.02
Prefeitura Municipal de Santa Salete - SP;  3547650;  SP;  1517; Transporte; 22.79%; 340290.19; 1016776.06; -676485.87; Saúde; 15.88%; 2753587.65; 2282381.04; 471206.61; Agricultura; 11.57%; 294556.51; 637864.99; -343308.48; Assistência Social; 11.51%; 823069.73; 481576.02; 341493.71; Urbanismo; 07.88%; 899572.75; 665817.87; 233754.88;  1.06
Prefeitura Municipal de São Félix do Tocantins - TO;  1720150;  TO;  1532; Transporte; 20.22%; 0; 1009276.69; -1009276.69; Urbanismo; 12.22%; 97245.57; 706919.78; -609674.21; Saúde; 11.54%; 1724449.78; 2300306.45; -575856.67; Educação; 10.01%; 1282570.94; 1782170.54; -499599.60; Agricultura; 09.78%; 131668.82; 619692.30; -488023.48;  1.33
Prefeitura Municipal de Montauri - RS;  4312351;  RS;  1562; Transporte; 21.65%; 1832005.93; 946046.41; 885959.52; Saneamento; 14.61%; 661013.06; 62842.70; 598170.36; Agricultura; 13.10%; 1120644.01; 584375.44; 536268.57; Assistência Social; 08.77%; 166424.91; 525433.60; -359008.69; Administração; 06.97%; 1440429.80; 1725742.68; -285312.88;  1.18
Prefeitura Municipal de Coqueiro Baixo - RS;  4305835;  RS;  1564; Transporte; 21.97%; 1720700.24; 982558.78; 738141.46; Agricultura; 19.78%; 1216735.62; 551935.03; 664800.59; Administração; 15.28%; 1235194.30; 1748533.51; -513339.21; Urbanismo; 10.85%; 341752.08; 706444.04; -364691.96; Previdência Social; 06.47%; 0; 217358.21; -217358.21;  1.07
Prefeitura Municipal de Carlos Gomes - RS;  4304853;  RS;  1588; Urbanismo; 22.26%; 91417.84; 667921.70; -576503.86; Agricultura; 16.63%; 1014349.93; 583752.33; 430597.60; Administração; 12.17%; 1388350.71; 1703428.36; -315077.65; Saúde; 08.32%; 2116543.28; 2331912.95; -215369.67; Previdência Social; 08.06%; 8688.00; 217358.21; -208670.21;  1.27
Prefeitura Municipal de Tupanci do Sul - RS;  4322186;  RS;  1591; Urbanismo; 19.78%; 83389.88; 731561.74; -648171.86; Administração; 13.50%; 1382049.11; 1824636.55; -442587.44; Agricultura; 10.80%; 899847.55; 545879.14; 353968.41; Saúde; 10.04%; 2003421.58; 2332521.30; -329099.72; Transporte; 08.11%; 1268360.66; 1002451.22; 265909.44;  1.07
Prefeitura Municipal de Flor do Sertão - SC;  4205357;  SC;  1603; Transporte; 24.13%; 1912336.40; 1030344.13; 881992.27; Educação; 12.19%; 2258751.82; 1813263.00; 445488.82; Saúde; 10.82%; 2711302.33; 2315970.49; 395331.84; Urbanismo; 09.80%; 312081.14; 670116.83; -358035.69; Administração; 08.78%; 1505349.85; 1826101.19; -320751.34;  1.07
Prefeitura Municipal de Santana da Ponte Pensa - SP;  3547205;  SP;  1610; Urbanismo; 24.28%; 1658499.43; 586271.26; 1072228.17; Transporte; 14.84%; 418529.22; 1073953.61; -655424.39; Administração; 12.11%; 1304171.99; 1838937.72; -534765.73; Previdência Social; 10.56%; 591853.04; 125686.06; 466166.98; Saúde; 09.81%; 2758668.80; 2325644.29; 433024.51;  1.08
Prefeitura Municipal de São Sebastião do Rio Preto - MG;  3164803;  MG;  1611; Administração; 22.03%; 876665.65; 1857612.35; -980946.70; Transporte; 14.57%; 422732.13; 1071635.54; -648903.41; Agricultura; 11.48%; 104468.12; 615826.85; -511358.73; Educação; 10.62%; 1427855.94; 1900860.80; -473004.86; Urbanismo; 09.04%; 1047949.21; 645485.78; 402463.43;  1.02
Prefeitura Municipal de Vista Alegre do Prata - RS;  4323606;  RS;  1613; Transporte; 19.38%; 1818747.44; 972518.65; 846228.79; Educação; 13.39%; 1341955.42; 1926598.81; -584643.39; Administração; 12.77%; 2353422.75; 1795936.83; 557485.92; Urbanismo; 12.43%; 143929.26; 686684.94; -542755.68; Encargos Especiais; 07.14%; 476873.25; 164981.52; 311891.73;  1.01
Prefeitura Municipal de Guabiju - RS;  4309258;  RS;  1618; Administração; 21.52%; 2605333.45; 1727522.40; 877811.05; Educação; 20.72%; 1091242.07; 1936198.44; -844956.37; Urbanismo; 14.90%; 74685.70; 682443.67; -607757.97; Agricultura; 08.37%; 323590.45; 664881.06; -341290.61; Saúde; 07.80%; 2635119.81; 2316865.98; 318253.83;  1.08
Prefeitura Municipal de São João da Paraúna - GO;  5220058;  GO;  1623; Administração; 17.67%; 2664090.31; 1789068.09; 875022.22; Saúde; 12.26%; 2946139.07; 2339166.19; 606972.88; Educação; 09.36%; 2334743.79; 1871218.00; 463525.79; Habitação; 09.19%; 470148.17; 14882.17; 455266.00; Agricultura; 07.80%; 292156.43; 678625.31; -386468.88;  1.35
Prefeitura Municipal de Lagoa dos Três Cantos - RS;  4311270;  RS;  1649; Transporte; 20.12%; 1701846.10; 978167.62; 723678.48; Despesas (Intraorçamentárias); 15.28%; 606470.60; 57083.26; 549387.34; Agricultura; 14.27%; 1151323.22; 638028.17; 513295.05; Previdência Social; 09.02%; 449116.20; 124572.28; 324543.92; Educação; 08.28%; 1594007.11; 1891755.45; -297748.34;  1.10
Prefeitura Municipal de Trabiju - SP;  3554755;  SP;  1650; Transporte; 21.78%; 0; 1083166.04; -1083166.04; Urbanismo; 18.32%; 1507975.91; 597202.74; 910773.17; Educação; 16.70%; 2648634.58; 1818268.27; 830366.31; Legislativa; 07.99%; 6020.69; 403255.38; -397234.69; Cultura; 07.94%; 474937.99; 79981.02; 394956.97;  1.04
Prefeitura Municipal de Fernão - SP;  3515657;  SP;  1658; Urbanismo; 17.52%; 1304733.79; 577387.72; 727346.07; Transporte; 12.87%; 567400.44; 1101593.27; -534192.83; Despesas (Intraorçamentárias); 12.64%; 583053.13; 58254.13; 524799.00; Agricultura; 08.07%; 414306.72; 749494.61; -335187.89; Previdência Social; 07.89%; 431713.36; 104140.49; 327572.87;  1.07
Prefeitura Municipal de Crixás do Tocantins - TO;  1706258;  TO;  1666; Educação; 19.65%; 2583945.71; 1818297.47; 765648.24; Agricultura; 16.88%; 80135.02; 737939.65; -657804.63; Urbanismo; 14.80%; 44924.79; 621506.28; -576581.49; Saúde; 09.69%; 1935596.30; 2312980.87; -377384.57; Transporte; 07.19%; 765554.60; 1045785.02; -280230.42;  1.07
Prefeitura Municipal de Flora Rica - SP;  3515806;  SP;  1666; Administração; 35.01%; 3806212.76; 1737329.66; 2068883.10; Transporte; 17.37%; 0; 1026802.64; -1026802.64; Urbanismo; 13.15%; 1356190.67; 579250.44; 776940.23; Agricultura; 09.16%; 142383.72; 684000.13; -541616.41; Saúde; 05.28%; 2015588.53; 2327560.35; -311971.82;  1.09
Prefeitura Municipal de Paial - SC;  4211876;  SC;  1668; Transporte; 25.01%; 1597808.03; 883494.20; 714313.83; Saúde; 19.46%; 2847847.50; 2291913.89; 555933.61; Agricultura; 10.81%; 946305.19; 637426.79; 308878.40; Previdência Social; 07.10%; 0; 202816.61; -202816.61; Assistência Social; 05.79%; 671725.71; 506346.30; 165379.41;  1.06
Prefeitura Municipal de Presidente Castello Branco - SC;  4213906;  SC;  1670; Agricultura; 30.03%; 1793549.67; 645699.06; 1147850.61; Transporte; 24.29%; 1796107.10; 867767.78; 928339.32; Comércio e Serviços; 06.20%; 256056.17; 19295.41; 236760.76; Previdência Social; 05.31%; 0; 202816.61; -202816.61; Saúde; 05.09%; 2104098.53; 2298741.15; -194642.62;  1.25
Prefeitura Municipal de Antônio Prado de Minas - MG;  3103108;  MG;  1685; Transporte; 21.09%; 214292.22; 906255.93; -691963.71; Educação; 15.87%; 1364532.71; 1885082.00; -520549.29; Administração; 15.75%; 2320845.23; 1804194.41; 516650.82; Agricultura; 08.75%; 343543.67; 630713.06; -287169.39; Previdência Social; 06.18%; 0; 202816.61; -202816.61;  1.06
Prefeitura Municipal de Jardinópolis - SC;  4208955;  SC;  1697; Agricultura; 21.84%; 1193749.77; 574326.16; 619423.61; Administração; 14.81%; 1454747.43; 1874796.20; -420048.77; Transporte; 08.40%; 1096874.20; 858719.34; 238154.86; Urbanismo; 08.26%; 878248.81; 643835.80; 234413.01; Encargos Especiais; 07.82%; 406908.65; 185162.56; 221746.09;  1.04
Prefeitura Municipal de Linha Nova - RS;  4311643;  RS;  1697; Administração; 23.89%; 3394505.47; 1903700.28; 1490805.19; Transporte; 11.86%; 152264.61; 892426.45; -740161.84; Saúde; 11.37%; 1534098.88; 2243482.67; -709383.79; Educação; 10.21%; 1277073.54; 1914149.22; -637075.68; Urbanismo; 10.18%; 0; 635350.78; -635350.78;  1.24
Prefeitura Municipal de Santa Cecília do Sul - RS;  4316733;  RS;  1699; Agricultura; 20.50%; 1358975.17; 605650.80; 753324.37; Transporte; 19.35%; 1577257.02; 866167.92; 711089.10; Urbanismo; 14.99%; 90400.78; 641206.98; -550806.20; Saúde; 06.26%; 2040780.67; 2270884.63; -230103.96; Encargos Especiais; 05.69%; 0; 209109.30; -209109.30;  1.16
Prefeitura Municipal de Gentil - RS;  4308854;  RS;  1714; Agricultura; 20.74%; 1318166.64; 568737.31; 749429.33; Educação; 18.30%; 2552705.29; 1891725.72; 660979.57; Urbanismo; 16.28%; 86920.44; 674988.79; -588068.35; Saneamento; 08.10%; 354005.69; 61238.00; 292767.69; Desporto e Lazer; 07.19%; 383270.81; 123589.91; 259680.90;  1.04
Prefeitura Municipal de Moiporá - GO;  5213400;  GO;  1724; Educação; 22.16%; 1104810.90; 1964798.89; -859987.99; Administração; 14.21%; 2346703.25; 1795189.84; 551513.41; Agricultura; 12.59%; 129732.33; 618466.12; -488733.79; Previdência Social; 10.48%; 600276.56; 193708.23; 406568.33; Assistência Social; 10.00%; 128819.11; 516859.97; -388040.86;  1.36
Prefeitura Municipal de União Paulista - SP;  3555703;  SP;  1733; Despesas (Intraorçamentárias); 14.32%; 558612.00; 85381.94; 473230.06; Saúde; 14.09%; 2636401.49; 2170710.69; 465690.80; Previdência Social; 09.84%; 494203.97; 168998.03; 325205.94; Transporte; 09.28%; 524677.83; 831197.07; -306519.24; Agricultura; 08.24%; 339380.49; 611683.57; -272303.08;  1.13
Prefeitura Municipal de Tigrinhos - SC;  4217956;  SC;  1733; Transporte; 33.18%; 1966196.19; 684161.46; 1282034.73; Agricultura; 12.39%; 1017695.71; 539181.84; 478513.87; Urbanismo; 10.23%; 295630.00; 690750.19; -395120.19; Educação; 08.73%; 1663153.47; 2000482.96; -337329.49; Saúde; 07.96%; 2500899.77; 2193198.97; 307700.80;  1.04
Prefeitura Municipal de Ponte Preta - RS;  4314787;  RS;  1743; Indústria; 14.89%; 617620.05; 21971.22; 595648.83; Saúde; 14.73%; 1663855.63; 2253373.38; -589517.75; Transporte; 12.80%; 1276235.11; 764075.42; 512159.69; Agricultura; 11.73%; 995749.02; 526242.92; 469506.10; Urbanismo; 08.68%; 300030.13; 647343.33; -347313.20;  1.05
Prefeitura Municipal de Coronel Pilar - RS;  4305934;  RS;  1747; Transporte; 19.48%; 0; 799517.15; -799517.15; Administração; 18.91%; 2651653.57; 1875715.95; 775937.62; Educação; 17.35%; 1228963.44; 1941188.03; -712224.59; Despesas (Intraorçamentárias); 08.61%; 407070.43; 53836.35; 353234.08; Assistência Social; 08.37%; 181473.97; 524899.32; -343425.35;  1.21
Prefeitura Municipal de Tupirama - TO;  1721257;  TO;  1751; Administração; 21.67%; 2736919.18; 1875715.95; 861203.23; Transporte; 20.12%; 0; 799517.15; -799517.15; Urbanismo; 15.02%; 0; 597108.14; -597108.14; Agricultura; 13.96%; 281.70; 555315.04; -555033.34; Encargos Especiais; 04.93%; 0; 195845.07; -195845.07;  1.20
Prefeitura Municipal de Nicolau Vergueiro - RS;  4312674;  RS;  1760; Transporte; 33.62%; 2059351.18; 799517.15; 1259834.03; Urbanismo; 13.46%; 92738.88; 597108.14; -504369.26; Saneamento; 11.84%; 518066.41; 74526.42; 443539.99; Encargos Especiais; 09.52%; 552624.66; 195845.07; 356779.59; Agricultura; 04.86%; 737522.77; 555315.04; 182207.73;  1.28
Prefeitura Municipal de Passabém - MG;  3147501;  MG;  1764; Administração; 19.35%; 1021074.35; 1875715.95; -854641.60; Educação; 13.54%; 1343134.58; 1941188.03; -598053.45; Agricultura; 11.60%; 43132.98; 555315.04; -512182.06; Urbanismo; 11.14%; 1088965.23; 597108.14; 491857.09; Saúde; 10.66%; 2680174.07; 2209271.50; 470902.57;  1.28
Prefeitura Municipal de Porto Vera Cruz - RS;  4315073;  RS;  1764; Previdência Social; 18.84%; 886822.41; 131568.80; 755253.61; Administração; 16.41%; 2478751.87; 1820694.74; 658057.13; Saúde; 12.22%; 1765750.98; 2255729.97; -489978.99; Urbanismo; 11.88%; 124054.06; 600595.40; -476541.34; Educação; 09.61%; 1604948.25; 1990133.76; -385185.51;  1.06
Prefeitura Municipal de Dirce Reis - SP;  3513850;  SP;  1766; Despesas (Intraorçamentárias); 13.57%; 518115.09; 50529.13; 467585.96; Administração; 12.90%; 1484924.10; 1929536.58; -444612.48; Agricultura; 12.49%; 200193.85; 630723.71; -430529.86; Previdência Social; 10.95%; 527083.85; 149555.73; 377528.12; Educação; 10.33%; 1610654.96; 1966809.24; -356154.28;  0.99
Prefeitura Municipal de São José do Brejo do Cruz - PB;  2514651;  PB;  1767; Transporte; 20.85%; 0; 945016.07; -945016.07; Urbanismo; 20.47%; 1465697.11; 538052.70; 927644.41; Educação; 20.32%; 2854868.77; 1933962.86; 920905.91; Administração; 13.52%; 1215131.71; 1827899.56; -612767.85; Encargos Especiais; 04.81%; 0; 218080.57; -218080.57;  1.08
Prefeitura Municipal de Senador José Bento - MG;  3165800;  MG;  1769; Agricultura; 19.70%; 43823.64; 627606.32; -583782.68; Saúde; 13.73%; 1892832.26; 2299542.44; -406710.18; Educação; 13.25%; 1593076.78; 1985719.66; -392642.88; Administração; 08.61%; 1524194.73; 1779355.75; -255161.02; Cultura; 08.56%; 358187.06; 104430.08; 253756.98;  1.04
Prefeitura Municipal de Capão Bonito do Sul - RS;  4304622;  RS;  1776; Educação; 18.82%; 3071459.44; 1997146.87; 1074312.57; Administração; 13.94%; 2534966.57; 1739523.23; 795443.34; Transporte; 12.20%; 1579823.74; 883477.78; 696345.96; Saúde; 08.94%; 2787347.35; 2276872.52; 510474.83; Urbanismo; 08.15%; 91525.50; 556867.43; -465341.93;  1.22
Prefeitura Municipal de Lavandeira - TO;  1712157;  TO;  1782; Saúde; 21.13%; 395974.88; 2276872.52; -1880897.64; Educação; 20.19%; 199717.44; 1997146.87; -1797429.43; Administração; 16.19%; 298312.57; 1739523.23; -1441210.66; Transporte; 09.92%; 0; 883477.78; -883477.78; Agricultura; 06.57%; 27657.94; 612620.32; -584962.38;  1.51
Prefeitura Municipal de Santa Inês - PR;  4123600;  PR;  1784; Educação; 14.70%; 2536765.03; 1938884.08; 597880.95; Agricultura; 14.61%; 43043.26; 637357.90; -594314.64; Transporte; 14.27%; 350379.47; 930582.58; -580203.11; Legislativa; 11.22%; 0; 456454.91; -456454.91; Urbanismo; 09.24%; 907253.08; 531301.23; 375951.85;  1.15
Prefeitura Municipal de Novo Xingu - RS;  4313466;  RS;  1798; Saúde; 13.23%; 2588819.88; 2218314.33; 370505.55; Agricultura; 12.51%; 896186.40; 545888.73; 350297.67; Urbanismo; 12.05%; 207524.85; 544983.18; -337458.33; Encargos Especiais; 09.10%; 421966.76; 167105.89; 254860.87; Previdência Social; 08.58%; 0; 240257.48; -240257.48;  1.07
Prefeitura Municipal de Consolação - MG;  3118502;  MG;  1801; Administração; 13.90%; 1229495.62; 1712868.30; -483372.68; Agricultura; 13.33%; 85146.14; 548678.84; -463532.70; Educação; 10.32%; 1648633.74; 2007267.85; -358634.11; Previdência Social; 09.49%; 543108.37; 213102.06; 330006.31; Urbanismo; 08.63%; 816085.07; 516097.43; 299987.64;  1.07
Prefeitura Municipal de Mato Queimado - RS;  4312179;  RS;  1808; Transporte; 18.29%; 30428.50; 852409.17; -821980.67; Educação; 13.45%; 2566508.25; 1962064.27; 604443.98; Urbanismo; 12.74%; 1125247.59; 552555.67; 572691.92; Agricultura; 11.92%; 1022518.13; 487027.81; 535490.32; Habitação; 10.69%; 508989.11; 28667.95; 480321.16;  1.30
Prefeitura Municipal de Parari - PB;  2510659;  PB;  1809; Administração; 26.66%; 2766260.66; 1616833.29; 1149427.37; Transporte; 14.62%; 296416.87; 926873.44; -630456.57; Saúde; 14.23%; 1649938.43; 2263722.96; -613784.53; Urbanismo; 09.03%; 155420.84; 544784.62; -389363.78; Encargos Especiais; 08.20%; 505445.51; 152060.79; 353384.72;  1.00
Prefeitura Municipal de Vitória Brasil - SP;  3556958;  SP;  1815; Transporte; 19.92%; 202652.28; 907482.78; -704830.50; Urbanismo; 15.16%; 1053229.27; 516843.28; 536385.99; Assistência Social; 13.53%; 893263.75; 414421.80; 478841.95; Saúde; 12.02%; 2605258.12; 2179969.85; 425288.27; Administração; 07.99%; 1916447.03; 1633761.42; 282685.61;  1.02
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG;  3160504;  MG;  1818; Agricultura; 15.73%; 190814.41; 526314.47; -335500.06; Saúde; 14.64%; 2492456.49; 2180198.53; 312257.96; Educação; 12.94%; 1717048.76; 1993043.02; -275994.26; Desporto e Lazer; 07.42%; 286253.21; 127867.36; 158385.85; Administração; 05.38%; 1762866.46; 1648092.28; 114774.18;  1.04
Prefeitura Municipal de Macieira - SC;  4210050;  SC;  1823; Transporte; 23.48%; 1899230.13; 740463.31; 1158766.82; Agricultura; 13.88%; 1173443.86; 488778.99; 684664.87; Educação; 12.23%; 2583862.83; 1980290.20; 603572.63; Saúde; 10.18%; 2694920.41; 2192606.97; 502313.44; Urbanismo; 07.82%; 193799.23; 579805.42; -386006.19;  1.06
Prefeitura Municipal de Canudos do Vale - RS;  4304614;  RS;  1834; Administração; 39.54%; 2920640.70; 1564872.33; 1355768.37; Urbanismo; 18.54%; 0; 635866.71; -635866.71; Assistência Social; 09.49%; 128785.60; 454122.70; -325337.10; Previdência Social; 05.80%; 0; 198884.04; -198884.04; Encargos Especiais; 05.10%; 0; 174760.05; -174760.05;  1.19
Prefeitura Municipal de Paulistânia - SP;  3536570;  SP;  1837; Urbanismo; 24.16%; 1491904.56; 543942.28; 947962.28; Saúde; 15.20%; 2811322.46; 2214761.81; 596560.65; Educação; 09.13%; 2429170.36; 2070871.25; 358299.11; Transporte; 07.16%; 1051879.09; 770815.17; 281063.92; Agricultura; 06.75%; 272444.12; 537116.41; -264672.29;  0.98
Prefeitura Municipal de Pedro Teixeira - MG;  3149408;  MG;  1840; Administração; 18.46%; 1028682.06; 1731768.92; -703086.86; Saúde; 13.55%; 2741341.13; 2225365.78; 515975.35; Educação; 11.81%; 1620601.55; 2070335.33; -449733.78; Previdência Social; 08.62%; 528340.70; 200213.96; 328126.74; Urbanismo; 07.63%; 287076.54; 577505.73; -290429.19;  1.06
Prefeitura Municipal de Alto Alegre - RS;  4300554;  RS;  1841; Educação; 21.40%; 1371509.28; 2073045.36; -701536.08; Transporte; 15.51%; 1292475.48; 783820.29; 508655.19; Administração; 09.12%; 1486095.99; 1785182.56; -299086.57; Despesas (Intraorçamentárias); 08.35%; 377293.74; 103469.93; 273823.81; Saúde; 07.75%; 2034823.39; 2288854.19; -254030.80;  1.06
