##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Intraorçamentárias)";lof_absoluto_com_pop;lof_absoluto_sem_pop;lof_absoluto_suav;lof_absoluto_suav_norm;lof_relativo;lof_relativo_norm
Prefeitura Municipal de Arujá - SP;3503901;SP;82651;10226717.33;0;0;43026688.88;0;3257247.58;0;10400436.28;770339.13;41247953.21;0;62576406.13;1472289.58;0;26794057.23;0;0;0;0;0;0;0;0;0;1565737.10;0;1049649.49;4155416.30;0;1.20;1.20;1.29;1.28;1.11;1.44
Prefeitura Municipal de Nova Itaberaba - SC;4211454;SC;4338;588334.40;0;0;1737719.00;0;15857.47;0;839853.03;0;3430188.58;0;3597179.52;84687.61;0;989058.98;0;0;0;0;1186968.32;0;0;0;0;0;1768312.55;202120.17;538720.43;0;1.06;1.06;0.99;1.00;1.07;1.10
Prefeitura Municipal de Itaíba - PE;2607505;PE;26462;1403541.52;0;0;5567257.22;0;0;0;1274585.84;3414766.66;8279955.21;0;23425495.30;416980.64;0;1469993.90;0;0;34011.75;0;1234910.28;0;0;0;0;0;334627.09;85136.00;1794793.02;0;1.07;1.07;0.98;1.01;1.15;1.15
Prefeitura Municipal de Piraúba - MG;3151305;MG;11112;627236.24;0;0;3223200.71;0;0;0;763294.94;0;4284571.03;0;5629011.67;286721.25;0;1571085.17;0;0;7720.18;0;439589.44;0;0;0;0;0;0;12047.30;499677.55;0;1.02;1.02;0.99;0.99;1.02;0.98
Prefeitura Municipal de Nova Pádua - RS;4313086;RS;2551;326117.51;0;0;2051848.85;0;18000.00;0;67896.49;402215.31;2119720.49;0;1475767.29;90077.01;0;1116.72;0;11324.30;283348.17;0;481540.59;0;0;133112.04;0;140534.34;2506265.04;71273.59;501494.57;0;1.24;1.24;1.02;1.18;1.43;1.68
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;18471515.91;393.84;5649114.49;96165372.92;0;16589500.44;0;38940256.53;2140755.34;365483745.80;451954.86;230037691.74;17085572.49;124490.96;102085434.28;9962588.75;109409080.27;24478927.90;77780.92;6216127.58;0;0;2402759.32;0;0;11778607.63;12272968.67;214108353.45;131434991.02;1.91;1.91;1.12;1.11;1.73;1.78
Prefeitura Municipal de Alto Araguaia - MT;5100300;MT;17168;0;0;0;12252607.53;0;0;0;3691099.88;0;18890794.91;0;13620615.03;670740.85;0;5506995.80;31980.90;1108862.33;19289.45;0;262729.88;0;24127.82;0;0;691405.92;2972433.95;368756.66;893052.63;0;1.15;1.15;1.08;1.11;1.11;1.34
Prefeitura Municipal de Couto Magalhães - TO;1706001;TO;5370;480851.90;0;6000.00;1638466.88;0;0;0;453320.33;0;2806354.73;67875.78;5023943.51;239508.99;0;425070.24;0;0;183710.86;0;951158.80;0;0;107231.88;66771.55;0;770718.70;97774.65;53070.34;0;1.08;1.08;1.17;1.16;1.27;1.54
Prefeitura Municipal de Ituporanga - SC;4208500;SC;23777;1347344.41;89990.00;19483.82;4642383.87;0;577659.00;0;1432723.71;0;10497067.38;0;14689186.37;214333.82;0;8014339.03;0;171311.86;5457.92;0;1554984.48;0;0;3015148.97;0;0;2696987.86;179637.32;1545378.16;0;1.24;1.24;1.13;1.13;1.30;1.51
Prefeitura Municipal de Ipuaçu - SC;4207684;SC;7193;840637.80;0;0;2651840.86;0;72509.83;0;1265271.79;0;4101652.86;0;4824736.24;51148.75;0;1928722.67;0;8787.20;3819.24;0;1210270.09;0;159858.61;0;0;0;2068607.30;66069.00;668059.29;0;1.15;1.15;1.06;1.02;1.11;1.21
Prefeitura Municipal de Paiçandu - PR;4117503;PR;38846;0;0;0;7489275.88;0;0;0;1515624.70;0;12506126.84;0;17524514.62;434849.80;0;6561322.87;0;0;218819.29;0;156425.43;0;0;0;0;0;0;297796.44;0;0;1.08;1.08;1.07;1.08;1.02;1.04
Prefeitura Municipal de Buritirana - MA;2102358;MA;15055;0;0;226375.43;3816450.42;0;0;0;880270.53;1494.62;4886352.21;0;9705822.01;262351.74;0;453263.07;0;296527.95;761944.17;0;0;0;0;10531.42;0;1235376.80;0;143381.76;335011.42;0;1.07;1.07;1.34;1.26;1.10;1.67
Prefeitura Municipal de Jaguaruana - CE;2307007;CE;33324;1888039.22;0;0;3229595.20;0;0;0;2187060.22;3260583.37;12006037.17;0;17414681.87;1244704.10;1750.00;6836613.85;0;22261.73;425650.61;0;638048.99;0;0;50461.30;0;0;412231.77;538275.88;2938862.15;1265095.45;1.10;1.10;1.05;1.11;1.07;1.12
Prefeitura Municipal de Bananeiras - PB;2501500;PB;21276;1166115.36;0;64291.67;7085166.11;0;0;0;758876.29;1821934.06;8831407.99;0;12956453.64;664868.00;0;300600.00;0;0;0;0;375766.38;0;0;111527.92;0;0;4264.80;115106.09;174029.04;533616.76;1.11;1.11;1.21;1.15;1.03;1.05
Prefeitura Municipal de Itaguaru - GO;5210604;GO;5504;640427.15;21941.13;50842.46;2679058.58;0;79501.91;0;1140725.12;1167054.27;3276245.77;0;2754428.26;37929.99;0;1463129.52;0;0;15966.67;0;148750.08;0;48054.40;0;46950.35;575324.28;0;355599.90;331807.94;0;1.25;1.25;1.28;1.30;1.25;1.71
Prefeitura Municipal de José Boiteux - SC;4209151;SC;4850;590588.80;0;0;1567395.07;0;133863.04;0;672188.49;0;3352993.35;0;4867888.34;0;48443.35;0;0;82469.35;0;0;545036.20;0;0;0;0;177003.27;2772439.87;80952.35;0;0;1.21;1.21;1.38;1.23;1.23;1.44
Prefeitura Municipal de Mamanguape - PB;2508901;PB;44030;2109664.64;0;0;7077375.80;0;0;0;2527017.30;0;17496691.09;586953.74;23060285.46;0;286619.96;4911741.94;64912.00;0;162009.47;0;606307.96;0;0;617332.21;0;59167.78;296478.75;150376.03;0;0;1.07;1.07;1.32;1.34;0.96;1.22
Prefeitura Municipal de Itabela - BA;2914653;BA;30852;1728855.30;0;0;5438995.37;0;0;0;2494953.57;2289904.26;13096128.49;0;22241718.49;976008.46;0;3658671.34;0;3521659.52;176469.93;0;353234.11;0;0;0;0;0;0;62351.60;833747.62;0;1.05;1.05;1.09;1.07;1.11;1.10
Prefeitura Municipal de Xangri-lá - RS;4323804;RS;13951;2653633.36;0;0;16146760.58;0;65101.25;0;1727895.49;0;15985586.60;0;22453987.16;4135.00;0;4654225.46;0;0;79153.00;0;0;0;0;0;0;0;4434.00;1020213.15;1766552.92;1436041.44;1.18;1.18;1.16;1.10;1.21;1.31
Prefeitura Municipal de Sumé - PB;2516300;PB;16691;1027400.16;0;0;1539751.45;0;0;0;936717.31;2183577.33;11124369.26;0;8646689.08;592941.46;0;3628440.02;0;339604.22;0;0;1034919.48;0;0;0;0;0;27136.16;496733.34;518754.13;249910.92;1.13;1.13;0.98;0.97;1.13;1.09
Prefeitura Municipal de Corinto - MG;3119104;MG;24457;1682214.32;187075.87;0;4339961.94;0;26645.70;0;1026563.52;0;8514242.11;47595.76;10654766.00;210148.43;0;3473664.14;0;0;125322.81;30293.47;168998.52;0;0;456641.16;0;11430.13;1265121.32;314171.80;487670.01;0;1.02;1.02;1.17;1.21;0.99;1.14
Prefeitura Municipal de Utinga - BA;2932804;BA;19490;1170537.52;0;0;2524191.67;0;319.50;0;998890.92;0;7654683.01;0;13582982.73;1528778.20;0;3341041.40;0;1923.00;299120.27;0;140024.57;0;0;0;0;0;69524.08;15769.07;400289.90;0;0.99;0.99;0.98;1.00;0.99;1.11
Prefeitura Municipal de Goianira - GO;5208806;GO;38607;2382498.57;11094.99;0;918559.62;0;401224.83;0;2816952.83;3697147.56;16694085.05;0;26124112.36;1950.00;0;8026147.73;242677.52;0;552890.17;0;63353.58;0;0;0;73058.88;0;3452609.25;594146.69;2647768.65;0;1.23;1.23;1.15;1.26;1.33;1.18
Prefeitura Municipal de Bugre - MG;3109253;MG;4128;466615.41;0;0;2710624.66;0;20500.08;0;537947.96;190682.97;3002083.07;0;1689756.61;199251.87;0;1889986.04;0;430735.43;2100.00;0;79240.97;0;0;0;0;0;839661.30;180762.79;0;0;1.23;1.23;1.05;1.06;1.40;1.34
Prefeitura Municipal de São Domingos do Norte - ES;3204658;ES;8652;896074.59;0;12701.27;4809870.48;0;0;0;1027218.33;954827.42;4999647.38;217.00;7563673.14;125854.47;0;1526680.74;0;359316.88;238488.94;0;676531.19;0;566828.59;25104.38;34133.58;0;400365.83;231204.73;515646.21;0;1.07;1.07;1.15;1.15;1.05;1.40
Prefeitura Municipal de Ipueiras - TO;1709807;TO;1843;401738.89;0;0;1112956.41;0;6935.04;0;366885.42;343691.14;1524277.80;61684.12;2140198.48;93243.90;0;452159.64;0;0;58100.56;0;217509.44;0;0;555992.97;8449.75;0;14989.40;117002.00;0;0;1.14;1.14;1.10;1.14;1.29;1.93
Prefeitura Municipal de Alagoa - MG;3101300;MG;2764;341280.51;516017.82;0;1210042.06;0;18628.38;0;355664.05;1299878.76;3010296.15;0;2486062.35;204227.28;0;214373.75;0;25078.90;0;0;174889.97;0;0;38744.75;0;0;796688.83;127267.88;326473.72;0;1.19;1.19;1.07;1.09;1.34;2.52
Prefeitura Municipal de Douradina - PR;4107256;PR;8120;0;0;0;2628718.84;0;0;0;707644.95;0;4917255.01;0;4686811.58;57143.80;0;1183038.15;0;0;82127.18;0;765845.03;0;10618.13;2000.00;0;401738.19;611625.41;157410.58;815349.21;0;1.08;1.08;1.04;1.04;1.05;1.23
Prefeitura Municipal de Caraguatatuba - SP;3510500;SP;111524;9493330.79;0;0;49157985.19;0;57277.84;0;14863663.89;8052526.06;91444221.42;0;121011573.94;4909684.38;0;68030072.14;132179.19;0;2409788.66;155892.27;3321.00;0;0;2180152.57;0;0;0;6020137.79;4142405.90;15266020.35;1.25;1.25;1.21;1.10;1.14;1.24
Prefeitura Municipal de São José dos Basílios - MA;2111250;MA;7501;0;0;0;3185296.75;0;0;0;515034.34;0;3041911.66;0;5592125.77;15000.00;0;888950.00;0;280200.32;69899.89;0;0;0;0;0;0;0;0;0;68305.95;0;1.03;1.03;1.24;1.19;1.02;1.10
Prefeitura Municipal de Bálsamo - SP;3504800;SP;8703;464836.80;0;0;2231487.37;0;0;0;939626.39;177212.28;4427531.08;350070.60;5802939.86;123279.35;0;3731896.40;0;1067972.82;0;0;21735.76;0;0;0;0;0;269777.62;215153.37;290981.52;0;1.17;1.17;1.17;1.12;1.13;1.53
Prefeitura Municipal de Tejupá - SP;3554201;SP;4788;758582.56;0;0;2123097.54;0;0;0;1237666.89;0;3208106.57;0;5268028.16;1214.27;0;506908.43;0;374686.40;0;0;90379.76;0;0;0;0;0;1053649.50;683391.41;960117.80;0;1.20;1.20;0.99;1.00;1.27;1.52
Prefeitura Municipal de Santa Bárbara - BA;2927507;BA;20635;1044856.50;0;0;3403606.51;0;0;0;887003.02;0;5909489.54;0;11375865.29;790303.29;0;3666384.40;0;0;2946.00;0;235759.68;0;0;0;0;398036.48;207980.08;79980.00;192478.94;0;1.00;1.00;1.03;1.02;1.01;1.08
Prefeitura Municipal de Jundiaí - SP;3525904;SP;397965;19721255.57;0;334769.45;81287410.42;0;34939950.46;0;35758580.91;111580108.69;396390828.10;505180.23;327919956.28;12525168.12;1036331.76;186376743.22;12340558.64;16680649.88;9462148.44;153550.00;6964028.93;0;0;2372706.01;11032951.37;0;0;24428407.27;49223607.25;97139340.44;1.77;1.77;1.19;1.13;1.32;1.78
Prefeitura Municipal de Curral Novo do Piauí - PI;2203271;PI;5059;0;0;0;2388336.52;0;0;0;595537.49;0;2279392.78;0;4490448.24;0;0;350735.11;0;0;0;0;73464.42;0;0;0;0;0;13268.00;232254.80;0;0;1.04;1.04;1.08;1.09;1.05;1.25
Prefeitura Municipal de São Geraldo do Baixio - MG;3161650;MG;3788;463820.76;38500.00;0;1147976.43;0;256439.31;0;475718.56;421109.04;2978774.71;107512.05;2012288.13;457887.00;0;1164048.49;0;173182.07;0;0;81469.20;0;0;0;0;155127.45;460723.06;32782.50;0;0;1.01;1.01;1.06;1.08;1.15;1.68
Prefeitura Municipal de São José do Piauí - PI;2210201;PI;6615;408314.65;0;0;1794123.49;0;0;0;563118.74;354225.41;2740702.10;87147.44;3645038.70;18930.00;0;78167.30;0;397833.65;15433.00;0;70834.14;0;0;0;147657.60;128799.88;56020.00;38586.64;0;0;1.02;1.02;1.08;1.09;1.03;1.52
Prefeitura Municipal de Lins - SP;3527108;SP;75612;5559002.59;846994.82;0;28341533.96;0;616989.18;0;6369560.12;5918597.18;35402107.39;632860.98;34560649.90;1513390.08;58913.27;22626668.43;363738.78;0;250000.00;0;2358443.91;0;0;0;0;0;2647859.49;3602709.26;0;0;1.19;1.19;1.21;1.19;1.09;1.21
Prefeitura Municipal de Senador Firmino - MG;3165701;MG;7650;592485.34;121192.43;0;861814.53;0;8111.61;0;408481.76;379042.35;3148638.09;0;4064385.08;563065.94;0;1473122.10;0;943234.55;7750.16;0;298939.48;0;0;0;2119.74;0;395983.08;197660.16;650592.77;0;1.19;1.19;1.01;1.02;1.24;1.24
Prefeitura Municipal de Sertanópolis - PR;4126504;PR;16315;1048507.81;0;0;5356466.23;0;0;0;1141729.67;758035.08;9295867.06;0;7910483.40;462770.29;0;2665760.63;0;0;73652.20;0;295969.83;0;51822.07;5910.76;0;0;2077856.39;372361.76;1739380.40;0;1.04;1.04;1.07;1.06;1.03;1.13
Prefeitura Municipal de Feira Nova - SE;2802205;SE;5551;624688.05;303544.65;0;4101874.20;0;0;0;159436.11;0;2491091.10;0;4623057.79;0;0;438666.06;0;0;0;0;0;0;0;0;0;0;0;295415.34;0;0;1.15;1.15;1.17;1.20;1.12;1.37
Prefeitura Municipal de Marcação - PB;2509057;PB;8241;534471.87;0;0;1912187.16;0;0;0;604335.50;0;2461625.33;163604.06;6691062.18;222844.89;0;1298983.12;0;0;0;0;56465.43;0;0;0;0;0;35947.19;6528.55;0;0;1.04;1.04;1.10;1.12;1.00;1.31
Prefeitura Municipal de Marcelândia - MT;5105580;MT;11090;952360.74;146914.01;0;2923716.48;0;0;0;1261199.64;1221828.26;7149241.95;286084.73;8608735.38;19788.59;0;487299.24;0;295543.00;281925.17;0;401906.46;0;0;0;0;115933.46;2818303.03;231739.39;487441.08;0;1.16;1.16;1.09;1.07;1.10;1.30
Prefeitura Municipal de Barro Preto - BA;2903300;BA;6627;0;39000.00;0;4068328.87;0;0;0;359591.27;0;4185846.98;0;7007580.93;1009.00;0;37500.00;0;0;0;0;0;0;0;0;0;0;0;300.00;258793.62;0;1.07;1.07;1.18;1.18;1.19;1.37
Prefeitura Municipal de Andorinha - BA;2901353;BA;14862;1274574.20;141475.00;0;3925097.19;0;0;0;1092112.98;0;6721801.15;0;12671960.41;1160736.49;0;3067389.74;0;68826.81;0;0;353444.75;0;0;0;0;0;88505.81;65091.56;323243.53;0;0.98;0.98;1.07;1.07;1.01;1.16
Prefeitura Municipal de Curuá - PA;1502855;PA;13333;0;0;0;4798255.54;0;0;0;761819.45;0;4537103.22;0;13233976.83;92431.44;0;78437.94;0;112217.17;104774.00;0;318506.48;0;0;0;0;0;0;27750.00;298194.15;0;1.09;1.09;1.08;1.08;1.07;1.06
Prefeitura Municipal de Centralina - MG;3115805;MG;10593;961165.87;309876.24;0;3261019.29;0;0;0;971441.31;140629.58;5916281.40;0;4478823.31;290985.86;0;1844690.43;0;0;162533.98;0;44403.52;0;0;40520.49;0;0;0;288840.65;137860.25;0;1.11;1.11;1.10;1.10;1.03;1.20
Prefeitura Municipal de Santa Rosa de Goiás - GO;5219506;GO;2772;614691.06;0;0;1379289.95;0;23523.09;0;536055.87;857119.36;3033327.54;15092.98;2763957.08;393108.34;0;1867635.53;0;0;70874.97;0;104569.42;0;21337.76;0;0;0;0;153359.11;160624.44;0;1.08;1.08;1.19;1.23;1.17;1.36
Prefeitura Municipal de São Sebastião do Anta - MG;3164472;MG;6215;611273.33;0;0;2197537.22;0;11443.09;0;728000.29;0;3016498.53;125795.62;4808013.86;0;0;1443593.02;39410.96;247514.16;0;0;205020.74;0;0;0;0;70356.88;417322.51;417845.09;192656.96;0;1.00;1.00;1.21;1.18;1.04;1.28
Prefeitura Municipal de Tomar do Geru - SE;2807501;SE;13196;804624.60;94600.43;0;10434446.55;0;0;0;825568.28;0;2685406.66;0;11533981.33;13575.00;0;262082.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.42;1.42;1.11;1.10;1.31;1.22
Prefeitura Municipal de Gravataí - RS;4309209;RS;270689;15637894.94;0;0;53143815.80;0;7187734.41;0;16178989.78;29750607.23;149543600.07;1023821.03;134185507.24;2167362.07;523.09;40248361.12;1982580.55;4043641.56;2927492.47;0;2430312.15;0;0;1534876.83;455374.44;0;4061593.60;1686121.15;23461000.46;28901936.37;1.12;1.12;1.09;1.10;1.02;1.19
