###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Grupiara - MG;  3127909;  MG;  1415; Transporte; 23.61%; 54490.67; 1055097.40; -1000606.73; Urbanismo; 11.65%; 1112198.92; 618506.16; 493692.76; Administração; 09.10%; 2137297.32; 1751666.95; 385630.37; Essencial à Justiça; 08.37%; 354775.32; 0.00; 354775.32; Educação; 07.45%; 1624117.19; 1939931.22; -315814.03;  1.18
Prefeitura Municipal de Jardim Olinda - PR;  4112603;  PR;  1416; Urbanismo; 20.45%; 1590394.34; 618506.16; 971888.18; Previdência Social; 15.72%; 812928.08; 65683.44; 747244.64; Transporte; 13.87%; 395974.15; 1055097.40; -659123.25; Agricultura; 12.14%; 61890.42; 638981.39; -577090.97; Legislativa; 08.80%; 0; 418377.39; -418377.39;  1.14
Prefeitura Municipal de Engenho Velho - RS;  4306924;  RS;  1428; Previdência Social; 37.68%; 1227701.16; 65683.44; 1162017.72; Educação; 15.40%; 1465052.71; 1939931.22; -474878.51; Transporte; 10.08%; 744103.47; 1055097.40; -310993.93; Encargos Especiais; 06.95%; 16875.48; 231195.76; -214320.28; Administração; 06.90%; 1538781.05; 1751666.95; -212885.90;  2.12
Prefeitura Municipal de Cachoeira de Goiás - GO;  5204201;  GO;  1430; Educação; 21.90%; 1042528.37; 1939931.22; -897402.85; Administração; 12.53%; 2265292.52; 1751666.95; 513625.57; Agricultura; 12.30%; 135083.27; 638981.39; -503898.12; Urbanismo; 12.16%; 1116784.72; 618506.16; 498278.56; Previdência Social; 08.86%; 428661.70; 65683.44; 362978.26;  1.09
Prefeitura Municipal de União da Serra - RS;  4322350;  RS;  1434; Agricultura; 27.19%; 1683050.24; 638981.39; 1044068.85; Educação; 15.56%; 1342261.03; 1939931.22; -597670.19; Previdência Social; 13.34%; 578176.29; 65683.44; 512492.85; Urbanismo; 08.18%; 304508.71; 618506.16; -313997.45; Administração; 06.32%; 1508761.07; 1751666.95; -242905.88;  1.07
Prefeitura Municipal de Lajeado Grande - SC;  4209458;  SC;  1479; Transporte; 32.01%; 2163579.42; 922757.27; 1240822.15; Urbanismo; 12.93%; 170437.47; 671628.13; -501190.66; Agricultura; 11.34%; 1011016.55; 571412.83; 439603.72; Educação; 09.83%; 1562800.02; 1943919.13; -381119.11; Assistência Social; 05.72%; 715502.52; 493640.46; 221862.06;  1.05
Prefeitura Municipal de Serra Nova Dourada - MT;  5107883;  MT;  1492; Administração; 30.18%; 3037858.22; 1731148.27; 1306709.95; Educação; 16.10%; 2611426.13; 1914602.28; 696823.85; Transporte; 09.45%; 1427158.60; 1018205.13; 408953.47; Urbanismo; 09.06%; 240989.37; 633075.01; -392085.64; Cultura; 05.35%; 336385.06; 104925.48; 231459.58;  1.14
Prefeitura Municipal de Nova Aliança do Ivaí - PR;  4116505;  PR;  1509; Transporte; 23.94%; 64948.46; 1088905.64; -1023957.18; Agricultura; 13.00%; 48705.48; 604852.97; -556147.49; Educação; 12.57%; 2390850.81; 1853235.04; 537615.77; Administração; 08.61%; 1374419.65; 1742669.43; -368249.78; Habitação; 07.52%; 330000.00; 8408.27; 321591.73;  1.05
Prefeitura Municipal de Doresópolis - MG;  3123403;  MG;  1512; Transporte; 28.03%; 1568073.74; 924933.21; 643140.53; Agricultura; 14.68%; 226576.01; 563496.25; -336920.24; Educação; 08.40%; 2078269.67; 1885441.06; 192828.61; Legislativa; 06.64%; 582908.57; 430586.32; 152322.25; Encargos Especiais; 06.02%; 381051.64; 242957.50; 138094.14;  1.02
Prefeitura Municipal de Santa Salete - SP;  3547650;  SP;  1517; Transporte; 19.60%; 340290.19; 967809.24; -627519.05; Saúde; 18.02%; 2753587.65; 2176534.01; 577053.64; Assistência Social; 10.10%; 823069.73; 499823.62; 323246.11; Urbanismo; 09.61%; 899572.75; 592012.09; 307560.66; Agricultura; 07.70%; 294556.51; 541034.90; -246478.39;  1.06
Prefeitura Municipal de São Félix do Tocantins - TO;  1720150;  TO;  1532; Transporte; 19.89%; 0; 967809.24; -967809.24; Educação; 12.66%; 1282570.94; 1898296.30; -615725.36; Urbanismo; 10.17%; 97245.57; 592012.09; -494766.52; Gestão Ambiental; 09.65%; 495604.39; 26241.40; 469362.99; Saúde; 09.29%; 1724449.78; 2176534.01; -452084.23;  1.33
Prefeitura Municipal de Montauri - RS;  4312351;  RS;  1562; Transporte; 21.51%; 1832005.93; 967809.24; 864196.69; Agricultura; 14.43%; 1120644.01; 541034.90; 579609.11; Saneamento; 14.07%; 661013.06; 95694.87; 565318.19; Administração; 08.61%; 1440429.80; 1786358.86; -345929.06; Assistência Social; 08.30%; 166424.91; 499823.62; -333398.71;  1.18
Prefeitura Municipal de Coqueiro Baixo - RS;  4305835;  RS;  1564; Transporte; 23.45%; 1720700.24; 967809.24; 752891.00; Agricultura; 21.05%; 1216735.62; 541034.90; 675700.72; Administração; 17.17%; 1235194.30; 1786358.86; -551164.56; Urbanismo; 07.79%; 341752.08; 592012.09; -250260.01; Educação; 05.17%; 1732289.75; 1898296.30; -166006.55;  1.07
Prefeitura Municipal de Carlos Gomes - RS;  4304853;  RS;  1588; Urbanismo; 21.09%; 91417.84; 592012.09; -500594.25; Agricultura; 19.94%; 1014349.93; 541034.90; 473315.03; Administração; 16.77%; 1388350.71; 1786358.86; -398008.15; Educação; 06.23%; 1750538.11; 1898296.30; -147758.19; Desporto e Lazer; 05.17%; 15072.56; 137655.44; -122582.88;  1.27
Prefeitura Municipal de Tupanci do Sul - RS;  4322186;  RS;  1591; Urbanismo; 17.38%; 83389.88; 592012.09; -508622.21; Administração; 13.82%; 1382049.11; 1786358.86; -404309.75; Agricultura; 12.26%; 899847.55; 541034.90; 358812.65; Transporte; 10.27%; 1268360.66; 967809.24; 300551.42; Encargos Especiais; 08.36%; 7532.17; 252163.78; -244631.61;  1.07
Prefeitura Municipal de Flor do Sertão - SC;  4205357;  SC;  1603; Transporte; 26.07%; 1912336.40; 967809.24; 944527.16; Saúde; 14.76%; 2711302.33; 2176534.01; 534768.32; Educação; 09.95%; 2258751.82; 1898296.30; 360455.52; Administração; 07.76%; 1505349.85; 1786358.86; -281009.01; Urbanismo; 07.73%; 312081.14; 592012.09; -279930.95;  1.07
Prefeitura Municipal de Santana da Ponte Pensa - SP;  3547205;  SP;  1610; Urbanismo; 24.93%; 1658499.43; 592012.09; 1066487.34; Saúde; 13.61%; 2758668.80; 2176534.01; 582134.79; Transporte; 12.84%; 418529.22; 967809.24; -549280.02; Previdência Social; 11.78%; 591853.04; 87685.68; 504167.36; Administração; 11.27%; 1304171.99; 1786358.86; -482186.87;  1.08
Prefeitura Municipal de São Sebastião do Rio Preto - MG;  3164803;  MG;  1611; Administração; 22.17%; 876665.65; 1855677.62; -979011.97; Transporte; 12.01%; 422732.13; 953137.25; -530405.12; Educação; 11.49%; 1427855.94; 1935059.50; -507203.56; Urbanismo; 10.32%; 1047949.21; 592364.09; 455585.12; Agricultura; 10.30%; 104468.12; 559377.28; -454909.16;  1.02
Prefeitura Municipal de Vista Alegre do Prata - RS;  4323606;  RS;  1613; Transporte; 20.72%; 1818747.44; 863085.09; 955662.35; Administração; 12.92%; 2353422.75; 1757579.60; 595843.15; Educação; 12.68%; 1341955.42; 1926802.61; -584847.19; Urbanismo; 11.02%; 143929.26; 652107.51; -508178.25; Agricultura; 08.14%; 864224.48; 488857.33; 375367.15;  1.01
Prefeitura Municipal de Guabiju - RS;  4309258;  RS;  1618; Administração; 20.67%; 2605333.45; 1792629.20; 812704.25; Educação; 20.37%; 1091242.07; 1892399.83; -801157.76; Urbanismo; 13.92%; 74685.70; 622214.67; -547528.97; Saúde; 10.55%; 2635119.81; 2220336.75; 414783.06; Assistência Social; 06.48%; 262713.86; 517583.20; -254869.34;  1.08
Prefeitura Municipal de São João da Paraúna - GO;  5220058;  GO;  1623; Administração; 18.59%; 2664090.31; 1792629.20; 871461.11; Saúde; 15.49%; 2946139.07; 2220336.75; 725802.32; Educação; 09.44%; 2334743.79; 1892399.83; 442343.96; Habitação; 09.38%; 470148.17; 30434.54; 439713.63; Urbanismo; 07.42%; 970093.40; 622214.67; 347878.73;  1.35
Prefeitura Municipal de Lagoa dos Três Cantos - RS;  4311270;  RS;  1649; Transporte; 20.57%; 1701846.10; 919300.53; 782545.57; Agricultura; 16.83%; 1151323.22; 510937.75; 640385.47; Despesas (Intraorçamentárias); 14.41%; 606470.60; 58028.15; 548442.45; Previdência Social; 09.27%; 449116.20; 96314.59; 352801.61; Educação; 07.84%; 1594007.11; 1892399.83; -298392.72;  1.10
Prefeitura Municipal de Trabiju - SP;  3554755;  SP;  1650; Transporte; 21.62%; 0; 981175.77; -981175.77; Urbanismo; 19.54%; 1507975.91; 621269.30; 886706.61; Educação; 16.95%; 2648634.58; 1879490.17; 769144.41; Legislativa; 10.56%; 6020.69; 485224.79; -479204.10; Cultura; 08.49%; 474937.99; 89691.36; 385246.63;  1.04
Prefeitura Municipal de Fernão - SP;  3515657;  SP;  1658; Urbanismo; 17.81%; 1304733.79; 670530.78; 634203.01; Despesas (Intraorçamentárias); 14.83%; 583053.13; 54804.36; 528248.77; Transporte; 10.09%; 567400.44; 926666.00; -359265.56; Previdência Social; 09.57%; 431713.36; 90963.78; 340749.58; Saúde; 08.22%; 2545893.17; 2253169.29; 292723.88;  1.07
Prefeitura Municipal de Crixás do Tocantins - TO;  1706258;  TO;  1666; Educação; 20.90%; 2583945.71; 1922220.42; 661725.29; Urbanismo; 19.76%; 44924.79; 670530.78; -625605.99; Agricultura; 13.19%; 80135.02; 497688.10; -417553.08; Saúde; 10.03%; 1935596.30; 2253169.29; -317572.99; Encargos Especiais; 07.26%; 0; 229774.28; -229774.28;  1.07
Prefeitura Municipal de Flora Rica - SP;  3515806;  SP;  1666; Administração; 38.51%; 3806212.76; 1776576.47; 2029636.29; Transporte; 17.58%; 0; 926666.00; -926666.00; Urbanismo; 13.01%; 1356190.67; 670530.78; 685659.89; Agricultura; 06.74%; 142383.72; 497688.10; -355304.38; Saúde; 04.51%; 2015588.53; 2253169.29; -237580.76;  1.09
Prefeitura Municipal de Paial - SC;  4211876;  SC;  1668; Transporte; 24.22%; 1597808.03; 926666.00; 671142.03; Saúde; 21.46%; 2847847.50; 2253169.29; 594678.21; Agricultura; 16.19%; 946305.19; 497688.10; 448617.09; Assistência Social; 05.19%; 671725.71; 528047.57; 143678.14; Legislativa; 04.03%; 347003.63; 458602.34; -111598.71;  1.06
Prefeitura Municipal de Presidente Castello Branco - SC;  4213906;  SC;  1670; Agricultura; 34.81%; 1793549.67; 497688.10; 1295861.57; Transporte; 23.36%; 1796107.10; 926666.00; 869441.10; Comércio e Serviços; 06.79%; 256056.17; 3165.29; 252890.88; Encargos Especiais; 06.17%; 0; 229774.28; -229774.28; Saúde; 04.00%; 2104098.53; 2253169.29; -149070.76;  1.25
Prefeitura Municipal de Antônio Prado de Minas - MG;  3103108;  MG;  1685; Transporte; 22.88%; 214292.22; 926666.00; -712373.78; Educação; 17.91%; 1364532.71; 1922220.42; -557687.71; Administração; 17.48%; 2320845.23; 1776576.47; 544268.76; Agricultura; 04.95%; 343543.67; 497688.10; -154144.43; Encargos Especiais; 04.46%; 90919.98; 229774.28; -138854.30;  1.06
Prefeitura Municipal de Jardinópolis - SC;  4208955;  SC;  1697; Agricultura; 27.49%; 1193749.77; 499572.50; 694177.27; Administração; 13.29%; 1454747.43; 1790355.48; -335608.05; Urbanismo; 09.72%; 878248.81; 632940.63; 245308.18; Indústria; 08.37%; 269827.83; 58463.78; 211364.05; Legislativa; 08.21%; 267348.84; 474653.10; -207304.26;  1.04
Prefeitura Municipal de Linha Nova - RS;  4311643;  RS;  1697; Administração; 25.46%; 3394505.47; 1772691.90; 1621813.57; Transporte; 12.05%; 152264.61; 919990.67; -767726.06; Saúde; 11.17%; 1534098.88; 2245870.29; -711771.41; Educação; 10.45%; 1277073.54; 1942625.21; -665551.67; Urbanismo; 10.14%; 0; 645851.58; -645851.58;  1.24
Prefeitura Municipal de Santa Cecília do Sul - RS;  4316733;  RS;  1699; Agricultura; 24.04%; 1358975.17; 536108.15; 822867.02; Transporte; 19.20%; 1577257.02; 919990.67; 657266.35; Urbanismo; 16.23%; 90400.78; 645851.58; -555450.80; Encargos Especiais; 06.56%; 0; 224506.29; -224506.29; Saúde; 05.99%; 2040780.67; 2245870.29; -205089.62;  1.16
Prefeitura Municipal de Gentil - RS;  4308854;  RS;  1714; Agricultura; 23.63%; 1318166.64; 493619.31; 824547.33; Educação; 17.96%; 2552705.29; 1926087.49; 626617.80; Urbanismo; 16.58%; 86920.44; 665556.68; -578636.24; Saneamento; 08.26%; 354005.69; 65769.25; 288236.44; Desporto e Lazer; 06.84%; 383270.81; 144529.66; 238741.15;  1.04
Prefeitura Municipal de Moiporá - GO;  5213400;  GO;  1724; Educação; 21.44%; 1104810.90; 1957418.38; -852607.48; Administração; 13.78%; 2346703.25; 1798526.89; 548176.36; Previdência Social; 12.86%; 600276.56; 88597.99; 511678.57; Assistência Social; 10.50%; 128819.11; 546586.29; -417767.18; Agricultura; 10.19%; 129732.33; 534846.67; -405114.34;  1.36
Prefeitura Municipal de União Paulista - SP;  3555703;  SP;  1733; Despesas (Intraorçamentárias); 16.22%; 558612.00; 49323.92; 509288.08; Transporte; 13.11%; 524677.83; 936450.10; -411772.27; Previdência Social; 12.92%; 494203.97; 88597.99; 405605.98; Saúde; 11.30%; 2636401.49; 2281561.77; 354839.72; Encargos Especiais; 06.79%; 10.00; 213280.97; -213270.97;  1.13
Prefeitura Municipal de Tigrinhos - SC;  4217956;  SC;  1733; Transporte; 31.12%; 1966196.19; 887335.67; 1078860.52; Agricultura; 15.01%; 1017695.71; 497241.18; 520454.53; Urbanismo; 10.75%; 295630.00; 668450.27; -372820.27; Educação; 09.03%; 1663153.47; 1976039.78; -312886.31; Saúde; 06.67%; 2500899.77; 2269759.26; 231140.51;  1.04
Prefeitura Municipal de Ponte Preta - RS;  4314787;  RS;  1743; Saúde; 16.06%; 1663855.63; 2310706.21; -646850.58; Indústria; 14.46%; 617620.05; 35227.79; 582392.26; Agricultura; 12.30%; 995749.02; 500605.30; 495143.72; Urbanismo; 09.52%; 300030.13; 683243.34; -383213.21; Transporte; 09.17%; 1276235.11; 906795.94; 369439.17;  1.05
Prefeitura Municipal de Coronel Pilar - RS;  4305934;  RS;  1747; Transporte; 20.88%; 0; 944674.05; -944674.05; Administração; 18.63%; 2651653.57; 1808387.85; 843265.72; Educação; 15.50%; 1228963.44; 1930432.77; -701469.33; Despesas (Intraorçamentárias); 07.62%; 407070.43; 62156.32; 344914.11; Assistência Social; 07.54%; 181473.97; 522662.07; -341188.10;  1.21
Prefeitura Municipal de Tupirama - TO;  1721257;  TO;  1751; Transporte; 21.52%; 0; 944674.05; -944674.05; Administração; 21.15%; 2736919.18; 1808387.85; 928531.33; Urbanismo; 14.78%; 0; 648863.08; -648863.08; Agricultura; 12.20%; 281.70; 535713.59; -535431.89; Encargos Especiais; 05.43%; 0; 238306.01; -238306.01;  1.20
Prefeitura Municipal de Nicolau Vergueiro - RS;  4312674;  RS;  1760; Transporte; 30.44%; 2059351.18; 944674.05; 1114677.13; Urbanismo; 15.19%; 92738.88; 648863.08; -556124.20; Saneamento; 12.05%; 518066.41; 76920.66; 441145.75; Encargos Especiais; 08.58%; 552624.66; 238306.01; 314318.65; Administração; 06.51%; 2046856.41; 1808387.85; 238468.56;  1.28
Prefeitura Municipal de Passabém - MG;  3147501;  MG;  1764; Administração; 18.00%; 1021074.35; 1808387.85; -787313.50; Educação; 13.43%; 1343134.58; 1930432.77; -587298.19; Agricultura; 11.26%; 43132.98; 535713.59; -492580.61; Urbanismo; 10.06%; 1088965.23; 648863.08; 440102.15; Cultura; 09.80%; 550735.50; 122235.37; 428500.13;  1.28
Prefeitura Municipal de Porto Vera Cruz - RS;  4315073;  RS;  1764; Previdência Social; 18.61%; 886822.41; 142363.67; 744458.74; Administração; 16.76%; 2478751.87; 1808387.85; 670364.02; Saúde; 13.22%; 1765750.98; 2294739.50; -528988.52; Urbanismo; 13.12%; 124054.06; 648863.08; -524809.02; Educação; 08.14%; 1604948.25; 1930432.77; -325484.52;  1.06
Prefeitura Municipal de Dirce Reis - SP;  3513850;  SP;  1766; Despesas (Intraorçamentárias); 15.35%; 518115.09; 36250.56; 481864.53; Transporte; 11.83%; 575497.88; 947094.78; -371596.90; Previdência Social; 11.73%; 527083.85; 158729.68; 368354.17; Educação; 11.10%; 1610654.96; 1959169.35; -348514.39; Agricultura; 10.68%; 200193.85; 535584.58; -335390.73;  0.99
Prefeitura Municipal de São José do Brejo do Cruz - PB;  2514651;  PB;  1767; Educação; 20.38%; 2854868.77; 1961562.09; 893306.68; Transporte; 19.80%; 0; 867690.70; -867690.70; Urbanismo; 18.23%; 1465697.11; 666946.15; 798750.96; Administração; 13.36%; 1215131.71; 1800648.68; -585516.97; Agricultura; 06.33%; 772302.19; 495043.45; 277258.74;  1.08
Prefeitura Municipal de Senador José Bento - MG;  3165800;  MG;  1769; Agricultura; 17.54%; 43823.64; 559800.69; -515977.05; Saúde; 14.34%; 1892832.26; 2314757.19; -421924.93; Educação; 13.28%; 1593076.78; 1983922.65; -390845.87; Administração; 09.08%; 1524194.73; 1791320.16; -267125.43; Cultura; 08.02%; 358187.06; 122191.90; 235995.16;  1.04
Prefeitura Municipal de Capão Bonito do Sul - RS;  4304622;  RS;  1776; Educação; 19.46%; 3071459.44; 1944033.94; 1127425.50; Administração; 12.71%; 2534966.57; 1798808.91; 736157.66; Transporte; 11.21%; 1579823.74; 930082.05; 649741.69; Urbanismo; 10.42%; 91525.50; 695070.56; -603545.06; Saúde; 08.41%; 2787347.35; 2299943.03; 487404.32;  1.22
Prefeitura Municipal de Lavandeira - TO;  1712157;  TO;  1782; Saúde; 20.83%; 395974.88; 2299943.03; -1903968.15; Educação; 19.08%; 199717.44; 1944033.94; -1744316.50; Administração; 16.41%; 298312.57; 1798808.91; -1500496.34; Transporte; 10.17%; 0; 930082.05; -930082.05; Urbanismo; 07.07%; 48700.25; 695070.56; -646370.31;  1.51
Prefeitura Municipal de Santa Inês - PR;  4123600;  PR;  1784; Educação; 16.23%; 2536765.03; 1944033.94; 592731.09; Transporte; 15.87%; 350379.47; 930082.05; -579702.58; Agricultura; 14.14%; 43043.26; 559556.60; -516513.34; Legislativa; 12.63%; 0; 461371.71; -461371.71; Saúde; 07.14%; 2038959.36; 2299943.03; -260983.67;  1.15
Prefeitura Municipal de Novo Xingu - RS;  4313466;  RS;  1798; Urbanismo; 17.98%; 207524.85; 695070.56; -487545.71; Agricultura; 12.41%; 896186.40; 559556.60; 336629.80; Saúde; 10.65%; 2588819.88; 2299943.03; 288876.85; Administração; 08.84%; 1559051.74; 1798808.91; -239757.17; Encargos Especiais; 06.75%; 421966.76; 238989.83; 182976.93;  1.07
Prefeitura Municipal de Consolação - MG;  3118502;  MG;  1801; Administração; 16.31%; 1229495.62; 1798808.91; -569313.29; Agricultura; 13.59%; 85146.14; 559556.60; -474410.46; Previdência Social; 10.38%; 543108.37; 181031.87; 362076.50; Educação; 08.46%; 1648633.74; 1944033.94; -295400.20; Saneamento; 06.17%; 306182.94; 90742.74; 215440.20;  1.07
Prefeitura Municipal de Mato Queimado - RS;  4312179;  RS;  1808; Transporte; 20.53%; 30428.50; 930082.05; -899653.55; Educação; 14.21%; 2566508.25; 1944033.94; 622474.31; Habitação; 11.36%; 508989.11; 11074.38; 497914.73; Agricultura; 10.57%; 1022518.13; 559556.60; 462961.53; Urbanismo; 09.82%; 1125247.59; 695070.56; 430177.03;  1.30
Prefeitura Municipal de Parari - PB;  2510659;  PB;  1809; Administração; 22.54%; 2766260.66; 1778326.04; 987934.62; Saúde; 15.31%; 1649938.43; 2321219.03; -671280.60; Transporte; 14.85%; 296416.87; 947158.52; -650741.65; Urbanismo; 12.38%; 155420.84; 697920.15; -542499.31; Agricultura; 08.97%; 203729.38; 596973.47; -393244.09;  1.00
Prefeitura Municipal de Vitória Brasil - SP;  3556958;  SP;  1815; Transporte; 23.67%; 202652.28; 985221.02; -782568.74; Assistência Social; 13.61%; 893263.75; 443382.98; 449880.77; Urbanismo; 12.68%; 1053229.27; 633866.33; 419362.94; Saúde; 09.90%; 2605258.12; 2277958.49; 327299.63; Encargos Especiais; 07.90%; 0; 261193.51; -261193.51;  1.02
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG;  3160504;  MG;  1818; Agricultura; 21.49%; 190814.41; 634332.98; -443518.57; Educação; 12.12%; 1717048.76; 1967144.82; -250096.06; Saúde; 10.37%; 2492456.49; 2278491.68; 213964.81; Previdência Social; 06.61%; 322062.88; 185648.31; 136414.57; Administração; 05.79%; 1762866.46; 1882331.48; -119465.02;  1.04
Prefeitura Municipal de Macieira - SC;  4210050;  SC;  1823; Transporte; 20.57%; 1899230.13; 946932.61; 952297.52; Educação; 12.92%; 2583862.83; 1985899.49; 597963.34; Agricultura; 12.37%; 1173443.86; 600662.48; 572781.38; Administração; 10.25%; 1378327.58; 1852803.66; -474476.08; Urbanismo; 09.37%; 193799.23; 627303.31; -433504.08;  1.06
Prefeitura Municipal de Canudos do Vale - RS;  4304614;  RS;  1834; Administração; 31.00%; 2920640.70; 1852803.66; 1067837.04; Urbanismo; 18.21%; 0; 627303.31; -627303.31; Assistência Social; 10.38%; 128785.60; 486398.72; -357613.12; Encargos Especiais; 07.00%; 0; 241197.67; -241197.67; Transporte; 06.46%; 724423.77; 946932.61; -222508.84;  1.19
Prefeitura Municipal de Paulistânia - SP;  3536570;  SP;  1837; Urbanismo; 23.11%; 1491904.56; 564037.80; 927866.76; Saúde; 13.22%; 2811322.46; 2280496.99; 530825.47; Educação; 12.08%; 2429170.36; 1944337.15; 484833.21; Agricultura; 09.56%; 272444.12; 656416.69; -383972.57; Administração; 08.40%; 1503679.98; 1841094.17; -337414.19;  0.98
Prefeitura Municipal de Pedro Teixeira - MG;  3149408;  MG;  1840; Administração; 20.54%; 1028682.06; 1832535.51; -803853.45; Transporte; 11.83%; 581334.39; 1044433.24; -463098.85; Saúde; 10.90%; 2741341.13; 2314762.49; 426578.64; Previdência Social; 08.53%; 528340.70; 194533.09; 333807.61; Educação; 07.99%; 1620601.55; 1933363.94; -312762.39;  1.06
Prefeitura Municipal de Alto Alegre - RS;  4300554;  RS;  1841; Educação; 18.11%; 1371509.28; 1933363.94; -561854.66; Administração; 11.17%; 1486095.99; 1832535.51; -346439.52; Despesas (Intraorçamentárias); 09.45%; 377293.74; 84245.88; 293047.86; Saúde; 09.03%; 2034823.39; 2314762.49; -279939.10; Transporte; 08.00%; 1292475.48; 1044433.24; 248042.24;  1.06
