###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Grupiara - MG;  3127909;  MG;  1415; Transporte; 22.70%; 54490.67; 938002.83; -883512.16; Urbanismo; 11.66%; 1112198.92; 658387.67; 453811.25; Essencial à Justiça; 09.11%; 354775.32; 0.00; 354775.32; Administração; 09.04%; 2137297.32; 1785340.18; 351957.14; Educação; 06.41%; 1624117.19; 1873739.35; -249622.16;  1.18
Prefeitura Municipal de Jardim Olinda - PR;  4112603;  PR;  1416; Urbanismo; 21.29%; 1590394.34; 658387.67; 932006.67; Previdência Social; 14.77%; 812928.08; 166054.51; 646873.57; Transporte; 12.38%; 395974.15; 938002.83; -542028.68; Agricultura; 11.66%; 61890.42; 572246.86; -510356.44; Legislativa; 10.19%; 0; 446142.72; -446142.72;  1.14
Prefeitura Municipal de Engenho Velho - RS;  4306924;  RS;  1428; Previdência Social; 35.34%; 1227701.16; 166054.51; 1061646.65; Educação; 13.60%; 1465052.71; 1873739.35; -408686.64; Administração; 08.21%; 1538781.05; 1785340.18; -246559.13; Saneamento; 07.51%; 290711.23; 64983.62; 225727.61; Transporte; 06.45%; 744103.47; 938002.83; -193899.36;  2.12
Prefeitura Municipal de Cachoeira de Goiás - GO;  5204201;  GO;  1430; Educação; 22.91%; 1042528.37; 1889362.95; -846834.58; Administração; 13.89%; 2265292.52; 1751918.28; 513374.24; Urbanismo; 13.01%; 1116784.72; 635963.13; 480821.59; Agricultura; 12.17%; 135083.27; 584745.33; -449662.06; Previdência Social; 07.03%; 428661.70; 168748.53; 259913.17;  1.09
Prefeitura Municipal de União da Serra - RS;  4322350;  RS;  1434; Agricultura; 30.36%; 1683050.24; 542773.82; 1140276.42; Educação; 13.99%; 1342261.03; 1867847.52; -525586.49; Previdência Social; 10.83%; 578176.29; 171292.12; 406884.17; Urbanismo; 09.23%; 304508.71; 651022.12; -346513.41; Administração; 06.82%; 1508761.07; 1764831.68; -256070.61;  1.07
Prefeitura Municipal de Lajeado Grande - SC;  4209458;  SC;  1479; Transporte; 33.61%; 2163579.42; 883575.26; 1280004.16; Urbanismo; 13.06%; 170437.47; 667924.15; -497486.68; Agricultura; 12.00%; 1011016.55; 554009.18; 457007.37; Educação; 07.77%; 1562800.02; 1858634.98; -295834.96; Administração; 05.78%; 1530337.61; 1750509.42; -220171.81;  1.05
Prefeitura Municipal de Serra Nova Dourada - MT;  5107883;  MT;  1492; Administração; 28.72%; 3037858.22; 1745005.12; 1292853.10; Educação; 16.88%; 2611426.13; 1851239.11; 760187.02; Transporte; 11.36%; 1427158.60; 915575.36; 511583.24; Urbanismo; 09.21%; 240989.37; 655486.99; -414497.62; Saúde; 05.88%; 2037006.38; 2301887.62; -264881.24;  1.14
Prefeitura Municipal de Nova Aliança do Ivaí - PR;  4116505;  PR;  1509; Transporte; 21.16%; 64948.46; 933947.52; -868999.06; Agricultura; 13.30%; 48705.48; 594908.45; -546202.97; Educação; 13.19%; 2390850.81; 1849215.62; 541635.19; Administração; 09.22%; 1374419.65; 1753213.87; -378794.22; Habitação; 07.62%; 330000.00; 16974.16; 313025.84;  1.05
Prefeitura Municipal de Doresópolis - MG;  3123403;  MG;  1512; Transporte; 26.62%; 1568073.74; 904974.51; 663099.23; Agricultura; 14.53%; 226576.01; 588520.64; -361944.63; Educação; 08.51%; 2078269.67; 1866334.02; 211935.65; Encargos Especiais; 08.21%; 381051.64; 176544.52; 204507.12; Saúde; 06.44%; 2156529.22; 2316906.44; -160377.22;  1.02
Prefeitura Municipal de Santa Salete - SP;  3547650;  SP;  1517; Transporte; 21.80%; 340290.19; 936086.81; -595796.62; Saúde; 16.54%; 2753587.65; 2301451.31; 452136.34; Assistência Social; 11.10%; 823069.73; 519643.84; 303425.89; Agricultura; 10.41%; 294556.51; 579213.13; -284656.62; Urbanismo; 09.47%; 899572.75; 640833.05; 258739.70;  1.06
Prefeitura Municipal de São Félix do Tocantins - TO;  1720150;  TO;  1532; Transporte; 18.62%; 0; 922231.07; -922231.07; Educação; 11.96%; 1282570.94; 1875198.74; -592627.80; Saúde; 11.86%; 1724449.78; 2311966.11; -587516.33; Urbanismo; 11.09%; 97245.57; 646850.25; -549604.68; Gestão Ambiental; 09.42%; 495604.39; 28888.79; 466715.60;  1.33
Prefeitura Municipal de Montauri - RS;  4312351;  RS;  1562; Transporte; 21.57%; 1832005.93; 922231.07; 909774.86; Saneamento; 14.16%; 661013.06; 63521.94; 597491.12; Agricultura; 12.99%; 1120644.01; 572593.21; 548050.80; Assistência Social; 08.54%; 166424.91; 526700.25; -360275.34; Administração; 07.56%; 1440429.80; 1759279.15; -318849.35;  1.18
Prefeitura Municipal de Coqueiro Baixo - RS;  4305835;  RS;  1564; Transporte; 23.87%; 1720700.24; 893862.38; 826837.86; Agricultura; 19.30%; 1216735.62; 548195.58; 668540.04; Administração; 16.35%; 1235194.30; 1801481.18; -566286.88; Urbanismo; 09.18%; 341752.08; 659815.83; -318063.75; Previdência Social; 05.57%; 0; 192958.19; -192958.19;  1.07
Prefeitura Municipal de Carlos Gomes - RS;  4304853;  RS;  1588; Urbanismo; 21.99%; 91417.84; 652587.11; -561169.27; Agricultura; 17.67%; 1014349.93; 563389.68; 450960.25; Administração; 15.69%; 1388350.71; 1788611.02; -400260.31; Saúde; 07.79%; 2116543.28; 2315241.49; -198698.21; Previdência Social; 07.05%; 8688.00; 188572.78; -179884.78;  1.27
Prefeitura Municipal de Tupanci do Sul - RS;  4322186;  RS;  1591; Urbanismo; 18.36%; 83389.88; 670568.00; -587178.12; Administração; 12.53%; 1382049.11; 1782709.46; -400660.35; Transporte; 11.35%; 1268360.66; 905544.43; 362816.23; Agricultura; 11.11%; 899847.55; 544745.66; 355101.89; Saúde; 09.97%; 2003421.58; 2322317.67; -318896.09;  1.07
Prefeitura Municipal de Flor do Sertão - SC;  4205357;  SC;  1603; Transporte; 27.26%; 1912336.40; 884975.37; 1027361.03; Saúde; 10.65%; 2711302.33; 2309920.06; 401382.27; Educação; 10.29%; 2258751.82; 1870789.62; 387962.20; Urbanismo; 09.30%; 312081.14; 662408.88; -350327.74; Indústria; 07.13%; 299963.37; 31112.75; 268850.62;  1.07
Prefeitura Municipal de Santana da Ponte Pensa - SP;  3547205;  SP;  1610; Urbanismo; 25.42%; 1658499.43; 649604.19; 1008895.24; Transporte; 12.80%; 418529.22; 926749.44; -508220.22; Administração; 11.63%; 1304171.99; 1765875.48; -461703.49; Saúde; 11.45%; 2758668.80; 2304107.26; 454561.54; Previdência Social; 09.90%; 591853.04; 198878.40; 392974.64;  1.08
Prefeitura Municipal de São Sebastião do Rio Preto - MG;  3164803;  MG;  1611; Administração; 22.83%; 876665.65; 1787540.03; -910874.38; Transporte; 12.48%; 422732.13; 920515.27; -497783.14; Agricultura; 11.92%; 104468.12; 579847.61; -475379.49; Educação; 11.73%; 1427855.94; 1895740.61; -467884.67; Urbanismo; 09.89%; 1047949.21; 653292.67; 394656.54;  1.02
Prefeitura Municipal de Vista Alegre do Prata - RS;  4323606;  RS;  1613; Transporte; 19.95%; 1818747.44; 918828.36; 899919.08; Administração; 13.34%; 2353422.75; 1751449.65; 601973.10; Educação; 12.41%; 1341955.42; 1901893.41; -559937.99; Urbanismo; 11.48%; 143929.26; 661926.90; -517997.64; Agricultura; 06.66%; 864224.48; 563674.66; 300549.82;  1.01
Prefeitura Municipal de Guabiju - RS;  4309258;  RS;  1618; Administração; 20.96%; 2605333.45; 1756752.53; 848580.92; Educação; 19.96%; 1091242.07; 1899565.76; -808323.69; Urbanismo; 14.21%; 74685.70; 649982.12; -575296.42; Saúde; 08.32%; 2635119.81; 2298178.25; 336941.56; Agricultura; 06.17%; 323590.45; 573449.69; -249859.24;  1.08
Prefeitura Municipal de São João da Paraúna - GO;  5220058;  GO;  1623; Administração; 18.37%; 2664090.31; 1773724.15; 890366.16; Saúde; 13.23%; 2946139.07; 2304917.08; 641221.99; Educação; 09.31%; 2334743.79; 1883399.29; 451344.50; Habitação; 09.27%; 470148.17; 20877.36; 449270.81; Urbanismo; 06.84%; 970093.40; 638476.19; 331617.21;  1.35
Prefeitura Municipal de Lagoa dos Três Cantos - RS;  4311270;  RS;  1649; Transporte; 21.75%; 1701846.10; 939705.73; 762140.37; Agricultura; 17.10%; 1151323.22; 551979.20; 599344.02; Despesas (Intraorçamentárias); 15.27%; 606470.60; 71311.97; 535158.63; Educação; 08.79%; 1594007.11; 1902077.51; -308070.40; Previdência Social; 06.95%; 449116.20; 205366.58; 243749.62;  1.10
Prefeitura Municipal de Trabiju - SP;  3554755;  SP;  1650; Transporte; 20.87%; 0; 992885.19; -992885.19; Urbanismo; 18.99%; 1507975.91; 604796.35; 903179.56; Educação; 16.25%; 2648634.58; 1875434.74; 773199.84; Legislativa; 09.50%; 6020.69; 457813.43; -451792.74; Cultura; 07.84%; 474937.99; 102243.20; 372694.79;  1.04
Prefeitura Municipal de Fernão - SP;  3515657;  SP;  1658; Urbanismo; 19.67%; 1304733.79; 604531.48; 700202.31; Despesas (Intraorçamentárias); 14.44%; 583053.13; 69019.54; 514033.59; Transporte; 12.25%; 567400.44; 1003258.57; -435858.13; Administração; 07.47%; 1511002.01; 1776877.19; -265875.18; Assistência Social; 07.09%; 741187.30; 488731.90; 252455.40;  1.07
Prefeitura Municipal de Crixás do Tocantins - TO;  1706258;  TO;  1666; Educação; 19.01%; 2583945.71; 1906755.88; 677189.83; Urbanismo; 16.36%; 44924.79; 627576.79; -582652.00; Agricultura; 14.63%; 80135.02; 601242.79; -521107.77; Saúde; 11.39%; 1935596.30; 2341462.42; -405866.12; Previdência Social; 06.24%; 0; 222122.19; -222122.19;  1.07
Prefeitura Municipal de Flora Rica - SP;  3515806;  SP;  1666; Administração; 35.46%; 3806212.76; 1763488.20; 2042724.56; Transporte; 17.26%; 0; 994093.85; -994093.85; Urbanismo; 12.95%; 1356190.67; 610395.37; 745795.30; Agricultura; 07.80%; 142383.72; 591446.08; -449062.36; Saúde; 05.55%; 2015588.53; 2335347.04; -319758.51;  1.09
Prefeitura Municipal de Paial - SC;  4211876;  SC;  1668; Transporte; 23.16%; 1597808.03; 956699.20; 641108.83; Saúde; 18.89%; 2847847.50; 2324767.27; 523080.23; Agricultura; 13.50%; 946305.19; 572659.30; 373645.89; Previdência Social; 08.77%; 0; 242873.74; -242873.74; Assistência Social; 06.39%; 671725.71; 494912.13; 176813.58;  1.06
Prefeitura Municipal de Presidente Castello Branco - SC;  4213906;  SC;  1670; Agricultura; 32.92%; 1793549.67; 579331.55; 1214218.12; Transporte; 22.45%; 1796107.10; 968147.58; 827959.52; Previdência Social; 06.47%; 0; 238536.71; -238536.71; Comércio e Serviços; 06.43%; 256056.17; 18770.09; 237286.08; Saúde; 06.24%; 2104098.53; 2334107.99; -230009.46;  1.25
Prefeitura Municipal de Antônio Prado de Minas - MG;  3103108;  MG;  1685; Transporte; 23.33%; 214292.22; 996926.60; -782634.38; Educação; 16.62%; 1364532.71; 1922073.23; -557540.52; Administração; 16.24%; 2320845.23; 1776046.57; 544798.66; Agricultura; 07.26%; 343543.67; 587092.82; -243549.15; Previdência Social; 07.11%; 0; 238536.71; -238536.71;  1.06
Prefeitura Municipal de Jardinópolis - SC;  4208955;  SC;  1697; Agricultura; 22.12%; 1193749.77; 583543.63; 610206.14; Administração; 12.27%; 1454747.43; 1793168.46; -338421.03; Urbanismo; 09.34%; 878248.81; 620660.51; 257588.30; Indústria; 08.83%; 269827.83; 26319.46; 243508.37; Previdência Social; 08.50%; 0; 234351.86; -234351.86;  1.04
Prefeitura Municipal de Linha Nova - RS;  4311643;  RS;  1697; Administração; 24.28%; 3394505.47; 1787333.62; 1607171.85; Transporte; 13.02%; 152264.61; 1014072.79; -861808.18; Saúde; 12.02%; 1534098.88; 2329908.21; -795809.33; Educação; 09.52%; 1277073.54; 1907503.97; -630430.43; Urbanismo; 09.44%; 0; 625101.69; -625101.69;  1.24
Prefeitura Municipal de Santa Cecília do Sul - RS;  4316733;  RS;  1699; Agricultura; 22.00%; 1358975.17; 594064.42; 764910.75; Transporte; 16.20%; 1577257.02; 1014072.79; 563184.23; Urbanismo; 15.38%; 90400.78; 625101.69; -534700.91; Saúde; 08.32%; 2040780.67; 2329908.21; -289127.54; Previdência Social; 06.62%; 0; 230311.31; -230311.31;  1.16
Prefeitura Municipal de Gentil - RS;  4308854;  RS;  1714; Agricultura; 20.21%; 1318166.64; 576593.93; 741572.71; Educação; 17.68%; 2552705.29; 1904034.04; 648671.25; Urbanismo; 15.24%; 86920.44; 646270.65; -559350.21; Saneamento; 07.75%; 354005.69; 69797.42; 284208.27; Previdência Social; 06.68%; 0; 245298.54; -245298.54;  1.04
Prefeitura Municipal de Moiporá - GO;  5213400;  GO;  1724; Educação; 20.40%; 1104810.90; 1915028.47; -810217.57; Administração; 14.21%; 2346703.25; 1782443.26; 564259.99; Agricultura; 11.57%; 129732.33; 589162.95; -459430.62; Assistência Social; 09.52%; 128819.11; 506978.73; -378159.62; Previdência Social; 09.04%; 600276.56; 241140.94; 359135.62;  1.36
Prefeitura Municipal de União Paulista - SP;  3555703;  SP;  1733; Transporte; 15.70%; 524677.83; 1003813.21; -479135.38; Despesas (Intraorçamentárias); 15.20%; 558612.00; 94839.72; 463772.28; Saúde; 09.65%; 2636401.49; 2341884.87; 294516.62; Previdência Social; 08.29%; 494203.97; 241140.94; 253063.03; Agricultura; 08.18%; 339380.49; 589162.95; -249782.46;  1.13
Prefeitura Municipal de Tigrinhos - SC;  4217956;  SC;  1733; Transporte; 30.60%; 1966196.19; 987623.59; 978572.60; Agricultura; 13.51%; 1017695.71; 585741.35; 431954.36; Urbanismo; 10.62%; 295630.00; 635281.70; -339651.70; Educação; 07.94%; 1663153.47; 1916980.75; -253827.28; Previdência Social; 07.54%; 0; 241140.94; -241140.94;  1.04
Prefeitura Municipal de Ponte Preta - RS;  4314787;  RS;  1743; Saúde; 18.62%; 1663855.63; 2354363.93; -690508.30; Indústria; 16.12%; 617620.05; 19864.14; 597755.91; Agricultura; 10.88%; 995749.02; 592237.18; 403511.84; Urbanismo; 09.03%; 300030.13; 635005.87; -334975.74; Transporte; 07.40%; 1276235.11; 1001783.11; 274452.00;  1.05
Prefeitura Municipal de Coronel Pilar - RS;  4305934;  RS;  1747; Transporte; 21.93%; 0; 1006282.33; -1006282.33; Administração; 19.16%; 2651653.57; 1772295.33; 879358.24; Educação; 14.91%; 1228963.44; 1913394.74; -684431.30; Assistência Social; 07.25%; 181473.97; 514225.83; -332751.86; Despesas (Intraorçamentárias); 06.87%; 407070.43; 91730.22; 315340.21;  1.21
Prefeitura Municipal de Tupirama - TO;  1721257;  TO;  1751; Transporte; 21.83%; 0; 1006282.33; -1006282.33; Administração; 20.93%; 2736919.18; 1772295.33; 964623.85; Urbanismo; 13.66%; 0; 629514.47; -629514.47; Agricultura; 12.99%; 281.70; 598852.13; -598570.43; Previdência Social; 05.08%; 0; 234091.49; -234091.49;  1.20
Prefeitura Municipal de Nicolau Vergueiro - RS;  4312674;  RS;  1760; Transporte; 29.21%; 2059351.18; 1006282.33; 1053068.85; Urbanismo; 14.89%; 92738.88; 629514.47; -536775.59; Saneamento; 12.13%; 518066.41; 80822.26; 437244.15; Encargos Especiais; 09.62%; 552624.66; 205741.06; 346883.60; Administração; 07.62%; 2046856.41; 1772295.33; 274561.08;  1.28
Prefeitura Municipal de Passabém - MG;  3147501;  MG;  1764; Administração; 17.46%; 1021074.35; 1772295.33; -751220.98; Educação; 13.25%; 1343134.58; 1913394.74; -570260.16; Agricultura; 12.92%; 43132.98; 598852.13; -555719.15; Urbanismo; 10.68%; 1088965.23; 629514.47; 459450.76; Cultura; 10.30%; 550735.50; 107576.75; 443158.75;  1.28
Prefeitura Municipal de Porto Vera Cruz - RS;  4315073;  RS;  1764; Administração; 17.60%; 2478751.87; 1766274.40; 712477.47; Previdência Social; 16.49%; 886822.41; 219553.41; 667269.00; Saúde; 14.65%; 1765750.98; 2358571.60; -592820.62; Urbanismo; 12.59%; 124054.06; 633819.83; -509765.77; Educação; 07.86%; 1604948.25; 1923263.94; -318315.69;  1.06
Prefeitura Municipal de Dirce Reis - SP;  3513850;  SP;  1766; Despesas (Intraorçamentárias); 14.28%; 518115.09; 81894.00; 436221.09; Transporte; 13.85%; 575497.88; 998329.39; -422831.51; Agricultura; 13.06%; 200193.85; 599063.58; -398869.73; Educação; 10.29%; 1610654.96; 1924908.15; -314253.19; Previdência Social; 09.98%; 527083.85; 222256.71; 304827.14;  0.99
Prefeitura Municipal de São José do Brejo do Cruz - PB;  2514651;  PB;  1767; Transporte; 21.85%; 0; 997210.37; -997210.37; Educação; 21.03%; 2854868.77; 1894872.51; 959996.26; Urbanismo; 18.79%; 1465697.11; 607821.01; 857876.10; Administração; 12.41%; 1215131.71; 1781468.21; -566336.50; Saúde; 04.63%; 2122751.38; 2333899.64; -211148.26;  1.08
Prefeitura Municipal de Senador José Bento - MG;  3165800;  MG;  1769; Agricultura; 19.51%; 43823.64; 591069.12; -547245.48; Saúde; 15.90%; 1892832.26; 2338970.21; -446137.95; Educação; 11.64%; 1593076.78; 1919678.96; -326602.18; Cultura; 08.67%; 358187.06; 115009.41; 243177.65; Previdência Social; 08.59%; 0; 240946.18; -240946.18;  1.04
Prefeitura Municipal de Capão Bonito do Sul - RS;  4304622;  RS;  1776; Educação; 20.35%; 3071459.44; 1914654.31; 1156805.13; Administração; 13.62%; 2534966.57; 1760815.86; 774150.71; Transporte; 10.38%; 1579823.74; 989679.54; 590144.20; Urbanismo; 09.27%; 91525.50; 618352.15; -526826.65; Saúde; 08.01%; 2787347.35; 2332106.55; 455240.80;  1.22
Prefeitura Municipal de Lavandeira - TO;  1712157;  TO;  1782; Saúde; 21.30%; 395974.88; 2332106.55; -1936131.67; Educação; 18.87%; 199717.44; 1914654.31; -1714936.87; Administração; 16.09%; 298312.57; 1760815.86; -1462503.29; Transporte; 10.89%; 0; 989679.54; -989679.54; Urbanismo; 06.27%; 48700.25; 618352.15; -569651.90;  1.51
Prefeitura Municipal de Santa Inês - PR;  4123600;  PR;  1784; Transporte; 16.65%; 350379.47; 989679.54; -639300.07; Educação; 16.20%; 2536765.03; 1914654.31; 622110.72; Agricultura; 14.05%; 43043.26; 582649.96; -539606.70; Legislativa; 11.75%; 0; 451292.98; -451292.98; Saúde; 07.63%; 2038959.36; 2332106.55; -293147.19;  1.15
Prefeitura Municipal de Novo Xingu - RS;  4313466;  RS;  1798; Urbanismo; 16.88%; 207524.85; 639297.67; -431772.82; Agricultura; 12.29%; 896186.40; 581740.72; 314445.68; Previdência Social; 10.03%; 0; 256436.55; -256436.55; Saúde; 09.88%; 2588819.88; 2336021.81; 252798.07; Encargos Especiais; 08.67%; 421966.76; 200217.76; 221749.00;  1.07
Prefeitura Municipal de Consolação - MG;  3118502;  MG;  1801; Administração; 15.40%; 1229495.62; 1775889.61; -546393.99; Agricultura; 14.27%; 85146.14; 591485.63; -506339.49; Previdência Social; 08.18%; 543108.37; 252956.03; 290152.34; Educação; 07.91%; 1648633.74; 1929327.60; -280693.86; Saúde; 07.39%; 2091174.95; 2353519.66; -262344.71;  1.07
Prefeitura Municipal de Mato Queimado - RS;  4312179;  RS;  1808; Transporte; 20.69%; 30428.50; 974587.76; -944159.26; Educação; 14.06%; 2566508.25; 1925138.14; 641370.11; Habitação; 10.68%; 508989.11; 21629.42; 487359.69; Urbanismo; 10.66%; 1125247.59; 638830.62; 486416.97; Agricultura; 09.61%; 1022518.13; 583928.33; 438589.80;  1.30
Prefeitura Municipal de Parari - PB;  2510659;  PB;  1809; Administração; 22.28%; 2766260.66; 1770792.23; 995468.43; Saúde; 16.13%; 1649938.43; 2370721.87; -720783.44; Transporte; 15.23%; 296416.87; 976723.38; -680306.51; Urbanismo; 11.19%; 155420.84; 655341.64; -499920.80; Agricultura; 08.57%; 203729.38; 586487.00; -382757.62;  1.00
Prefeitura Municipal de Vitória Brasil - SP;  3556958;  SP;  1815; Transporte; 24.60%; 202652.28; 969344.27; -766691.99; Urbanismo; 12.75%; 1053229.27; 655833.70; 397395.57; Assistência Social; 12.42%; 893263.75; 506120.96; 387142.79; Previdência Social; 08.13%; 0; 253503.04; -253503.04; Saúde; 07.90%; 2605258.12; 2359174.05; 246084.07;  1.02
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG;  3160504;  MG;  1818; Agricultura; 22.81%; 190814.41; 576939.81; -386125.40; Educação; 13.15%; 1717048.76; 1939614.92; -222566.16; Desporto e Lazer; 08.55%; 286253.21; 141487.72; 144765.49; Saúde; 07.51%; 2492456.49; 2365333.70; 127122.79; Assistência Social; 06.28%; 408296.35; 514702.81; -106406.46;  1.04
Prefeitura Municipal de Macieira - SC;  4210050;  SC;  1823; Transporte; 19.88%; 1899230.13; 947329.88; 951900.25; Educação; 13.78%; 2583862.83; 1923931.58; 659931.25; Agricultura; 12.74%; 1173443.86; 563205.16; 610238.70; Urbanismo; 09.88%; 193799.23; 666963.15; -473163.92; Administração; 08.55%; 1378327.58; 1787959.18; -409631.60;  1.06
Prefeitura Municipal de Canudos do Vale - RS;  4304614;  RS;  1834; Administração; 30.73%; 2920640.70; 1776803.18; 1143837.52; Urbanismo; 17.76%; 0; 661174.41; -661174.41; Assistência Social; 10.14%; 128785.60; 506128.31; -377342.71; Previdência Social; 07.15%; 0; 266261.13; -266261.13; Transporte; 06.41%; 724423.77; 963010.28; -238586.51;  1.19
Prefeitura Municipal de Paulistânia - SP;  3536570;  SP;  1837; Urbanismo; 22.58%; 1491904.56; 643046.79; 848857.77; Educação; 13.03%; 2429170.36; 1939269.19; 489901.17; Saúde; 12.07%; 2811322.46; 2357680.99; 453641.47; Agricultura; 08.13%; 272444.12; 577933.90; -305489.78; Previdência Social; 07.41%; 0; 278552.45; -278552.45;  0.98
Prefeitura Municipal de Pedro Teixeira - MG;  3149408;  MG;  1840; Administração; 20.52%; 1028682.06; 1773270.71; -744588.65; Transporte; 11.19%; 581334.39; 987476.18; -406141.79; Saúde; 10.42%; 2741341.13; 2363178.51; 378162.62; Urbanismo; 10.10%; 287076.54; 653707.60; -366631.06; Educação; 08.95%; 1620601.55; 1945285.98; -324684.43;  1.06
Prefeitura Municipal de Alto Alegre - RS;  4300554;  RS;  1841; Educação; 18.60%; 1371509.28; 1963475.69; -591966.41; Saúde; 10.78%; 2034823.39; 2377790.25; -342966.86; Transporte; 09.89%; 1292475.48; 977800.52; 314674.96; Despesas (Intraorçamentárias); 09.72%; 377293.74; 67855.52; 309438.22; Administração; 08.63%; 1486095.99; 1760814.88; -274718.89;  1.06
