###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Passabém - MG;  3147501;  MG;  1776; Administração; 21.61%; 937537.68; 1718564.37; -781026.69; Educação; 14.15%; 1314761.05; 1826169.22; -511408.17; Agricultura; 12.02%; 39019.70; 473409.17; -434389.47; Cultura; 09.99%; 447479.70; 86376.86; 361102.84; Saúde; 09.55%; 2371679.83; 2026638.11; 345041.72;  1.11
Prefeitura Municipal de Santa Tereza - RS;  4317251;  RS;  1782; Urbanismo; 16.72%; 0; 595665.94; -595665.94; Saneamento; 15.66%; 647303.95; 89564.71; 557739.24; Assistência Social; 10.07%; 61827.44; 420465.70; -358638.26; Educação; 09.90%; 1478265.41; 1830845.92; -352580.51; Transporte; 08.05%; 993594.93; 706749.18; 286845.75;  1.27
Prefeitura Municipal de Capão Bonito do Sul - RS;  4304622;  RS;  1783; Urbanismo; 24.14%; 1939700.86; 580466.64; 1359234.22; Administração; 18.89%; 2765193.47; 1701639.83; 1063553.64; Educação; 15.65%; 2700631.23; 1819639.69; 880991.54; Transporte; 12.89%; 0; 725832.49; -725832.49; Agricultura; 06.42%; 122744.99; 484199.83; -361454.84;  1.29
Prefeitura Municipal de Consolação - MG;  3118502;  MG;  1785; Agricultura; 14.74%; 94693.54; 472666.34; -377972.80; Previdência Social; 14.27%; 536073.40; 169993.95; 366079.45; Administração; 11.44%; 1437494.40; 1730943.76; -293449.36; Educação; 10.37%; 1568592.80; 1834447.39; -265854.59; Urbanismo; 07.56%; 414526.30; 608456.08; -193929.78;  1.12
Prefeitura Municipal de Porto Vera Cruz - RS;  4315073;  RS;  1797; Administração; 18.83%; 2395931.24; 1725012.99; 670918.25; Educação; 18.65%; 1184593.20; 1849166.62; -664573.42; Saúde; 11.40%; 1629163.01; 2035451.48; -406288.47; Orçamentárias); 10.42%; 401784.15; 30717.24; 371066.91; Transporte; 07.36%; 446555.61; 708746.50; -262190.89;  1.02
Prefeitura Municipal de Novo Xingu - RS;  4313466;  RS;  1801; Administração; 18.75%; 1223853.54; 1744695.23; -520841.69; Agricultura; 12.04%; 782690.17; 448182.68; 334507.49; Indústria; 09.48%; 277396.05; 14172.25; 263223.80; Desporto e Lazer; 06.63%; 325189.56; 140958.99; 184230.57; Transporte; 06.45%; 893022.63; 713924.28; 179098.35;  1.09
Prefeitura Municipal de Ipueiras - TO;  1709807;  TO;  1804; Saúde; 18.90%; 1254155.45; 2050650.07; -796494.62; Administração; 15.53%; 1094504.18; 1748763.18; -654259.00; Transporte; 13.14%; 165930.78; 719512.59; -553581.81; Agricultura; 10.77%; 10426.21; 464083.90; -453657.69; Comércio e Serviços; 08.03%; 350545.03; 12315.53; 338229.50;  1.13
Prefeitura Municipal de Santa Inês - PR;  4123600;  PR;  1804; Agricultura; 14.27%; 46595.71; 448550.14; -401954.43; Legislativa; 13.55%; 0; 381546.78; -381546.78; Administração; 11.91%; 2083949.16; 1748609.54; 335339.62; Saúde; 09.61%; 2311656.63; 2041096.15; 270560.48; Previdência Social; 08.28%; 409399.36; 176068.24; 233331.12;  1.17
Prefeitura Municipal de Vitória Brasil - SP;  3556958;  SP;  1809; Educação; 30.83%; 3058448.60; 1855514.74; 1202933.86; Assistência Social; 15.88%; 1019089.31; 399351.86; 619737.45; Transporte; 13.44%; 193109.98; 717398.57; -524288.59; Urbanismo; 12.10%; 1065565.03; 593463.36; 472101.67; Previdência Social; 04.72%; 0; 184233.36; -184233.36;  0.98
Prefeitura Municipal de Mato Queimado - RS;  4312179;  RS;  1819; Administração; 15.60%; 1338119.62; 1746835.82; -408716.20; Educação; 15.52%; 2271919.91; 1865225.15; 406694.76; Urbanismo; 10.76%; 878368.58; 596306.09; 282062.49; Transporte; 08.48%; 504478.50; 726711.71; -222233.21; Agricultura; 08.11%; 648376.49; 435843.07; 212533.42;  1.06
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG;  3160504;  MG;  1820; Desporto e Lazer; 20.21%; 681859.68; 130774.59; 551085.09; Transporte; 12.27%; 1047363.85; 712914.96; 334448.89; Educação; 12.18%; 2207583.37; 1875506.35; 332077.02; Saúde; 09.25%; 2284149.28; 2031962.04; 252187.24; Agricultura; 08.19%; 221093.67; 444395.88; -223302.21;  1.06
